Asturian	Asturian	probability
β_u_#>	p_#>	1.0
ˈo_n	ˈu	1.0
ˈe_β	w	1.0
ˈe_ʝ	j	1.0
ˈe_ɾ	e_r	1.0
ˈe_u	k	1.0
ˈa_l	ˈa_l	1.0
ʝ_u	kʲ	1.0
ʎ_a	e̯ˈa	1.0
ɾ_β	r_b	1.0
ɾ_n	r_n	1.0
ɾ_a	r_ə	1.0
ɾ_#>	r_e_#>	1.0
ð	t	1.0
u_#>	#>	1.0
t	t	1.0
s	s	1.0
r	r	1.0
p	p	1.0
m_e	m_e	1.0
l_u_#>	r_#>	1.0
k_a	k	1.0
f	f	1.0
e_ɾ	r_u	1.0
e_s	s	1.0
e_#>	#>	1.0
a_#>	#>	1.0
<#_ˈa	<#_ˈa	1.0
<#_ɡ_w	<#_ˈo	1.0
<#_t	<#_t	1.0
<#_s	<#_ʃ	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
ʎ	l	0.913
#>	e_#>	0.88
n	n	0.833
ˈu	ˈu	0.824
k	k	0.812
ɣ	k	0.8
m	m	0.786
ˈi	ˈi	0.75
β	-	0.733
ˈe_n	ˈi_n	0.714
<#_a	<#_a	0.714
ˈa	ˈa	0.711
d	d	0.692
ʧ	p_t	0.667
ɲ	n	0.667
ɾ	r	0.658
θ	ʧ	0.636
w	ˈo	0.625
a	ə	0.615
i	-	0.6
e	e	0.588
w_ˈe	ˈo	0.583
ɡ	ɡ	0.571
s_#>	j_#>	0.571
ˈo	ˈu	0.567
ʝ	-	0.556
ˈe	ˈe	0.533
j	j	0.533
ʃ	ʤ	0.5
o_s	ʦʲ	0.5
o_s	nʲ	0.5
<#	<#_p	0.5
j	-	0.467
l	r	0.462
u	u	0.455
b	v	0.455
b	b	0.455
ɡ	-	0.429
s_#>	#>	0.429
w_ˈe	o̯ˈa	0.417
j_ˈe	ˈi	0.4
j_ˈe	ˈe	0.4
i	ˈi	0.4
w	-	0.375
ŋ	n_e	0.364
o	u	0.35
o	-	0.35
ʧ	t	0.333
ɲ	-	0.333
l	-	0.308
d	z	0.308
<#	<#_j	0.3
ˈe_n	n	0.286
<#_a	<#	0.286
ŋ	n	0.273
ʃ	ʒ	0.25
ʃ	ʃ	0.25
ˈo	ˈo	0.233
l	l	0.231
u	-	0.227
ʝ	ʒ	0.222
ʝ	j	0.222
m	-	0.214
ɾ	-	0.211
ˈa	ˈɨ	0.2
ɣ	-	0.2
j_ˈe	ˈa	0.2
<#	<#_m	0.2
ŋ	j_n	0.182
ŋ	-	0.182
u	ə	0.182
ˈu	-	0.176
ˈi	-	0.167
ˈe	ˈa	0.156
o	o̯ˈa	0.15
o	o	0.15
e	ə	0.147
e	-	0.147
u	w	0.136
β	p	0.133
β	b	0.133
ˈo	o̯ˈa	0.133
#>	t_#>	0.12
a	e	0.115
ˈe	-	0.111
a	ˈa	0.096
θ	ʦ	0.091
θ	ʃ_t	0.091
θ	ʃ	0.091
θ	ə	0.091
b	-	0.091
ˈe	e̯ˈa	0.089
ʎ	-	0.087
ˈi	e	0.083
n	i_n	0.083
n	-	0.083
ɾ	e	0.079
ˈo	ˈau̯	0.067
ˈe	ˈi	0.067
k	ʧ	0.062
k	s_k	0.062
k	-	0.062
e	u	0.059
e	a	0.059
a	a	0.058
ɾ	e_r	0.053
