Eastern Lombard	Eastern Lombard	probability
ˈɛ_ŋ	ˈɛ̃	1.0
ˈø_ʧ	ˈuː_j	1.0
ˈø_ɲ	ˈœ̃	1.0
ˈø_k	ˈøː	1.0
ˈy	-	1.0
ˈu_s	w_ˈɛ	1.0
ˈo_n	ˈɔ̃	1.0
ˈe_t	ˈɛ̃	1.0
ˈa_ɡ	ˈɔː	1.0
ˈa_ŋ	ˈɑ̃	1.0
ˈa_s	ˈɔː	1.0
ˈa_l	ˈɔː	1.0
ˈa_#>	#>	1.0
ʧ_#>	#>	1.0
ʧ	k_l	1.0
ʤ	-	1.0
ʋ_r	f	1.0
ʋ	v	1.0
ɲ	ɲ	1.0
ŋ	-	1.0
z_e	ɲː	1.0
y	uː	1.0
w	w	1.0
u	ɔ	1.0
t_e	t	1.0
s_k	ʃ	1.0
s_#>	#>	1.0
r_#>	#>	1.0
p_#>	#>	1.0
p	p	1.0
o_n	ɔ̃	1.0
n_t	ˈɛ̃	1.0
n_a	n	1.0
l_a	j	1.0
k_a	ʧ	1.0
k_#>	#>	1.0
f_#>	#>	1.0
f	f	1.0
e_n	ɛ̃	1.0
d_e	ˈɛ	1.0
d_a	j	1.0
a_n	ɑ̃	1.0
a_j	ɛː	1.0
a_#>	#>	1.0
<#_ˈɛ	<#_v	1.0
<#_ˈo	<#_ˈoː	1.0
<#_ɡ	<#_ɡ	1.0
<#_t	<#_t	1.0
<#_r	<#_ʀ	1.0
<#_o	<#_ɔ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_e	<#_ɛ	1.0
<#_a	<#_a	1.0
m	m	0.857
b	b	0.857
l_#>	ˈa_#>	0.778
ɡ	-	0.75
s	s	0.727
e	-	0.727
r	ʀ	0.711
l	l	0.647
k	k	0.643
<#	<#_v	0.632
d	d	0.562
t	t	0.5
t	-	0.5
r_t	ˈa_ʀ	0.5
r_t	ʀ	0.5
o	uː	0.5
o	-	0.5
z	ʤ	0.471
j	l	0.467
ˈɔ	ˈɔ	0.429
ˈø	ˈuː	0.4
ˈu	ˈɔ̃	0.4
i	i	0.4
i	-	0.4
n	n	0.364
n	-	0.364
ˈo	ˈoː	0.357
k	ʧ	0.357
z	-	0.353
a	a	0.35
ˈɛ	ˈɛ	0.333
ˈø	ˈɔ	0.333
ˈu	ˈøː	0.333
j	j	0.333
#>	ˈiː_#>	0.333
#>	ˈe_#>	0.333
#>	ˈa_#>	0.333
ˈɛ	j	0.3
ˈo	w	0.286
ˈa	ˈe	0.275
n	ˈɛ̃ː	0.273
ˈu	ˈuː	0.267
ˈi	ˈiː	0.261
ɡ	ɡ	0.25
d	-	0.25
a	j	0.25
ˈa	ˈa	0.235
l_#>	#>	0.222
ˈi	ˈẽ	0.217
ˈe	ˈɛ	0.217
ˈɔ	ɔ	0.214
ˈɔ	-	0.214
ˈo	ˈɔ	0.214
s	ʃ	0.205
j	-	0.2
i	ẽ	0.2
a	n	0.2
d	ʀ	0.188
e	ɛ	0.182
z	ʒ	0.176
l	j	0.176
l	-	0.176
ˈe	ˈiː	0.174
ˈe	ˈi	0.174
<#	<#_a	0.158
ˈɔ	ˈyː	0.143
ˈo	ˈu	0.143
m	-	0.143
b	-	0.143
ˈɛ	-	0.133
ˈø	ˈy	0.133
ˈø	ˈu	0.133
ˈi	ˈi	0.13
ˈi	w	0.13
ˈe	ˈɛ̃	0.13
ˈe	-	0.13
ˈa	ˈiː	0.118
r	-	0.111
<#	<#_ɛ	0.105
<#	<#_l	0.105
ˈɛ	j_ˈɛ	0.1
a	ɛ	0.1
a	-	0.1
ˈa	-	0.098
e	v	0.091
ˈi	ˈɛ_n	0.087
ˈi	ˈɔː	0.087
ˈi	-	0.087
ˈe	ˈeː	0.087
ˈe	w_ˈɛ	0.087
ˈa	ˈɛ	0.078
s	ʧ	0.068
ˈɛ	w_ˈɛ	0.067
ˈɛ	w	0.067
ˈa	ˈɛ̃	0.059
ˈa	w_ˈɛ̃	0.059
