Franco-Provençal	Franco-Provençal	probability
ˈɛ̃_#>	ˈẽ_n_t_#>	1.0
ˈy	ə_ˈy	1.0
ˈĩ	ˈĩ	1.0
ˈi_#>	#>	1.0
ˈe_#>	j_#>	1.0
ˈaː_ð	ˈɛ_r	1.0
ˈa_#>	#>	1.0
ʦ	s	1.0
ʒ	ʤ	1.0
ʃ_#>	s_#>	1.0
ʁ_#>	r_#>	1.0
ɲ	ɲ	1.0
ɡ	ɡ	1.0
ɔ̃	ũ	1.0
ɔ	u	1.0
ɑ̃	ã_n	1.0
ɑː	a_s	1.0
z	z	1.0
y	r	1.0
u	-	1.0
s_ˈɛ	s_ˈɛ	1.0
s_ə	s_ə	1.0
p	p	1.0
n	n	1.0
m	m	1.0
l_#>	l_#>	1.0
l	l	1.0
k	k	1.0
ĩ	ĩ	1.0
f	f	1.0
d	d	1.0
b	b	1.0
a_l	a_l	1.0
a_#>	#>	1.0
<#_ʁ	<#_r	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
ə	ə	0.949
ˈi	ˈi	0.9
ʁ	r	0.875
v	v	0.853
t	t	0.818
ʃ	ʧ	0.808
a	ə	0.788
ʎ	ʎ	0.786
e	e	0.7
ˈɑ̃	ˈã	0.692
s	s	0.686
ˈɑː	-	0.667
i	ə	0.667
ˈɔ̃	ˈũ	0.636
ɛ	-	0.6
ˈo	-	0.556
ˈaː	ˈe	0.556
j	j	0.552
o	ə	0.536
ð	r	0.52
ˈɔ	ˈũ	0.5
ˈɔ	ˈu	0.5
ˈu	ˈy	0.5
ˈa	ˈa	0.481
ˈe	ˈɛ	0.476
ˈɛ	ˈɛ	0.462
ˈo	ˈu	0.444
ˈaː	ˈa	0.444
ɛ	ɛ	0.4
ˈɛː	ˈɔ_j	0.37
ˈɛ̃	ˈẽ	0.364
ˈɛ̃	j_n	0.364
ˈɔ̃	ˈũ_n	0.364
ˈø	ˈu	0.364
ˈø	-	0.364
ð	ʤ	0.36
ˈɑː	ˈa	0.333
ˈu	ˈɔ	0.333
ˈa	ˈe	0.333
i	i	0.333
w	ˈɔ	0.321
w	w	0.321
s	ʦ	0.314
ˈɑ̃	ˈã_n	0.308
e	-	0.3
o	u	0.286
ˈɛ̃	n	0.273
#>	r_#>	0.273
ˈoː	ˈa_w	0.267
#>	n_#>	0.258
ˈɛ	j	0.231
ʎ	l	0.214
j	ˈi	0.207
ˈoː	ˈɔ	0.2
ˈoː	ˈu	0.2
ˈoː	w_ˈɛ	0.2
#>	s_#>	0.197
ˈø	ˈɔ	0.182
o	-	0.179
a	a	0.173
j	-	0.172
ˈu	-	0.167
ˈɛ	ˈɔ	0.154
ˈɛ	-	0.154
ˈɛː	ˈɛ	0.148
ˈɛː	j	0.148
ˈɛː	-	0.148
w	ˈy	0.143
ˈoː	ˈɔ_r	0.133
ð	j_r	0.12
ˈe	ˈe	0.119
ʃ	-	0.115
ˈɛː	ˈɔ	0.111
ˈa	ˈã_j	0.111
w	j	0.107
ˈi	-	0.1
ˈø	ˈo	0.091
t	s_t	0.091
t	-	0.091
v	-	0.088
ʁ	t	0.083
ʃ	ʧ_j	0.077
ˈɛː	o_j	0.074
ˈa	ˈã	0.074
ˈe	ˈĩ	0.071
ˈe	j	0.071
ˈe	-	0.071
w	ˈu	0.071
j	j_ˈɛ	0.069
#>	j_#>	0.061
v	v_ə	0.059
ə	-	0.051
