Dutch	Dutch	probability
χ_ˈɪ	k_ˈi	1.0
ˈʏ	-	1.0
ˈɑu̯	ˈa_l	1.0
ˈɑ	ˈa	1.0
ˈyː	ˈoː_n	1.0
ˈu	ˈoː	1.0
ɦ	h	1.0
ə_ɫ	l_s	1.0
z̥	s	1.0
t	t	1.0
s_χ	s_k	1.0
p	p	1.0
m	m	1.0
k	k	1.0
j	j	1.0
d̥_#>	t_#>	1.0
d_ə	θ_a	1.0
b	b	1.0
<#_χ	<#_ɡ	1.0
<#_ˈɑ	<#_ˈa	1.0
<#_ɾ	<#_r	1.0
<#_ɫ	<#_l	1.0
<#_z	<#_s	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_n	<#_n	1.0
<#_k	<#_k	1.0
ʋ	w	0.905
ˈɪ	ˈi	0.882
n	n	0.842
#>	s_#>	0.836
ɾ	r	0.825
v	f	0.812
ɫ	l	0.773
ˈœy̯	ˈuː	0.75
ˈɔ	ˈu	0.733
ˈi	ˈiu̯	0.727
ŋ	ŋ_ɡ	0.714
s	s	0.714
ə_n	n	0.667
<#_d	<#_d	0.643
ˈɛi̯	ˈiː	0.636
d	d	0.6
ə	a	0.583
ˈaː	ˈa	0.571
ˈeː	ˈɛː	0.471
ˈoː	ˈɔː	0.45
ˈaː	ˈeː	0.429
d	ð	0.4
ˈɛ	ˈa	0.385
v̥	f_s	0.364
<#_d	<#_θ	0.357
χ	h	0.353
d̥	θ	0.35
ə_n	n_s	0.333
ˈɛ	ˈɛ	0.308
ˈɛ	ˈi	0.308
ˈoː	ˈɔ	0.3
χ	ɡ	0.294
ˈeː	ˈi	0.294
ŋ	ŋ	0.286
s	s_k	0.286
ˈi	-	0.273
v̥	f	0.273
ˈœy̯	ɡʷː	0.25
d̥	θ_s	0.25
d̥	d_s	0.2
v	β	0.188
ˈɛi̯	ˈɛː	0.182
ˈɛi̯	ˈi	0.182
v̥	β	0.182
v̥	b	0.182
χ	ɣ	0.176
χ	x	0.176
#>	a_#>	0.164
ˈoː	ˈu	0.15
ə	j_a	0.139
ɫ	lː	0.136
ˈɔ	ˈɔ	0.133
ˈɔ	-	0.133
ˈɪ	ˈiː	0.118
ˈeː	ˈa	0.118
ˈeː	-	0.118
ˈoː	-	0.1
d̥	θ_u	0.1
d̥	d_u	0.1
ʋ	ʍ	0.095
ɫ	h_l	0.091
ə	u	0.083
ə	i	0.083
ə	-	0.083
n	nː	0.07
n	n_s	0.053
