Swiss German	Eastphalian	probability
b̥	b	0.725
b̥	f	0.181
b̥	v	0.081
d̥	d	0.64
d̥	-	0.36
f	f	0.799
f	p	0.104
f	b	0.062
fː	p	1.0
h	h	0.912
h	-	0.059
i	ɪ	0.832
i	ə	0.102
i	n	0.065
j	j	1.0
k	k	1.0
l	l	1.0
m	m	0.923
m	-	0.077
mː	m	1.0
n	n	0.988
p	p	1.0
p͡f	p	1.0
r	ɐ	0.579
r	r	0.401
rː	ɐ	1.0
s	z	0.511
s	s	0.219
s	t	0.121
s	-	0.074
s	ʃ	0.074
sː	t	1.0
t	t	0.553
t	d	0.447
tː	d	0.764
tː	-	0.236
ŋ	ŋ	0.774
ŋ	n	0.226
ə	-	0.47
ə	n	0.313
ə	ə	0.218
ɡ̊	j	0.34
ɡ̊	ɣ	0.252
ɡ̊	ç	0.205
ɡ̊	k	0.064
ɡ̊ː	k	0.536
ɡ̊ː	ɣ	0.464
ʃ	ʃ	0.516
ʃ	s	0.484
ʃː	ʃ	1.0
ʋ	v	0.885
ʋ	w	0.115
ʦ	t	1.0
ˈa	ˈa	0.817
ˈa	ˈɔ	0.183
ˈau̯	ˈeo̯	0.601
ˈau̯	ˈoː	0.307
ˈau̯	ˈuː	0.093
ˈe	ˈɪ	0.404
ˈe	ˈɛ	0.298
ˈe	ˈœ	0.154
ˈe	ˈeː	0.145
ˈei̯	ˈɛɪ̯	0.931
ˈei̯	ˈiː	0.069
ˈeː	ˈɛɪ̯	0.723
ˈeː	ˈeː	0.277
ˈi	ˈɪ	0.722
ˈi	ˈiː	0.115
ˈi	ˈɛ	0.073
ˈi	ˈɛː	0.062
ˈiə̯	ˈɛɪ̯	0.651
ˈiə̯	ˈɪ	0.181
ˈiə̯	ˈiː	0.168
ˈiː	ˈiː	0.866
ˈiː	ˈɪ	0.134
ˈo	ˈɔ	0.529
ˈo	ˈʊ	0.138
ˈo	ˈɒː	0.123
ˈo	ˈuː	0.105
ˈo	ˈøː	0.105
ˈou̯	ˈeo̯	0.929
ˈou̯	ˈɔ	0.071
ˈoː	ˈeo̯	0.463
ˈoː	ˈoː	0.395
ˈoː	ˈɒː	0.142
ˈu	ˈʊ	0.577
ˈu	ˈoː	0.156
ˈu	ˈɔ	0.155
ˈu	ˈuː	0.075
ˈuə̯	ˈaʊ̯	0.731
ˈuə̯	ˈʊ	0.269
ˈuː	ˈuː	0.939
ˈuː	ˈʊ	0.061
ˈy	ˈʏ	0.654
ˈy	ˈɪ	0.216
ˈy	ˈɛ	0.072
ˈyə̯	ˈɔʏ̯	0.84
ˈyə̯	ˈaʊ̯	0.16
ˈyː	ˈyː	0.365
ˈyː	ˈɛɪ̯	0.355
ˈyː	ˈeː	0.101
ˈyː	ˈɔʏ̯	0.079
ˈyː	ˈiː	0.058
ˈæ	ˈɛ	0.308
ˈæ	ˈeː	0.239
ˈæ	ˈa	0.21
ˈæ	ˈɪ	0.138
ˈæ	ˈɛː	0.105
ˈæi̯	ˈɛɪ̯	1.0
ˈæː	ˈeː	0.333
ˈæː	ˈɛː	0.326
ˈæː	ˈɛɪ̯	0.263
ˈæː	ˈa	0.079
ˈø	ˈœ	0.739
ˈø	ˈɛ	0.187
ˈø	ˈa	0.073
ˈøi̯	ˈɛɪ̯	0.45
ˈøi̯	ˈʏ	0.352
ˈøi̯	ˈiː	0.122
ˈøi̯	ˈøː	0.076
ˈøː	ˈɔʏ̯	0.84
ˈøː	ˈøː	0.16
ˈɒ	ˈa	0.517
ˈɒ	ˈɒː	0.146
ˈɒ	ˈɛː	0.097
ˈɒ	ˈaː	0.073
ˈɒ	ˈaʊ̯	0.072
ˈɒ	ˈɔ	0.058
ˈɒː	ˈɒː	0.466
ˈɒː	ˈaː	0.232
ˈɒː	ˈa	0.161
ˈɒː	ˈɛ	0.141
ˈɛi̯	ˈɛɪ̯	0.521
ˈɛi̯	ˈɪ	0.479
χ	k	0.652
χ	ç	0.175
χ	x	0.127
