Afrikaans	North Frisian	probability
b	b	1.0
d	d	0.545
d	t	0.247
d	-	0.095
d	tʲ	0.057
d	dʲ	0.047
f	f	0.746
f	v_ə	0.093
f	ə_v	0.062
f	d	0.045
f	v	0.043
f	-	0.031
j	j	0.212
j	ˈiː	0.212
k	k	0.782
k	-	0.057
k	s	0.057
k	ʃ	0.057
k	h	0.051
m	m	1.0
n	n	0.856
n	nʲ	0.089
n	-	0.047
n_t	nʲ	0.822
n_t	s	0.112
p	p	0.755
p	d	0.087
p	v	0.084
p	b	0.063
r	r	0.967
r	-	0.036
s	s	0.805
s	ʃ	0.146
s	z	0.044
s_k	ʃ	1.0
t	t	0.429
t	d	0.168
t	-	0.158
t	dʲ	0.081
t	tʲ	0.058
t	lʲ	0.04
t	s	0.034
t	z	0.034
v	v	0.816
v	f	0.101
v	-	0.069
v_ˈɔ	ˈʊ	1.0
w	v	0.491
w	-	0.16
w	j	0.149
w	ˈɔu̯	0.149
ŋ	ŋ	0.79
ŋ	n	0.207
ə	ə	0.503
ə	-	0.291
ə	i	0.198
ɦ	h	1.0
ɫ	l	0.947
ɫ	lʲ	0.052
ˈa	ˈɒ	0.19
ˈa	ˈœ	0.135
ˈa	ˈɒː	0.135
ˈa	ˈʊ	0.102
ˈa	ˈuː	0.082
ˈa	ˈeː	0.08
ˈa	-	0.066
ˈa	ˈɔː	0.061
ˈa	ˈɛi̯	0.061
ˈa	ˈa	0.043
ˈa	ˈɔu̯	0.038
ˈi	ˈiː	0.781
ˈi	j	0.065
ˈi	ˈyː	0.065
ˈi	ˈai̯	0.055
ˈi	ˈeː	0.039
ˈi	ˈɛi̯	0.033
ˈoːi̯	ˈyː	0.494
ˈu	ˈœ	0.552
ˈu	ˈɛ	0.212
ˈu	ˈɛi̯	0.212
ˈuː	ˈɔu̯	0.494
ˈuːi̯	ˈyː	0.12
ˈyː	ˈøː	0.494
ˈyː	lʲ	0.059
ˈæ	ˈa	0.374
ˈæ	ˈi	0.185
ˈæː	ˈeː	0.5
ˈæː	ˈɛ	0.5
ˈœ	ˈa	0.222
ˈœ	ˈʊ	0.222
ˈœ	ˈʏ	0.222
ˈœ	ˈeː	0.136
ˈœ	ˈœ	0.136
ˈœi̯	ˈi	0.244
ˈœu̯	ˈœ	0.488
ˈœu̯	lʲ	0.28
ˈœu̯	ˈɒ	0.173
ˈœɪ̯	ˈyː	0.656
ˈœɪ̯	ˈʏ	0.123
ˈœɪ̯	ˈøː	0.084
ˈœɪ̯	ˈuː	0.081
ˈɑː	ˈɛi̯	0.232
ˈɑː	ˈɒː	0.158
ˈɑː	ˈeː	0.153
ˈɑː	ˈa	0.113
ˈɑː	ˈɛː	0.084
ˈɑː	ˈɔː	0.065
ˈɑː	ˈyː	0.057
ˈɑː	ˈɔu̯	0.055
ˈɑː	-	0.046
ˈɔ	ˈʊ	0.37
ˈɔ	ˈɔː	0.272
ˈɔ	ˈɔ	0.143
ˈɔ	ˈyː	0.081
ˈɔ	-	0.055
ˈɔ	ˈʏ	0.054
ˈɔ_n	ˈyː	0.494
ˈɔː	ˈʊ	0.66
ˈɔː	ˈɛː	0.161
ˈə	ˈa	0.34
ˈə	ˈai̯	0.143
ˈə	ˈi	0.135
ˈə	ˈʊ	0.125
ˈə	ˈɛ	0.095
ˈə	ˈaː	0.059
ˈə	ˈœ	0.059
ˈəɪ̯	ˈi	0.477
ˈəɪ̯	ˈiː	0.278
ˈəɪ̯	ˈɒː	0.084
ˈəɪ̯	ˈyː	0.054
ˈəɪ̯	ˈɒ	0.054
ˈəɪ̯	ˈeː	0.053
ˈɛ	ˈa	0.297
ˈɛ	ˈœ	0.153
ˈɛ	ˈɛi̯	0.153
ˈɛ	ˈeː	0.112
ˈɛ	ˈɔː	0.112
ˈɛ	ˈʊ	0.105
ˈɛː	ˈeː	1.0
ˈɪ	ˈʊ	1.0
ˈɪø̯	ˈaː	0.277
ˈɪø̯	ˈɔː	0.241
ˈɪø̯	ˈœ	0.137
ˈɪə̯	ˈɛː	0.197
ˈɪə̯	ˈiː	0.171
ˈɪə̯	ˈi	0.134
ˈɪə̯	ˈɔː	0.117
ˈɪə̯	-	0.077
ˈɪə̯	ˈɒ	0.065
ˈɪə̯	ˈai̯	0.063
ˈɪə̯	ˈyː	0.063
ˈɪə̯	ˈaː	0.053
ˈɪə̯	ˈøː	0.051
ˈʊə̯	ˈuː	0.309
ˈʊə̯	ˈiː	0.16
ˈʊə̯	ˈɔ	0.16
ˈʊə̯	ˈyː	0.151
ˈʊə̯	ˈɔu̯	0.078
ˈʊə̯	ˈøː	0.052
ˈʊə̯	ˈɔː	0.045
ˈʊə̯	ˈi	0.04
χ	ɡ	0.301
χ	-	0.239
χ	x	0.192
χ	j	0.123
χ	w	0.103
χ	k	0.036
