Luxembourgish	Ripuarian	probability
#>	#>	0.966
<#	<#	1.0
b	b	1.0
d	d	1.0
e	ɪ	0.488
f	f	0.966
h	h	1.0
j	j	1.0
k	k	0.902
k	ŋ	0.09
kʰ	k	0.948
kʰ	-	0.05
l	l	1.0
m	m	0.989
n	n	0.825
n	ŋ	0.173
n_#>	#>	1.0
p	p	1.0
s	s	1.0
t	t	0.718
t	k	0.281
t_#>	#>	1.0
tʰ	t	0.488
v	ʋ	0.708
v	v	0.277
w	ʋ	1.0
z	z	1.0
ŋ	ŋ	0.784
ŋ	n	0.204
ɐ	ɐ	0.899
ɐ	-	0.08
ɐ_t	t	1.0
ɕ	ɕ	0.816
ɕ	x	0.135
ə	ə	0.766
ə	-	0.206
ɡ	j	0.905
ɡ	-	0.077
ʀ	ʀ	0.912
ʀ	n	0.078
ʃ	ʃ	0.875
ʃ	s	0.082
ʑ	ɣ	0.488
ʦ	ʦ	1.0
ˈaː	ˈa	0.324
ˈaː	ˈaː	0.194
ˈaː	ˈoː	0.186
ˈaː	ˈaʊ̯	0.141
ˈaː	ˈɛː_ɐ	0.082
ˈe	ˈœ	0.305
ˈe	ˈe	0.231
ˈe	ˈeː	0.153
ˈe	ˈøː	0.106
ˈe	ˈʏ	0.077
ˈe	ˈɪ	0.074
ˈeː	ˈeː	0.612
ˈeː	ˈɛː	0.162
ˈeː	ˈøː	0.093
ˈeː	ˈeɪ̯	0.073
ˈeː	ˈe	0.055
ˈi	ˈʏ	0.331
ˈi	ˈeː	0.289
ˈi	ˈɪ	0.219
ˈi	ˈøː	0.095
ˈiə̯	ˈɛ	0.636
ˈiə̯	ˈɛː	0.348
ˈiː	ˈeː	0.348
ˈiː	ˈiː	0.258
ˈiː	ˈɛː	0.156
ˈiː	ˈɪ	0.073
ˈiː	ʀ	0.06
ˈo	ˈɔ	0.601
ˈo	ˈo	0.376
ˈoː	ˈoː	0.8
ˈoː	ˈaː	0.103
ˈoː	ˈɛː	0.072
ˈu	ˈoː	0.5
ˈu	ˈu	0.2
ˈu	ˈa	0.152
ˈu	ˈaː	0.106
ˈuə̯	ˈaː	0.826
ˈuə̯	ˈɔ	0.141
ˈuː	ˈu	0.304
ˈuː	ˈoː	0.185
ˈuː	ˈɔ	0.17
ˈuː	ˈʊ	0.17
ˈæ	ˈɛ	1.0
ˈæɪ̯	ˈɛ	0.574
ˈæɪ̯	ˈiː	0.28
ˈæːɪ̯	ˈeɪ̯	0.399
ˈæːɪ̯	ˈiː	0.216
ˈæːɪ̯	ˈʏ	0.121
ˈæːɪ̯	ˈɪ	0.094
ˈæːʊ̯	ˈuː	0.618
ˈæːʊ̯	ˈaʊ̯	0.367
ˈɑ	ˈa	0.627
ˈɑ	ˈɪ	0.121
ˈɑ	ˈe	0.105
ˈɑ	ˈɛ	0.054
ˈɑ	ˈɔ	0.052
ˈɑɪ̯	ˈyː	0.264
ˈɑɪ̯	ˈiː	0.16
ˈɑɪ̯	ˈeː	0.14
ˈɑɪ̯	ˈeɪ̯	0.101
ˈɑɪ̯	ˈɔʏ̯	0.101
ˈɑɪ̯	ˈʊ	0.097
ˈɑɪ̯	ˈøː	0.07
ˈɔ	ˈɔ	0.66
ˈɔ	ˈo	0.157
ˈə	ˈœ	0.326
ˈə	ˈe	0.308
ˈə	ˈɪ	0.239
ˈə	ˈʏ	0.086
ˈəɪ̯	ˈeː	0.317
ˈəɪ̯	ˈiː	0.293
ˈəɪ̯	ˈøː	0.171
ˈəɪ̯	ˈyː	0.116
ˈəɪ̯	ˈoː	0.055
ˈəʊ̯	ˈuː	0.69
ˈəʊ̯	ˈoː	0.203
ˈəʊ̯	ˈɔ	0.079
ˈɛ	ˈɛ	1.0
ˈɛː	ˈɛː	0.74
ˈɛː	ˈɛ	0.191
ˈʊ	ˈoː	0.776
ˈʊ	ˈo	0.17
ˈʊɪ̯	ˈɔ	0.488
χ	x	1.0
