Romagnol	Romagnol	probability
ˈɛ̃	ˈi	1.0
ˈɛə̯_l	u_m	1.0
ˈẽ	ˈi	1.0
ˈeː_t	j	1.0
ˈeə̯	ˈa	1.0
ˈe	ˈe	1.0
ˈaː	-	1.0
ˈa	ˈa	1.0
ʧ_ɐ	k_e	1.0
ʧ	kʲ	1.0
ɡ_#>	k_#>	1.0
ɐ_r	r_u	1.0
ɐ_#>	#>	1.0
ŋ	b	1.0
v_ɐ	j_e	1.0
u_j	ˈo	1.0
t_#>	t_#>	1.0
s_#>	s_#>	1.0
r_t	r_t	1.0
r_#>	#>	1.0
p_ˈo	p_ˈu	1.0
p_#>	p_#>	1.0
p	p	1.0
o	-	1.0
m	m	1.0
k_ˈɔə̯	k_ˈo	1.0
k_v	p	1.0
j̃	n_e	1.0
i	e	1.0
f	f	1.0
a	-	1.0
<#_θ	<#_ʧ	1.0
<#_ˈo	<#_ˈo	1.0
<#_ˈeə̯	<#_ˈa	1.0
<#_ɡ	<#_ɡ	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#	<#_ˈa	1.0
n	n	0.933
k	k	0.926
r	r	0.884
<#_l	<#_l	0.867
s	s	0.808
u	u	0.778
l_#>	r_#>	0.75
b	b	0.733
θ	ʦ	0.714
ˈu	ˈo	0.714
ˈou̯	ˈu	0.688
ˈõũ̯	n	0.667
ð	ʤ	0.636
ˈo	ˈu	0.625
ɡ	k	0.625
ʤ	ɡ	0.6
#>	e_#>	0.597
d	d	0.581
t	t	0.577
ɐ	ə	0.571
ˈʌ̃	ˈɨ	0.5
ˈɔ	ˈo	0.5
ɲ	m_n	0.5
ɲ	-	0.5
v	v	0.5
l	l	0.5
j	l	0.5
j	-	0.5
z	ʧ	0.444
ˈɛ	ˈe	0.429
ˈi	ˈi	0.409
ˈɔə̯	ˈo	0.4
ˈɔə̯	o̯ˈa	0.4
ʤ	-	0.4
l	r	0.389
ˈɛə̯	j_ˈe	0.385
ɡ	ɡ	0.375
ˈʌ̃	-	0.333
ˈɔ	ˈu	0.333
ˈõũ̯	nʲ	0.333
z	-	0.333
ˈɛə̯	ˈe	0.308
ˈeː	ˈe_r	0.3
ˈeː	j	0.3
θ	ʧ	0.286
ˈɛ	ˈi	0.286
ˈu	ˈu	0.286
t	p_t	0.269
ˈo	o̯ˈa	0.25
l_#>	#>	0.25
ˈi	ˈe	0.227
v	-	0.227
z	s	0.222
u	-	0.222
ˈɔə̯	ˈau̯	0.2
ˈeː	e̯ˈa	0.2
ˈeː	-	0.2
d	t	0.194
s	ʃ	0.192
ˈou̯	o̯ˈa	0.188
ɐ	e	0.186
ˈi	ˈi_r	0.182
ð	ʒ	0.182
ð	-	0.182
ˈʌ̃	ˈɨ_j	0.167
ˈɔ	o̯ˈa_p	0.167
d	z	0.161
#>	r_e_#>	0.161
ˈɛə̯	ˈa	0.154
ˈɛə̯	-	0.154
ˈɛ	ˈa	0.143
ˈɛ	-	0.143
v	w	0.136
v	p	0.136
b	f_r	0.133
b	-	0.133
<#_l	<#	0.133
ˈou̯	ˈo	0.125
ˈo	ˈo	0.125
t	ʦ	0.115
l	e	0.111
ˈi	e̯ˈa	0.091
ˈi	-	0.091
ɐ	-	0.086
#>	ə_#>	0.081
k	-	0.074
r	e_r	0.07
n	e_n	0.067
d	-	0.065
