Nynorsk Norwegian	North Frisian	probability
b	b	1.0
d	d	1.0
f	f	1.0
h	h	1.0
kʰ	k	1.0
l	l	1.0
mː	m	1.0
pʰ	p	1.0
tː	t	1.0
v	v	1.0
ŋ	ŋ	1.0
ŋː	ŋ	1.0
ə	ə	1.0
ɡː	-	1.0
ʰkː	ŋ_k	1.0
ʰtː	x_t	1.0
ˈyː	ˈiː	1.0
ˈœʏ̯	ˈiː	1.0
ˈʊ	ˈɔ	1.0
s	s	0.91
ˈiː	ˈiː	0.181
ˈɑ	ˈɒ	0.101
ˈɑ	ˈa	0.151
ˈɔ	ˈɔː	0.131
ˈɛ	ˈɒː	0.261
k	k_ə	0.102
p	p	0.992
t	tʲ	0.392
tʰ	d	0.072
ɑ	ə	0.782
ʋ	-	0.052
ˈoː	ˈiː	0.102
ˈoː	ˈɛː	0.152
ˈæɪ̯	ˈɒ	0.062
ˈɑ	ˈuː	0.052
ˈɑ	n_#>	0.112
ˈɑː	ˈeː	0.152
ˈɑː	ˈɒː	0.562
ˈɪ	ˈai̯	0.102
ˈʉ	ˈyː	0.32
ˈʉ	ˈʊ	0.642
j	-	0.553
lː	lʲ	0.133
m	-	0.153
nː	n	0.63
ˈeː	ˈaː	0.113
ˈeː	ˈɛi̯	0.163
ˈoː	ˈɔu̯	0.183
ˈæʉ̯	ˈyː_dʲ	0.343
ˈɑ	ˈʊ	0.123
ˈʉː	ˈiː	0.293
ˈʉː	ˈyː	0.33
e	-	0.324
t	z	0.064
ç	k	0.454
ɡ	j	0.184
ʂ	ʃ	0.714
ˈuː	ˈœ_dʲ	0.174
ˈuː	ˈœ	0.524
ˈæɪ̯	-	0.064
ˈøː	ˈiː	0.254
ˈɑ	ˈœ	0.204
ˈʏ	ˈeː	0.084
nː	nʲ	0.115
nː	-	0.255
s	s_v	0.075
t	t	0.455
ɡ	-	0.325
ʋ	ə_v	0.085
ˈeː	ˈɛː	0.115
ˈeː	ˈi	0.115
ˈeː	ˈeː	0.495
ˈoː	ˈuː	0.375
ˈuː	ˈɔu̯	0.215
ˈæɪ̯	ˈiː	0.875
ˈɑ	d_#>	0.195
ˈʉː	ˈɔː	0.15
e	ə	0.676
ɡ	k	0.056
ɾ	r	0.996
ʂ	s	0.286
ʋ	v	0.746
ˈøː	ˈɛ	0.746
ˈɛ	ˈeː	0.286
ˈɛ	ˈa	0.336
j	j	0.447
lː	l	0.867
m	m	0.847
ɑ	-	0.07
ʋ	f	0.117
ˈuː	ˈiː	0.087
ˈæʉ̯	ˈuː	0.657
ˈɑː	ˈa	0.167
ˈɛ	ˈiː	0.117
ˈʉː	ˈøː	0.227
k	k	0.898
t	d	0.088
tʰ	t	0.928
ç	t	0.128
ç	ʃ	0.418
ɑ	d_ə	0.148
ɡ	ɡ	0.408
ˈoː	ˈɛi̯	0.078
ˈɪ	ˈi	0.58
n	n	0.929
ˈiː	ˈi	0.819
ˈoː	ˈyː	0.109
ˈɑː	ˈɒ	0.119
ˈɔ	ˈɔ	0.869
ˈɪ	ˈa	0.319
ˈʏ	ˈa	0.139
ˈʏ	ˈʏ	0.299
ˈʏ	ˈʊ	0.479
