Saterland Frisian	Saterland Frisian	probability
ˈɛɪ̯_#>	ˈeɪ̯_#>	1.0
ˈœː	ˈʏ	1.0
ˈøː	ˈɔʊ̯	1.0
ˈyː	-	1.0
ˈu	-	1.0
ˈoːu̯_d	ˈɔː	1.0
ˈoː_l	ˈa_ɫ	1.0
ˈiːu̯	ˈɛ	1.0
ˈeːu̯	ˈɛ	1.0
ˈeː_#>	ˈiː_#>	1.0
ˈaːu̯	-	1.0
ˈaːi̯	ˈɛː	1.0
ɣ_j	ɣ	1.0
ɡ	j	1.0
ə_r	ɐ	1.0
ə_n	ə	1.0
ŋ	ŋ	1.0
x_#>	#>	1.0
w	-	1.0
v_ˈeː	ʋ_ˈɛ	1.0
t_ə	s	1.0
s_k	ʃ	1.0
s_#>	z̥_#>	1.0
n_ə	n	1.0
n_d	ŋ	1.0
m_ˈɔː	m	1.0
m	m	1.0
l_ə	ɫ	1.0
j_ˈuː	ˈyː	1.0
j_ˈoː	ˈeː	1.0
j_ə	ə	1.0
i	e	1.0
h	h	1.0
d_ə	ɡ̊	1.0
a	-	1.0
<#_ˈa	<#	1.0
<#_t	<#_d	1.0
<#_r	<#_ʀ	1.0
<#_n	<#_n	1.0
<#_k	<#_k	1.0
<#_j	<#_j	1.0
<#_d	<#_d	1.0
<#	<#_d	1.0
b	b	0.913
f	f	0.875
l	l	0.784
ˈɪ	ˈe	0.75
j	-	0.75
n	n	0.744
v	ʋ	0.742
l_#>	ɫ_#>	0.7
ə	ə	0.621
z	z̥	0.6
x_t	x	0.6
d	d̥	0.6
p	p	0.571
s	z	0.541
ɣ	j	0.538
ˈɛː	ˈœ	0.5
ˈa	ˈa	0.5
ˈa	-	0.5
ɪ	ɪ	0.5
ɪ	ə	0.5
r	ʀ	0.474
k	ɕ	0.471
x	ɕ	0.455
ˈɛ	ˈɛ	0.444
ˈɛɪ̯	ˈøː	0.429
p	f	0.429
z	-	0.4
x_t	ɕ	0.4
r	ɐ	0.395
ˈi	ˈiː	0.385
s	ʃ	0.378
ˈʊ	ˈo	0.375
ˈɔː	ˈaː	0.375
ˈɔ	ˈɔ	0.375
ˈɔ	ˈa	0.375
ˈoːu̯	ˈoː	0.368
ˈeː	ˈeː	0.364
k	k	0.353
ˈoː	ˈuː	0.35
ˈɛ	ˈa	0.333
ˈuː	ˈuː	0.333
ˈaː	ˈeː	0.333
ˈaː	ˈa	0.333
ˈaː	-	0.333
t	ʦ	0.318
t	s	0.318
ˈʊ	-	0.312
ˈɔː	ˈa	0.312
ˈɔː	-	0.312
ɣ	-	0.308
l_#>	#>	0.3
#>	ə_#>	0.3
#>	ɕ_#>	0.3
ə	-	0.293
ˈeː	ˈeɪ̯	0.273
ˈoːu̯	ˈa	0.263
ˈɪ	ˈɪ	0.25
ˈɛː	ˈɛ	0.25
ˈɛː	-	0.25
ˈɔ	-	0.25
ˈoː	-	0.25
t	t	0.25
j	ˈeː	0.25
ˈi	ˈeː	0.231
ˈi	-	0.231
ˈɛ	-	0.222
ˈiː	ˈe	0.222
l	ɫ	0.216
ˈɛɪ̯	ˈoː	0.214
ˈoːu̯	ˈɔ	0.211
n	ŋ	0.205
ˈoː	ˈoː	0.2
#>	ɡ̊_#>	0.2
#>	ɐ_#>	0.2
v	-	0.194
ˈʊ	ˈɔ	0.188
ˈeː	ˈyː	0.182
ˈeː	-	0.182
x	ˈeː	0.182
x	x	0.182
x	k	0.182
k	x	0.176
d	d	0.171
ˈiː	ˈɪ	0.167
ˈiː	ˈɛ	0.167
ˈiː	ˈiː	0.167
ˈiː	-	0.167
ˈoːu̯	ˈo	0.158
ˈi	ˈɛː	0.154
ɣ	v	0.154
ˈɛɪ̯	ˈeː	0.143
ˈɛɪ̯	-	0.143
ˈuː	ˈyː	0.143
ˈuː	-	0.143
d	ɡ̊	0.143
ˈʊ	ˈʊ	0.125
f	v̥	0.125
ˈiː	ˈoː	0.111
ˈoː	ˈɔʊ̯	0.1
ˈoː	ˈaː	0.1
ˈuː	ˈu	0.095
ˈuː	ˈoː_d	0.095
ˈuː	ˈoː	0.095
ˈuː	ˈo	0.095
b	-	0.087
d	-	0.086
s	s	0.081
r	-	0.079
ˈɛɪ̯	ˈøʏ̯	0.071
t	-	0.068
v	v̥	0.065
r	ʀ_ˈøː	0.053
ə	ɐ	0.052
n	-	0.051
