Spanish	Spanish	probability
β_o_#>	p_#>	1.0
ˈu	ˈu	1.0
ˈe_β	w	1.0
ˈe_ɾ	i_r	1.0
ˈe_n	ˈi_n	1.0
ˈe_#>	ˈi_#>	1.0
ˈa_ð	ˈa_t	1.0
ɾ_β	r_b	1.0
ɾ_ˈi	r	1.0
ɾ_o	r_u	1.0
ɾ_k	r_k	1.0
ɾ_e	ə	1.0
ɾ_a	r_ə	1.0
ɣ_o_#>	k_#>	1.0
ŋ	-	1.0
ð_o_#>	t_#>	1.0
ð	t	1.0
u	u	1.0
t_ɾ	j	1.0
t_e	t_i	1.0
t	t	1.0
p_j	k	1.0
o_s	i	1.0
o_#>	#>	1.0
n_t	m_t	1.0
n_o_#>	n_#>	1.0
n_#>	#>	1.0
m_b	m	1.0
l_o_#>	r_#>	1.0
i	-	1.0
e_s	s	1.0
b_ɾ	i	1.0
a_#>	#>	1.0
<#_ˈa	<#_ˈa	1.0
<#_x	<#_ʤ	1.0
<#_w	<#_ˈo	1.0
<#_t	<#_t	1.0
<#_s	<#_ʃ	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_l	<#_l	1.0
<#_k	<#	1.0
<#_b	<#	1.0
#>	i_#>	0.927
n	n	0.92
s	s	0.905
k	k	0.9
p	p	0.882
ɾ	r	0.863
ˈi	ˈi	0.773
ʝ	-	0.714
m	m	0.7
ʧ	p_t	0.667
j	-	0.667
<#_ˈo	<#_ˈo	0.667
<#	<#_f	0.667
a	ə	0.65
d	d	0.643
β	-	0.625
e	i	0.615
ɟ͡ʝ	p_l	0.6
w	-	0.6
s_#>	#>	0.6
ɣ	k	0.571
ɡ	ɡ	0.571
ˈa	ˈa	0.564
o	u	0.532
ɲ	n	0.5
ɲ	m_n	0.5
l	r	0.5
b	b	0.5
ɣ	-	0.429
ɡ	-	0.429
w_ˈe	ˈo	0.429
ɟ͡ʝ	ʣ	0.4
w	ˈo	0.4
s_#>	j_#>	0.4
ˈo	ˈu	0.391
j_ˈe	ˈe	0.385
β	p	0.375
d	ʣ	0.357
ˈe	e̯ˈa	0.341
θ	ʦ	0.333
ʧ	t	0.333
x	ʎ	0.333
x	k_ʎ	0.333
w_ˈe	ˈu	0.333
r	r	0.333
r	a_r	0.333
r	a	0.333
j	e̯ˈa	0.333
b	v	0.333
<#_ˈo	<#_ˈu	0.333
<#	<#_a	0.333
j_ˈe	ˈi	0.308
j_ˈe	ˈa	0.308
ʝ	ʤ	0.286
l	l	0.286
ˈa	ˈɨ	0.256
w_ˈe	o̯ˈa	0.238
e	-	0.231
ˈe	ˈe	0.22
ˈo	ˈo	0.217
ˈo	o̯ˈa	0.217
l	ʎ	0.214
θ	ʦ_i	0.208
o	-	0.191
x	k	0.167
x	-	0.167
b	j	0.167
e	ə	0.154
m	ɲ	0.15
m	-	0.15
ˈe	ˈi	0.146
ˈi	ˈu	0.136
a	a	0.133
o	ə	0.128
θ	ʃ_t	0.125
p	k	0.118
o	i	0.106
ˈa	-	0.103
k	ʦ	0.1
ˈe	ˈa	0.098
ɾ	i	0.098
s	-	0.095
ˈi	r	0.091
ˈo	ˈa_v	0.087
ˈo	-	0.087
θ	ʧ	0.083
θ	ʃ	0.083
θ	t	0.083
θ	-	0.083
a	ˈa	0.083
n	r	0.08
ˈa	e̯ˈa	0.077
#>	e_#>	0.073
a	i	0.067
