Italian	Megleno-Romanian	probability
b	b	1.0
f	f	1.0
i	i	1.0
kː	k	1.0
lː	-	1.0
m	m	1.0
p	p	1.0
rː	r	1.0
s	s	1.0
sː	s	1.0
w	-	1.0
z	s	1.0
ɲː	m	1.0
ʎː	ʎ	1.0
ˈi	ˈi	1.0
t	t	0.701
ɡ	k	0.491
ʧ	ʦ	0.951
ˈe	ˈi	0.111
ˈɛ	ˈe	0.191
n	n	0.902
nː	<#_w	0.2
ˈɔ	o̯ˈa	0.312
ˈɛ	ˈi	0.362
k	k	0.863
tː	p_t	0.673
v	-	0.263
ɡ	ɡ	0.43
ʤ	z	0.953
ˈu	ˈo	0.23
ˈɔ	ˈo	0.433
a	ˈa	0.054
d	-	0.134
j	l	0.094
j	ʎ	0.404
j	-	0.414
l	l	0.484
r	-	0.064
ŋ	ŋ	0.414
ˈa	ˈɔ	0.204
ˈo	ˈu	0.804
ˈu	ˈu	0.664
a	-	0.15
e	-	0.085
l	r	0.415
o	ə	0.065
o	u	0.335
ˈɔ	ˈu	0.255
e	i	0.776
o	-	0.556
r	r	0.936
v	v	0.6
ŋ	n	0.586
ˈa	ˈɔ_j	0.066
ˈe	e̯ˈa	0.46
ˈo	o̯ˈa	0.196
ˈu	<#_w	0.106
a	ə	0.727
d	d	0.717
k	-	0.137
l	ʎ	0.057
tː	t	0.327
v	w	0.137
ˈa	ˈa	0.537
ˈɛ	ˈa	0.237
d	t	0.148
e	ə	0.138
j	e̯ˈa	0.088
n	-	0.098
nː	n	0.8
t	ʦ	0.299
ɡ	-	0.079
ˈa	-	0.139
ˈe	ˈe	0.429
ˈɛ	-	0.129
