Icelandic	West Flemish	probability
a	n	0.495
a	ə	0.363
a	ɦ_n	0.073
a	-	0.069
aːu̯	iə̯	1.0
b̥	b	0.995
c	h	0.52
c	k	0.305
c	-	0.175
cʰ	k	1.0
d̥	d	0.674
d̥	d̥	0.306
f	v	0.963
h	-	0.7
h	z	0.106
h	ɦ	0.101
h	k	0.061
i	n	1.0
j	-	0.677
j	ˈiə̯	0.222
k	k	0.744
k	-	0.195
k	h	0.061
kʰ	k	0.953
l	l	0.719
l	w	0.145
l	-	0.081
l	ə_l	0.055
l̥	w	0.602
l̥	l	0.199
l̥	-	0.139
l̥	d̥	0.059
m	m	0.946
m	-	0.054
n	n	0.906
n	-	0.094
nː	n	1.0
n̥	n	0.561
n̥	ə	0.277
n̥	-	0.162
p	p	0.718
p	m	0.212
p	v	0.07
pʰ	p	1.0
r	ɾ	0.914
r	-	0.086
rː̥	ɦ̥	1.0
r̥	-	0.765
r̥	ɾ	0.235
s	z	0.489
s	s	0.407
s	ʃ	0.097
sː	s	1.0
t	t	0.805
t	-	0.195
tʰ	t	0.962
u	-	0.5
u	ə	0.5
v	ʋ	0.554
v	v	0.243
v	v̥	0.101
x	k	0.5
x	ɦ̥	0.5
ç	-	0.602
ç	z̥	0.398
ð	d̥	0.648
ð	-	0.156
ð	d	0.145
ð	t	0.051
ŋ	ŋ	0.858
ŋ	-	0.142
ɑu̯	m	1.0
ɛ	-	1.0
ɟ̊	ɦ	0.93
ɟ̊	-	0.07
ɟ̊ː	ɦ	1.0
ɡ̊	-	0.457
ɡ̊	ɦ	0.397
ɡ̊	ɡ̊	0.086
ɡ̊ː	ɦ	0.387
ɡ̊ː	ʋ	0.343
ɡ̊ː	k	0.172
ɡ̊ː	-	0.099
ɣ	ɦ̥	0.576
ɣ	ɦ	0.424
ɪ	ə	0.662
ɪ	-	0.277
ɪ	ɾ	0.06
ɲ	ŋ	1.0
ʏ	-	0.908
ʏ	ə	0.092
ʰc	k	1.0
ʰk	k	1.0
ʰp	p	1.0
ʰt	h_t	0.501
ʰt	t	0.499
ˈa	ˈɑ	0.474
ˈa	ˈæ	0.296
ˈa	ˈɒː	0.086
ˈa	ˈɪ	0.069
ˈa	ˈu	0.054
ˈai̯	ˈuə̯	0.533
ˈai̯	ˈiə̯	0.467
ˈau̯	ˈæ	0.757
ˈau̯	ˈɑ	0.158
ˈau̯	ˈɒː	0.085
ˈaː	ˈɑ	0.616
ˈaː	ˈɒː	0.342
ˈaːi̯	ˈɑ	0.546
ˈaːi̯	ˈuə̯	0.454
ˈaːu̯	ˈɒː	0.666
ˈaːu̯	ˈeː	0.334
ˈeːi̯	j	1.0
ˈi	ˈɪ	0.816
ˈi	ˈoː	0.159
ˈiː	ˈiə̯	0.401
ˈiː	ˈi	0.334
ˈiː	ˈeː	0.087
ˈiː	ˈuə̯	0.07
ˈiː	-	0.054
ˈou̯	ˈɔ	0.574
ˈou̯	ˈoː	0.426
ˈoːu̯	-	0.515
ˈoːu̯	ˈuə̯	0.372
ˈoːu̯	w	0.083
ˈu	ˈu	0.891
ˈu	ˈiə̯	0.109
ˈuː	ˈyː	0.479
ˈuː	-	0.444
ˈuː	ˈoː	0.077
ˈœ	ˈɛː	0.42
ˈœ	ˈɑ	0.39
ˈœ	ˈɪ	0.102
ˈœ	ˈɒː	0.089
ˈœː	ˈeː	0.555
ˈœː	ˈɛː	0.236
ˈœː	ˈɔ	0.107
ˈœː	ˈoː	0.102
ˈœːy̯	ˈoː	1.0
ˈɑu̯	ˈɑ	0.852
ˈɑu̯	ˈɔ	0.148
ˈɑːu̯	-	0.473
ˈɑːu̯	ˈɒː	0.314
ˈɑːu̯	j	0.136
ˈɑːu̯	ˈiə̯	0.077
ˈɔ	ˈoː	0.78
ˈɔ	ˈɔ	0.197
ˈɔu̯	-	0.342
ˈɔu̯	ˈɔ	0.292
ˈɔu̯	ˈuə̯	0.183
ˈɔu̯	ˈɑ	0.183
ˈɔː	ˈoː	0.467
ˈɔː	ˈøː	0.456
ˈɔː	ˈɒː	0.078
ˈɛ	ˈæ	0.613
ˈɛ	ˈɛ	0.122
ˈɛ	ˈɑ	0.084
ˈɛ	ˈɒː	0.051
ˈɛi̯	ˈɛː	0.732
ˈɛi̯	ˈeː	0.268
ˈɛː	ˈi	0.506
ˈɛː	-	0.139
ˈɛː	ˈeː	0.107
ˈɛː	ə	0.066
ˈɛː	ˈæ	0.06
ˈɛː	ˈøː	0.06
ˈɛːi̯	ˈeː	0.382
ˈɛːi̯	ˈoː	0.26
ˈɛːi̯	ˈɛ	0.192
ˈɛːi̯	ˈɛː	0.166
ˈɪ	ˈɪ	0.425
ˈɪ	ˈœ	0.249
ˈɪ	ˈoː	0.154
ˈɪ	ˈɛ	0.07
ˈɪ	ˈæ	0.061
ˈɪː	ˈeː	0.409
ˈɪː	ˈøː	0.357
ˈɪː	ˈɛ	0.235
ˈʏ	ˈu	0.352
ˈʏ	ˈɔ	0.272
ˈʏ	ˈɪ	0.179
ˈʏ	ˈyː	0.071
ˈʏ	ˈoː	0.067
ˈʏː	ˈoː	0.279
ˈʏː	ˈiə̯	0.263
ˈʏː	ˈɛː	0.256
ˈʏː	ˈeː	0.103
ˈʏː	ˈɔ	0.099
θ	d	0.884
θ	ɦ	0.116
