Shanghainese	Shanghainese	probability
⁵⁵_#>	#>	1.0
⁵³	-	1.0
⁵	-	1.0
ʨʰ	-	1.0
ʨ	k	1.0
ʦʰ	sʰ	1.0
ʔ_⁵⁵_#>	#>	1.0
ɯ	-	1.0
ɦ_w	ɡʷ	1.0
ɡ	ɡ_l	1.0
ŋ	ŋ	1.0
¹²_#>	#>	1.0
²³	-	1.0
y_²³	a_ʔ	1.0
y	u	1.0
u_³⁴	aː_ʔ	1.0
u	aː_l	1.0
tʰ	l̥ʰ	1.0
s	h	1.0
pʰ	pʰ	1.0
p	p	1.0
n_⁵³	ɯ_m	1.0
m	m	1.0
kʰ	kʰ	1.0
k	k	1.0
i_⁵³	l	1.0
i_²³	e	1.0
h	h	1.0
f	p	1.0
e	ɯː	1.0
b	b	1.0
<#_ɕ	<#_s	1.0
<#_nʲ	<#	1.0
<#_l	<#_r	1.0
<#_d	<#_d	1.0
#>	s_#>	1.0
ʔ	ɡ	0.72
³⁴	-	0.714
a	r_aː	0.7
ɔ	u	0.667
z	d	0.667
n	n	0.667
ɑ̃	aː_ŋ	0.625
ɜ	-	0.6
ŋ_²³	ŋ	0.6
nʲ	n_i	0.6
j	-	0.6
ʦ	t	0.556
<#	<#_q	0.556
ə	ɯ	0.545
ʥ	ɡ_r	0.5
ʥ	ɡ	0.5
ɥ	eː	0.5
ɥ	-	0.5
z̩	ɯ_s	0.5
z̩	ɯ	0.5
ã	ŋ_ʔ	0.5
ã	ŋ	0.5
ə	-	0.455
ʦ	ʔ_s	0.444
ɜ	ɯ	0.4
ŋ_²³	ŋ_s	0.4
nʲ	n	0.4
i	eː	0.4
ɑ̃	a_ŋ	0.375
o	u	0.35
ɪ	i	0.333
ɪ	e	0.333
ɪ	-	0.333
ɔ	uː_ʔ	0.333
z	z	0.333
n	ŋ	0.333
ɦ	ɢʷ	0.3
ɦ	ɡ	0.3
i	r	0.3
i	i	0.3
a	a	0.3
ʔ	d	0.28
ø	uː_m	0.25
ø	n	0.25
ø	aː_n	0.25
ø	aː	0.25
<#	<#_ŋ	0.222
<#	<#_m	0.222
ɦ	ɢ	0.2
ɦ	ɡ_oː	0.2
o	oː	0.2
o	-	0.2
j	i	0.2
j	e	0.2
o	o	0.15
³⁴	n_s	0.143
³⁴	d_s	0.143
o	ɯː	0.1
