Ladin	Italian	probability
a	a	0.922
b	b	1.0
d	d	0.513
d	t	0.313
d	-	0.099
d	kː	0.062
e	e	0.504
e	i	0.162
e	r_e	0.101
e	-	0.085
e	o	0.066
f	f	0.731
f	v	0.224
i	i	0.806
i	-	0.167
j	-	0.436
j	j	0.213
j	r_e	0.086
j	i	0.072
j	ˈi	0.07
j	ʎː	0.069
k	k	0.852
k	ɡ	0.085
k	kː	0.062
l	l	0.488
l	lː	0.258
l	j	0.232
m	m	0.899
m	mː	0.081
n	n	0.938
o	o	0.786
o	-	0.147
o	e	0.066
p	p	0.962
r	r	0.939
s	s	0.673
s	sː	0.14
s	-	0.113
s	z	0.068
t	t	0.572
t	tː	0.342
u	u	0.699
u	o	0.301
v	v	0.678
v	p	0.247
w	ˈɔ	0.409
w	-	0.254
w	w	0.162
w	l	0.151
z	z	1.0
ŋ	ŋ	0.862
ŋ	nː	0.138
ɡ	ɡ	0.584
ɡ	-	0.185
ɡ	kː	0.17
ɡ	k	0.061
ɲ	ɲː	0.917
ɲ	n	0.052
ʃ	s	0.408
ʃ	ʧ	0.306
ʃ	ʃː	0.169
ʃ	ʦː	0.092
ʒ	ʤ	0.63
ʒ	ʧ	0.18
ʒ	ʤː	0.129
ʤ	ʤː	1.0
ʥ	k	0.405
ʥ	ʤ	0.38
ʥ	ɡ	0.214
ʦ	ʧ	0.39
ʦ	ʦː	0.335
ʦ	ʣː	0.084
ʦ	-	0.06
ʦ	s	0.055
ʧ	ʧː	0.511
ʧ	ʧ	0.489
ʨ	k	0.596
ʨ	kː	0.144
ʨ	ʧ	0.134
ʨ	ʧː	0.051
ˈa	ˈa	0.97
ˈe	ˈe	0.596
ˈe	ˈa	0.239
ˈi	ˈi	0.878
ˈi	ˈe	0.104
ˈo	ˈo	0.694
ˈo	ˈu	0.151
ˈu	ˈu	0.876
ˈu	ˈo	0.07
ˈu	ˈe	0.054
ˈɔ	ˈɔ	0.82
ˈɔ	ˈo	0.096
ˈɛ	ˈɛ	0.544
ˈɛ	ˈa	0.237
ˈɛ	ˈɔ	0.115
