Mecklenburgisch-Vorpommersch	Mecklenburgisch-Vorpommersch	probability
ˈɛɪ̯	ˈɜɪ̯	1.0
ˈœ	-	1.0
ˈøː	ˈi	1.0
ˈoː_æ	ɐ	1.0
ˈiː_d̥	ˈæːɪ̯_t	1.0
ˈiː_#>	ˈiː_ɐ_#>	1.0
ˈeː	ˈɜɪ̯	1.0
ˈa_t	ˈaː_ʦ	1.0
ʃ	ʃ	1.0
ɾ	d	1.0
ɪ	ə	1.0
ɣ̊	-	1.0
ɣ	ŋ	1.0
ɡ̊	ɡ̊	1.0
ɡ_l	l	1.0
ç_#>	#>	1.0
æ_n_#>	ʀ_#>	1.0
z̥	z̥	1.0
z	z	1.0
w	w	1.0
v̥	v̥	1.0
pʰ	pʰ	1.0
p_#>	f_#>	1.0
n_#>	#>	1.0
l	l	1.0
kʰ	kʰ	1.0
h	h	1.0
f	f	1.0
d̥_#>	#>	1.0
d̥	d̥	1.0
d	d	1.0
b_m	n	1.0
b	b	1.0
ae̯	e	1.0
<#_n	<#_n	1.0
#>	f_#>	1.0
æ	ɐ	0.939
r	ʀ	0.929
m	m	0.926
ɡ	ɡ	0.9
tʰ	ʦ	0.9
v	v	0.875
n	n	0.873
ˈɛː	-	0.778
ˈaː	ˈaː	0.75
ŋ	ŋ	0.733
ˈʊ	ˈo	0.727
s	ʃ	0.714
ˈœː	-	0.667
p	p	0.667
j	ɡ	0.667
ˈyː	ˈɑɪ̯	0.6
x	ɕ	0.6
ˈoː	ˈoː	0.5
ˈoː	ˈaː	0.5
ˈiː	ˈæːɪ̯	0.5
ˈae̯	ˈeː	0.5
ˈa	ˈaː	0.5
ç	ɕ	0.5
t_#>	ʦ_#>	0.5
t_#>	#>	0.5
t	s	0.472
ˈɛ	-	0.462
ˈʏ	ˈə	0.455
ˈɔʏ̯	-	0.444
t	t	0.444
ˈɒː	ˈoː	0.412
ˈa	ˈɑ	0.409
ˈɪ	ˈɑ	0.4
ˈyː	-	0.4
x	χ	0.4
ˈaʊ̯	ˈəʊ̯	0.368
ˈʏ	ˈe	0.364
ˈɔ	ˈo	0.364
k	ɕ	0.353
ˈae̯	ˈɜɪ̯	0.346
ˈɔʏ̯	ˈɜɪ̯	0.333
ˈœː	ˈiː	0.333
ç	k	0.333
p	f_ə	0.333
j	j	0.333
ˈɪ	ˈə	0.32
ˈaʊ̯	ˈaː	0.316
s	s	0.286
ˈuː	ˈɑʊ̯	0.278
ˈuː	ˈæːʊ̯	0.278
ˈʊ	ˈɔ	0.273
ˈɔ	-	0.273
ŋ	ə_n	0.267
ˈaː	-	0.25
k	χ	0.235
ˈɛ	ˈeː	0.231
ˈɛː	ˈiə̯	0.222
ˈɔʏ̯	ˈi	0.222
ˈiː	ˈɑɪ̯	0.214
ˈʏ	-	0.182
ˈɔ	ˈɑ	0.182
ˈɔ	ˈu	0.182
k	k_ə	0.176
ˈuː	ˈaː	0.167
ˈuː	-	0.167
ç	ɕ_t	0.167
ˈaʊ̯	ˈʊ	0.158
ˈaʊ̯	ˈu	0.158
ˈɛ	ˈə	0.154
ˈɛ	ˈiə̯	0.154
ˈiː	ˈɜɪ̯	0.143
ˈiː	ˈɛː	0.143
v	w	0.125
ˈɪ	ˈe	0.12
ˈɒː	ˈɜɪ̯	0.118
ˈɒː	ˈəʊ̯	0.118
ˈɒː	ˈu	0.118
ˈɒː	ˈaː	0.118
ˈɒː	-	0.118
k	ɕ_ə	0.118
k	k	0.118
ˈuː	ˈuː	0.111
ɡ	ʑ	0.1
tʰ	tʰ	0.1
ˈa	ˈuə̯	0.091
t	ʦ	0.083
ˈɪ	ˈiː	0.08
ˈɪ	-	0.08
ˈae̯	ˈi	0.077
ˈae̯	-	0.077
m	v_ə	0.074
r	ʀ_ˈæːɪ̯	0.071
æ	ʀ	0.061
n	n_ə	0.056
