East Frisian Low Saxon	Bavarian	probability
χ	x	1.0
ˈʏə̯	ˈu	1.0
ˈʊə̯	-	1.0
ˈɛə̯	-	1.0
ˈɔː_ɐ	ɐ	1.0
ˈɒːɒ̯	ˈɒː	1.0
ˈɑː_ɐ	r	1.0
ˈɑɪ̯	-	1.0
ˈœy̯	-	1.0
ˈøːø̯	-	1.0
ˈæːɪ̯	-	1.0
ˈyː	ˈai̯	1.0
ˈoːo̯	-	1.0
ɣ̊_#>	ɡ̊_#>	1.0
ɣ̊	ɡ̊_a	1.0
ɡ_n_#>	ŋ_#>	1.0
ɐ_d̥	ɐ_d̥	1.0
z̥	s	1.0
z	s	1.0
w	ʋ	1.0
v_ˈɪ	ʋ	1.0
v_n	m	1.0
v	ʋ	1.0
t_ɐ	d̥_a	1.0
t_n	s_n	1.0
t_#>	s_#>	1.0
s_t	ʃ_d̥	1.0
s_k_#>	ʃ_#>	1.0
s_k	ʃ	1.0
r	r	1.0
p_n	f_a	1.0
p_#>	f_#>	1.0
p	b̥͡v̥	1.0
n_#>	#>	1.0
m_n	m_a	1.0
m	m	1.0
l_#>	j_#>	1.0
k_n	ɡ̊_a	1.0
h	h	1.0
f	f	1.0
d̥_#>	d̥_#>	1.0
d̥	d̥	1.0
d	d̥	1.0
b	b̥	1.0
<#_ɡ	<#_ɡ̊	1.0
<#_z	<#_s	1.0
<#_t	<#_ʦ	1.0
<#_n	<#_n	1.0
<#_k	<#_kʰ	1.0
<#_j	<#_j	1.0
<#_d	<#_d̥	1.0
n	n	0.812
ˈɔ	ˈo	0.8
ˈøː	-	0.8
ˈiː	ˈai̯	0.8
ˈɪ	ˈi	0.789
s	ʃ	0.733
ˈɑʊ̯	ˈuɐ̯	0.727
ˈʊ	ˈu	0.714
ˈuː	ˈau̯	0.7
ˈʏ	-	0.667
v̥_#>	b̥_#>	0.667
k_#>	x_#>	0.667
ŋ	ŋ	0.625
ˈɑːɑ̯	-	0.6
ˈœ	ˈu	0.6
l	l	0.564
ˈɛ	-	0.556
ˈɛːɪ̯	ˈeː	0.5
ˈɛːɪ̯	ˈai̯	0.5
ˈæɪ̯	ˈoɐ̯	0.5
ˈeːe̯	ˈe	0.5
ˈeːe̯	-	0.5
ˈeː	ˈe	0.5
ɡ	ɡ̊	0.5
ɡ	-	0.5
nː	n_a	0.5
nː	d̥_n	0.5
#>	a_#>	0.5
ˈɛ	ˈe	0.444
ˈɑːɑ̯	ˈɑ	0.4
ˈœ	-	0.4
ŋ	ŋ_ɡ̊	0.375
k	ɡ̊	0.375
k	x	0.375
t	ʦ	0.368
t	d̥	0.368
ˈɒː	ˈɑː	0.364
l	j	0.359
ɐ	ɐ	0.353
ɐ	a	0.353
ˈʏ	ˈi	0.333
ˈɑː	ˈɒː	0.333
ˈɑː	ˈo	0.333
ˈɑː	ˈe	0.333
v̥_#>	#>	0.333
k_#>	#>	0.333
ˈuː	-	0.3
ˈeː	ˈeː	0.3
#>	s_#>	0.3
ˈoː	ˈou̯	0.294
ˈoː	ˈo	0.294
ˈʊ	ˈo	0.286
ˈæɪ̯	ˈiɐ̯	0.278
ˈɒː	-	0.273
ˈɑʊ̯	-	0.273
ˈɑ	ˈɑ	0.263
ˈɑ	-	0.263
k	ç	0.25
ˈoː	ˈaː	0.235
ˈæɪ̯	-	0.222
ˈɪ	-	0.211
ˈɑ	ˈɒː	0.211
ɐ	d̥_a	0.206
ˈɔ	ˈu	0.2
ˈøː	ˈaː	0.2
ˈiː	-	0.2
ˈeː	-	0.2
#>	d̥_#>	0.2
ˈɒː	ˈɒː	0.182
ˈɒː	ˈoː	0.182
ˈoː	-	0.176
ˈɑ	ˈo	0.158
t	s	0.158
s	n	0.133
s	-	0.133
ˈɑ	ˈa	0.105
t	d̥_ˈu	0.105
ɐ	-	0.088
n	a	0.083
l	l_ˈiɐ̯	0.077
n	ŋ	0.062
