Bavarian	Limburgish	probability
a	ə	0.794
a	ʀ	0.148
a	-	0.058
b̥	b	0.739
b̥	v	0.117
b̥	-	0.077
b̥	f	0.068
d	j	1.0
d̥	d	0.417
d̥	t	0.389
d̥	j	0.15
eɐ̯	i	1.0
f	v	0.687
f	p	0.144
f	ə_f	0.116
h	ɦ	0.964
i	j	0.39
i	ɪ	0.39
i	ə	0.219
j	l	0.731
j	j	0.141
k	k	0.988
kʰ	k	1.0
l	l	0.904
l	ə_l	0.059
m	m	0.793
m	v	0.156
m	-	0.051
n	n	0.551
n	ə	0.397
n	-	0.052
p	p	0.822
p	-	0.178
p͡f	p	1.0
r	ʀ	0.986
s	z	0.347
s	s	0.305
s	t	0.296
s	-	0.052
t	t	0.79
t	d	0.098
t	-	0.072
x	k	0.501
x	x	0.499
ç	k	0.782
ç	ə_k	0.218
ŋ	ŋ	0.719
ŋ	ɣ	0.22
ŋ	-	0.051
ɐ	ʀ	0.894
ɐ	-	0.086
ə	j	0.5
ə	l	0.5
ɡ̊	ɣ	0.555
ɡ̊	x	0.252
ɡ̊	k	0.111
ɪ	ə	1.0
ʃ	s	0.518
ʃ	ʃ	0.394
ʃ	z	0.088
ʋ	β	0.933
ʋ	-	0.067
ʦ	t	1.0
ˈa	ˈaː	0.406
ˈa	ˈɑː	0.31
ˈa	ˈæː	0.179
ˈa	ˈɪː	0.086
ˈai̯	ˈiː	0.318
ˈai̯	ˈœi̯	0.118
ˈai̯	ˈʏː	0.107
ˈai̯	ˈɛːi̯	0.105
ˈai̯	ˈɛː	0.104
ˈai̯	ˈeː	0.072
ˈau̯	ˈuː	0.837
ˈau̯	ˈɔu̯	0.135
ˈaː	ˈɒː	0.286
ˈaː	ˈɔu̯	0.286
ˈaː	ˈɔː	0.285
ˈaː	ˈaː	0.073
ˈe	ˈeː	0.394
ˈe	ˈɪ	0.134
ˈe	ˈɛ	0.121
ˈe	ˈyː	0.087
ˈe	ˈʊː	0.079
ˈe	ˈɑ	0.077
ˈe	ˈæː	0.057
ˈe	ˈaː	0.051
ˈeɐ̯	ˈɔ	0.333
ˈeɐ̯	ˈɛ	0.333
ˈeɐ̯	ˈi	0.222
ˈeɐ̯	ˈøː	0.112
ˈeː	ˈeː	0.62
ˈeː	ˈu	0.14
ˈeː	ˈæ	0.139
ˈeː	ˈi	0.071
ˈi	ˈɪː	0.424
ˈi	ˈeː	0.213
ˈi	ˈøː	0.086
ˈi	ˈiː	0.072
ˈi	ˈɛː	0.072
ˈi	ˈʏ	0.056
ˈiɐ̯	ˈeː	0.77
ˈiɐ̯	ˈøː	0.23
ˈiː	ˈeː	0.729
ˈiː	ˈɛ	0.19
ˈiː	ˈɪ	0.081
ˈo	ˈɔː	0.251
ˈo	ˈaː	0.199
ˈo	ˈɑː	0.163
ˈo	ˈɑ	0.112
ˈo	ˈɔ	0.108
ˈo	ˈæː	0.089
ˈou̯	ˈu	1.0
ˈoɐ̯	ˈʊː	0.252
ˈoɐ̯	ˈɛː	0.249
ˈoɐ̯	ˈɛːi̯	0.18
ˈoɐ̯	ˈɒː	0.066
ˈoɐ̯	ˈu	0.055
ˈoː	ˈɒː	0.337
ˈoː	ˈaː	0.289
ˈoː	ˈœ	0.259
ˈoː	ˈoː	0.116
ˈu	ˈʊː	0.343
ˈu	ˈœ	0.142
ˈu	-	0.118
ˈu	ˈʊ	0.091
ˈu	ˈøː	0.077
ˈu	ˈoː	0.063
ˈu	ˈœː	0.058
ˈu	ˈɛː	0.05
ˈuɐ̯	ˈʊː	0.495
ˈuɐ̯	ˈoː	0.347
ˈuɐ̯	ˈøː	0.159
ˈy	ˈøː	1.0
ˈɑː	ˈi	1.0
ˈɒ	ˈɑ	0.632
ˈɒ	ˈaː	0.318
ˈɒ	ˈæ	0.05
ˈɒː	ˈaː	0.378
ˈɒː	ˈɒː	0.371
ˈɒː	ˈɑ	0.251
ˈɔ	ˈɒː	0.335
ˈɔ	ˈɔ	0.256
ˈɔ	ˈɑ	0.175
ˈɔ	ˈɑː	0.148
ˈɔ	ˈʊː	0.086
ˈɛ	ˈeː	0.397
ˈɛ	ˈæ	0.19
ˈɛ	ˈoː	0.136
ˈɛ	ˈæː	0.123
ˈɛ	ˈɪ	0.078
ˈɛ	ˈʏː	0.077
ˈɛː	ˈi	0.772
ˈɛː	ˈɒː	0.228
ˈʏ	ˈʏ	0.67
ˈʏ	ˈɪː	0.33
