Alsatian	Icelandic	probability
h	h	1.0
k	ɡ̊ː	1.0
v	-	1.0
ŋ	ŋ_ɡ̊	1.0
ˈaː	j	1.0
ˈei̯	ˈiː_r̥	1.0
ˈyː	ˈuː	1.0
d̥	ð	0.091
j	-	0.781
m	m_ʏ	0.201
ə	-	0.111
ɡ̊	ɟ̊	0.391
ʁ	-	0.051
ʋ	kʰ_v	0.231
ʦ	ʰt	0.301
ʦ	tʰ	0.611
ˈi	ˈai̯	0.051
ˈiː	ˈiː	0.571
ˈu	ˈʏ	0.361
d̥	d̥	0.382
i	ɡ̊_ʏ	0.742
n	n	0.502
s	t	0.22
x	-	0.922
ʃ	s_k	0.12
ˈe	ˈɪː	0.082
ˈe	ˈɛː	0.142
ˈeː	j_ˈoːu̯	0.282
ˈi	ˈɛ	0.142
ˈiː	ˈaːi̯	0.092
ˈo	ˈɔ	0.882
ˈoː	ˈœːy̯	0.292
ˈəi̯	ˈɛ	0.112
f	p	0.23
m	-	0.143
n	nː	0.083
ʃ	s_c	0.193
ˈiː	j_ˈoːu̯	0.163
ˈɒ	ˈaːi̯	0.083
kʰ	kʰ	0.834
l	l̥	0.174
l	l	0.634
ə	ɪ	0.184
ˈiː	j	0.054
ˈæ	ˈɛ	0.464
ˈɒː	ˈaː	0.634
ˈʊː	ˈœːy̯	0.14
d̥	-	0.105
t	ʰt	0.065
t	t	0.165
ə	a	0.575
ʃ	k	0.055
ˈu	ˈu	0.125
ˈɒ	ˈɑu̯	0.195
d̥	θ	0.356
kʰ	cʰ	0.166
m	m	0.656
t	-	0.06
t	d̥	0.186
ʁ	r̥	0.476
ʃ	r̥_#>	0.076
ʃ	-	0.116
ˈi	ˈiː	0.186
ˈæ	ˈɛː	0.536
ˈɒː	ˈa	0.366
ˈʊː	ˈoːu̯	0.86
d̥	d̥_ʏ	0.067
l	t_l̥	0.147
n	-	0.327
t	ð_ʏ	0.077
t	ð	0.447
ʦ	t	0.087
ˈu	ˈɔ	0.27
ˈɒ	ˈœ	0.057
ˈɒ	ˈaː	0.247
f	f	0.748
i	-	0.258
n	t_n̥	0.088
s	t_ʏ	0.168
x	k	0.078
ʁ	r	0.438
ʃ	s	0.408
ʋ	v	0.738
ˈe	ˈɛ	0.578
ˈeː	ˈɛː	0.718
ˈo	ˈʏ	0.118
ˈəi̯	ˈɛːi̯	0.888
b̥	b̥	0.959
j	ˈuː	0.219
s	s	0.599
ə	ʏ	0.129
ɡ̊	ɡ̊	0.609
ˈe	ˈa	0.199
ˈi	ˈi	0.289
ˈi	ˈɪ	0.309
ˈiː	ˈɪ	0.119
ˈoː	ˈɔː	0.109
ˈoː	ˈɑːu̯	0.599
ˈu	ˈʏː	0.089
ˈu	ˈɪ	0.109
ˈɒ	ˈa	0.419
