Icelandic	Nynorsk Norwegian	probability
c	ç	1.0
cʰ	ç	1.0
h	h	1.0
k	k	1.0
kʰ	kʰ	1.0
l	l	1.0
nː	nː	1.0
s	s	1.0
tʰ	tʰ	1.0
x	ɡ	1.0
ɟ̊	j	1.0
ɡ̊	ɡ	1.0
ɡ̊ː	ɡː	1.0
ɣ	ɡ	1.0
ʰp	p	1.0
ˈai̯	ˈɛ	1.0
ˈau̯	ˈɑ	1.0
ˈaː	ˈɑː	1.0
ˈaːi̯	ˈøː	1.0
ˈaːu̯	ˈoː	1.0
ˈu	ˈʉ	1.0
ˈuː	ˈʉː	1.0
ˈœ	ˈɑ	1.0
ˈœː	ˈuː	1.0
ˈœːy̯	ˈæʉ̯	1.0
ˈɑːu̯	ˈoː	1.0
ˈɔː	ˈoː	1.0
ˈɛi̯	ˈæɪ̯	1.0
ˈʏː	ˈʉː	1.0
f	-	0.081
n̥	kʰ_n	0.191
ç	j	0.661
ʰt	tː	0.551
ˈɛ	ˈɛ	0.841
ˈɛː	ˈeː	0.521
ˈɪ	ˈʏ	0.401
θ	tʰ	0.781
a	-	0.102
j	-	0.292
r̥	ɾ	0.832
ð	-	0.662
ʏ	-	0.82
ˈa	ˈɑ	0.702
ˈiː	ˈyː	0.32
ˈiː	ˈiː	0.462
ˈɑu̯	ˈɔ	0.192
ˈɪː	ˈiː	0.452
a	e	0.213
j	ˈeː	0.123
t	t	0.763
ˈa	e_#>	0.093
ˈa	ʋ_#>	0.093
ˈi	ˈʏ	0.363
ˈɔ	ˈɔ	0.243
ˈɔ	ˈʊ	0.443
ˈɛːi̯	ˈœʏ̯	0.283
ˈʏ	ˈʏ	0.193
b̥	b	0.974
l̥	lː	0.244
m	m	0.944
p	m	0.054
r	-	0.064
v	-	0.134
ʏ	e	0.144
ʰk	ʰkː	0.904
ˈa	ɡ_#>	0.064
ˈɔ	ˈuː	0.314
ɪ	ə	0.085
ɪ	e	0.915
ˈoːu̯	ˈøː	0.065
j	ˈiː	0.116
l̥	l	0.756
p	p	0.946
r	ɾ	0.936
ʰk	k	0.096
d̥	d	0.97
j	j	0.47
t	ʰtː	0.237
ˈi	ˈɪ	0.637
ˈɛːi̯	ˈæɪ̯	0.717
ˈʏ	ˈʉ	0.807
a	ɑ	0.618
r̥	-	0.168
v	ʋ	0.848
ð	d	0.338
ˈiː	ˈʉː	0.218
ˈoːu̯	ˈyː	0.178
ˈoːu̯	ˈuː	0.758
ˈɑu̯	ˈɑ	0.808
ˈɪː	ˈeː	0.548
θ	ç	0.18
f	f	0.919
n	n	0.959
n̥	n	0.809
ç	h	0.339
ʰt	ʰtː	0.449
ˈɛ	-	0.159
ˈɛː	ˈæː	0.189
ˈɛː	ˈɑː	0.29
ˈɪ	ˈɪ	0.599
