Eastphalian	West Frisian	probability
b	b	0.862
b	v	0.138
d	t	0.512
d	d	0.41
f	f	0.986
h	h	1.0
j	j	0.526
j	ɡ	0.27
j	z	0.146
j	-	0.058
k	k	0.817
k	ʦ	0.149
l	l	1.0
m	m	0.904
m	n	0.062
n	n	0.705
n	ə	0.215
p	p	0.972
r	r	0.834
r	-	0.098
s	s	1.0
t	t	0.9
v	ʋ	0.516
v	v	0.323
v	-	0.161
w	v	0.767
w	ˈø	0.233
x	χ	0.865
x	-	0.135
z	s	0.641
z	z	0.257
z	ɕ	0.102
ç	χ	0.766
ç	-	0.146
ç	ŋ	0.088
ŋ	ŋ	0.832
ŋ	n	0.168
ɐ	r	0.755
ɐ	ə_r	0.127
ɐ	-	0.066
ɐ	ˈɪ_r	0.051
ə	ə	0.944
ə	j	0.056
ɡ	ɣ	1.0
ɣ	ɡ	0.663
ɣ	ɣ	0.201
ɣ	χ	0.136
ɪ	ə	0.821
ɪ	ɪ	0.179
ʃ	s_k	0.97
ˈa	ˈa	0.483
ˈa	ˈɔː	0.173
ˈa	ˈaː	0.109
ˈa	ˈoə̯	0.088
ˈa	ˈɛ	0.051
ˈaʊ̯	ˈuə̯	0.699
ˈaʊ̯	ˈoː	0.301
ˈaː	ˈiə̯	0.448
ˈaː	ˈa	0.195
ˈaː	ˈɛː	0.195
ˈaː	ˈaː	0.161
ˈeo̯	ˈɪə̯	0.734
ˈeo̯	ˈuː	0.109
ˈeo̯	ˈoə̯	0.079
ˈeo̯	ˈeː	0.078
ˈeː	ˈiə̯	0.327
ˈeː	ˈɛ	0.208
ˈeː	ˈɔː	0.156
ˈeː	ˈɪə̯	0.14
ˈeː	ˈaː	0.104
ˈeː	j	0.066
ˈiː	ˈiː	0.367
ˈiː	ˈi	0.331
ˈiː	ˈɛ	0.158
ˈiː	j	0.144
ˈoː	ˈoə̯	0.364
ˈoː	ˈuə̯	0.326
ˈoː	ˈuː	0.141
ˈoː	j	0.098
ˈoː	ˈɪ	0.07
ˈuː	ˈuː	0.749
ˈuː	ˈu	0.129
ˈuː	ˈoː	0.065
ˈuː	ˈyː	0.057
ˈyː	j_ˈuə̯	1.0
ˈøː	ˈɪ	0.888
ˈøː	ˈuː	0.112
ˈœ	ˈa	0.549
ˈœ	ˈɪ	0.249
ˈœ	ˈɔ	0.202
ˈɒː	ˈiə̯	0.328
ˈɒː	ˈaː	0.205
ˈɒː	ˈoə̯	0.17
ˈɒː	ˈa	0.167
ˈɒː	ˈɛ	0.065
ˈɒː	ˈɪə̯	0.065
ˈɔ	ˈɔ	0.479
ˈɔ	ˈy	0.228
ˈɔ	ˈoə̯	0.14
ˈɔ	ˈɔu̯	0.088
ˈɔ	ˈaː	0.065
ˈɔʏ̯	ˈiə̯	0.798
ˈɔʏ̯	ˈɵ	0.144
ˈɔʏ̯	ˈɪə̯	0.059
ˈɛ	ˈɪ	0.565
ˈɛ	ˈɔ	0.139
ˈɛ	ˈa	0.091
ˈɛ	ˈiə̯	0.076
ˈɛ	ˈɛi̯	0.066
ˈɛ	-	0.063
ˈɛə̯	ˈɛː	1.0
ˈɛɪ̯	ˈiə̯	0.467
ˈɛɪ̯	ˈɪə̯	0.151
ˈɛɪ̯	ˈaː	0.077
ˈɛɪ̯	j	0.076
ˈɛɪ̯	ˈeː	0.062
ˈɛː	ˈɛi̯	0.334
ˈɛː	ˈiː	0.2
ˈɛː	ˈɛ	0.174
ˈɛː	ˈaː	0.102
ˈɛː	ˈɪə̯	0.101
ˈɛː	ˈi	0.073
ˈɪ	ˈɪ	0.564
ˈɪ	ˈi	0.131
ˈɪ	ˈiː	0.095
ˈɪ	ˈɔ	0.056
ˈɪ	ˈɛi̯	0.056
ˈʊ	ˈɔ	0.489
ˈʊ	ˈuː	0.277
ˈʊ	ˈu	0.138
ˈʊ	ˈuə̯	0.096
ˈʏ	ˈɪ	0.508
ˈʏ	ˈøə̯	0.331
ˈʏ	ˈɛː	0.098
ˈʏ	ˈyː	0.064
