West Flemish	Middle High German	probability
ˈɛ	-	1.0
ˈɑ	ˈɑ	1.0
ˈi	ˈiː	1.0
ʋ_ə	w_ə	1.0
ʋ	w	1.0
ʃ_h	ʃ	1.0
ɾ_ə	r_ə	1.0
ɪ	ə	1.0
ɦ_ə	kː_ə	1.0
ə_l	ə_l	1.0
ç	ɡ̊	1.0
w	l	1.0
v̥	b̥	1.0
v_ə	f	1.0
t_ə	ʦ_ə	1.0
n_ˈɒː	n_ˈɑ	1.0
j	j	1.0
iə̯	ɛ	1.0
h	x	1.0
d_ə	t_ə	1.0
b	b	1.0
l	l	0.956
m	m	0.887
ˈɪ	ˈi	0.88
ɾ	r	0.856
z	s	0.853
ˈɛː	ˈei̯	0.832
ˈyː	ˈuː	0.83
ə	ə	0.799
v	v	0.736
ˈuə̯	ˈuə̯	0.701
n	n	0.671
z̥	s	0.654
n_ə	ə	0.648
ɦ	ɡ	0.639
ŋ	ŋ_ɡ	0.585
ˈøː	-	0.574
ˈu	ˈu	0.568
d̥	d̥	0.557
p	f	0.516
ˈɒː	ˈɑː	0.513
d	d	0.497
ˈeː	ˈɛ	0.474
ˈiə̯	ˈiə̯	0.472
ˈɒː	ˈɑ	0.455
s	s	0.447
d̥	t	0.443
d	t	0.435
ˈøː	ˈu	0.426
ˈɔ	ˈo	0.416
ŋ	ŋ	0.415
ˈɔ	ˈu	0.403
ˈœ	ˈy	0.402
ˈœ	ˈo	0.397
ˈæ	-	0.388
s	ʃ	0.381
ˈæ	ˈɛ	0.362
k	kʰ	0.362
ɦ	ɡ_ə	0.361
n_ə	n_ə	0.352
z̥	s_ə	0.346
t	t	0.332
ˈoː	ˈo	0.308
t	s̻	0.305
p	p͡f	0.303
ˈuə̯	ˈyə̯	0.299
ˈeː	ˈei̯	0.292
k	xː	0.268
v	b	0.264
ˈu	ˈɑ_l	0.259
ˈæ	ˈi	0.25
n	ə_n	0.244
ˈeː	-	0.234
ˈiə̯	ˈyː	0.233
t	ʦ	0.224
ˈoː	ˈoː	0.217
ˈœ	-	0.201
ˈɔ	-	0.181
ə	-	0.178
ˈu	-	0.173
ˈyː	ˈyː	0.17
ˈɛː	ˈeː	0.168
ˈiə̯	-	0.168
ˈoː	ˈou̯	0.156
z	ʃ	0.147
k	kː_ə	0.141
t	s̻ː	0.132
ˈiə̯	ˈɛ_h	0.127
ˈoː	-	0.121
p	p	0.121
ˈɪ	ˈy	0.12
k	ɡ̊	0.118
m	mː	0.113
k	k	0.11
ɾ	ə_r	0.103
s	x_s	0.103
ˈoː	ˈøː	0.101
ˈoː	ˈy	0.075
s	ʃː	0.068
d	t_ə	0.068
p	fː	0.06
n	nː	0.06
