Portuguese	Portuguese	probability
β_ɾ	v_ʁ	1.0
ˈɨ	w	1.0
ˈɛ_ʃ	ɛɪ̯	1.0
ˈɛ_l	oʊ̯	1.0
ˈɔ_ʃ	u	1.0
ˈɐ̃_w̃	ẽɪ̯̃	1.0
ˈɐ̃_#>	æɛ̯_n_#>	1.0
ˈũ	œ̃ʏ̯̃	1.0
ˈõ	ɒ̃ʊ̯̃	1.0
ˈo_ɣ	øʏ̯	1.0
ˈo_ɐ	ɔ_n	1.0
ˈi_ɣ	i	1.0
ˈẽ_t	ã	1.0
ˈẽ	ã	1.0
ˈe_ɾ	ʁ	1.0
ˈa_ɾ	e	1.0
ˈa_ɫ	oʊ̯	1.0
ˈa_ð	e	1.0
ʃ_t	t	1.0
ʁ_ɐ	ʁ_æɛ̯	1.0
ʁ	ʁ	1.0
ɾ_ɨ	ʁ	1.0
ɾ_ɐ	ʁ	1.0
ɲ_u	ẽɪ̯̃	1.0
ɫ_#>	l_#>	1.0
ɐ_#>	#>	1.0
ð_u	ɛ	1.0
w̃	ɒ̃ʊ̯̃	1.0
w_ˈa	a	1.0
w_ɐ_#>	#>	1.0
v_ˈa	v_a	1.0
v_ɐ	b	1.0
ũ	n_ɒ̃ʊ̯̃	1.0
u_#>	#>	1.0
t_ɐ_#>	t_#>	1.0
t_u	ẽɪ̯̃	1.0
s_ˈe	t	1.0
õ	ɒ̃ʊ̯̃	1.0
l_ɐ	l	1.0
j̃	-	1.0
j_t	i	1.0
ĩ	-	1.0
f	f	1.0
d_u_#>	#>	1.0
b	b	1.0
<#_ˈo	<#	1.0
<#_ʁ	<#_ʁ	1.0
<#_ɔ	<#	1.0
<#_ɐ_ʒ	<#_æɛ̯	1.0
<#_ɐ	<#_a	1.0
<#_t	<#_t	1.0
<#_l	<#_l	1.0
<#_i	<#_e	1.0
m	m	0.933
p	p	0.903
ɾ	ʁ	0.879
s	s	0.86
j	-	0.846
ʒ	ʒ	0.818
ð	-	0.8
ɡ	ɡ	0.778
ʎ	j	0.769
v	v	0.75
n	n	0.75
k_ɐ	ʃ	0.75
ʃ_#>	#>	0.714
d	d	0.714
ɨ	-	0.684
ˈɐ_j	i	0.667
ɲ_ɐ	ɲ	0.667
w	-	0.667
ɣ	-	0.636
ˈĩ	ẽɪ̯̃	0.6
k	k	0.595
l	-	0.571
β	-	0.556
ˈa	æɛ̯	0.556
ˈɐ̃	ã	0.5
ɐ̃	ã	0.5
ɐ̃	-	0.5
ɐ	a	0.5
z	z	0.5
z	-	0.5
t	t	0.5
t	-	0.5
j_#>	ɛ_#>	0.5
j_#>	#>	0.5
i	i	0.5
i	-	0.5
#>	l_#>	0.5
ʃ	-	0.458
u	-	0.45
ˈi	ɪ	0.448
β	v	0.444
ˈɔ	-	0.444
l	l	0.429
ˈĩ	ã	0.4
ˈɛ	æɛ̯	0.385
ˈi	-	0.379
ˈu	y	0.368
ɣ	ɡ	0.364
ˈɐ̃	-	0.333
ˈɐ_j	æɛ̯	0.333
ˈa	a	0.333
ɲ_ɐ	n	0.333
w	oʊ̯	0.333
k	ʃ	0.324
ˈɐ	w	0.308
#>	ɛ_#>	0.3
ˈe	i	0.286
ʃ_#>	ɛ_#>	0.286
d	ʣ	0.286
ɐ	-	0.278
ˈe	w_ɛ	0.25
v	-	0.25
u	u	0.25
n	-	0.25
k_ɐ	ʃ_œ	0.25
ˈɛ	ɛ	0.231
ˈɛ	j_ɛ	0.231
ˈɐ	-	0.231
ʎ	-	0.231
ɡ	-	0.222
ˈu	ɥ	0.211
ʃ	s	0.208
ð	d	0.2
#>	ʁ_#>	0.2
ˈo	u	0.188
ʒ	-	0.182
ˈe	ɛ	0.179
ˈi	i	0.172
ˈɐ̃	ẽɪ̯̃	0.167
ʃ	p_l	0.167
ˈu	w	0.158
ˈu	-	0.158
ɨ	œ	0.158
ˈo	ɥ	0.156
ˈo	œ	0.156
ˈɛ	j	0.154
ˈɐ	æɛ̯	0.154
ˈɐ	j	0.154
ˈɐ	a	0.154
j	æɛ̯	0.154
s	-	0.14
ˈo	ʊ	0.125
ˈo	ɔ	0.125
ˈo	ɑɔ̯	0.125
ˈo	-	0.125
ˈɔ	ɑɔ̯	0.111
ˈɔ	œ	0.111
ˈɔ	w	0.111
ˈɔ	u	0.111
ˈɔ	aœ̯	0.111
ˈa	e	0.111
ɐ	æɛ̯	0.111
ɐ	n	0.111
ˈe	w	0.107
ˈe	-	0.107
ˈu	ʏ	0.105
ɨ	æɛ̯	0.105
u	ɔ	0.1
u	ɑɔ̯	0.1
u	ẽɪ̯̃	0.1
p	-	0.097
ʃ	k_l	0.083
ʃ	f_l	0.083
k	-	0.081
ˈe	æɛ̯	0.071
m	-	0.067
ɨ	w_ɛ	0.053
