West Flemish	Limburgish	probability
b	b	1.0
d	d	0.847
d	-	0.142
d̥	d̥	0.803
d̥	-	0.069
h	x	0.664
h	-	0.336
iə̯	i	1.0
j	j	0.864
j	ˈɛː	0.136
k	k	0.93
l	l	1.0
m	m	0.848
m	ə_m	0.094
m	ɪ	0.058
n	n	0.61
n	ə	0.359
p	p	0.839
p	ə_p	0.139
s	s	0.942
s	z	0.058
t	t	0.979
v	v	0.957
v̥	v̥	0.969
w	l	0.81
w	-	0.151
z	z	0.916
z	ɦ	0.057
z̥	s	1.0
ç	x	1.0
ŋ	ŋ	1.0
ə	j	0.691
ə	ə	0.288
ɡ̊	ɡ̊	1.0
ɦ	ɣ	0.722
ɦ	k	0.07
ɦ	-	0.061
ɦ	ɡ	0.054
ɦ	x	0.05
ɪ	ɪ	1.0
ɾ	ʀ	0.99
ʃ	ʃ	1.0
ʋ	β	0.864
ʋ	-	0.136
ˈeː	ˈeː	0.575
ˈeː	ˈɛː	0.196
ˈeː	ˈi	0.14
ˈeː	ˈɛːi̯	0.088
ˈi	ˈiː	0.75
ˈi	ˈøː	0.116
ˈi	ˈɛ	0.063
ˈiə̯	ˈeː	0.313
ˈiə̯	ˈiː	0.169
ˈiə̯	ˈyː	0.11
ˈiə̯	ˈi	0.1
ˈiə̯	ˈʏː	0.082
ˈiə̯	ˈøː	0.06
ˈiə̯	ˈɪː	0.058
ˈiə̯	ˈɛ	0.051
ˈoː	ˈʊː	0.271
ˈoː	ˈɔː	0.231
ˈoː	ˈu	0.148
ˈoː	ˈøː	0.095
ˈoː	ˈyː	0.065
ˈoː	ˈuː	0.062
ˈoː	ˈoː	0.053
ˈu	ɦ_ˈʊː	0.292
ˈu	ˈʊː	0.239
ˈu	ˈɔu̯	0.154
ˈu	ˈaː	0.134
ˈu	ˈʊ	0.066
ˈu	ˈuː	0.064
ˈuə̯	ˈøː	0.405
ˈuə̯	ˈʊː	0.237
ˈuə̯	ˈoː	0.216
ˈuə̯	ˈɔ	0.142
ˈyː	ˈuː	0.543
ˈyː	ˈɔu̯	0.23
ˈyː	ˈœi̯	0.166
ˈyː	ˈiː	0.06
ˈæ	ˈæː	0.224
ˈæ	ˈaː	0.209
ˈæ	ˈʏ	0.136
ˈæ	ˈeː	0.128
ˈæ	ˈɛː	0.12
ˈæ	ˈɑ	0.076
ˈøː	ˈʊː	0.423
ˈøː	ˈøː	0.234
ˈøː	ˈoː	0.172
ˈøː	ˈɒː	0.172
ˈœ	ˈœ	0.4
ˈœ	ˈɔ	0.211
ˈœ	ˈiː	0.18
ˈœ	ˈʏː	0.13
ˈœ	ˈeː	0.079
ˈɑ	ˈɑ	0.375
ˈɑ	ˈɑː	0.281
ˈɑ	ˈaː	0.28
ˈɑ	ˈæ	0.064
ˈɒː	ˈɒː	0.447
ˈɒː	ˈaː	0.217
ˈɒː	ˈʊː	0.132
ˈɒː	ɦ_ˈɒː	0.086
ˈɒː	ˈæː	0.055
ˈɔ	ˈɔ	0.313
ˈɔ	ˈʊː	0.253
ˈɔ	ˈœː	0.187
ˈɔ	ˈɔː	0.089
ˈɔ	ˈæ	0.066
ˈɔ	-	0.065
ˈɛ	ˈɛ	0.373
ˈɛ	ˈɪ	0.344
ˈɛ	ˈi	0.129
ˈɛ	ˈeː	0.102
ˈɛ	ˈɛː	0.051
ˈɛː	ˈɛː	0.475
ˈɛː	ˈi	0.245
ˈɛː	ˈeː	0.129
ˈɛː	ˈoː	0.106
ˈɪ	ˈɪː	0.766
ˈɪ	ˈɪ	0.077
ˈɪ	ˈʏ	0.059
ˈɪ	ˈeː	0.056
