East Low German	West Frisian	probability
b	b	0.859
b	v	0.059
b	-	0.051
b	p	0.046
d	d	0.492
d	t	0.308
d	-	0.108
d	ʦ_j	0.074
f	f	0.899
f	-	0.064
f	v	0.04
h	h	1.0
j	ɡ	0.551
j	j	0.428
k	k	0.769
k	-	0.165
k	ɣ	0.067
kʰ	k	0.709
kʰ	ʦ	0.266
kʰ	-	0.04
l	l	0.713
l	l_ə	0.106
l	-	0.072
l	ə_l	0.045
m	m	0.795
m	n	0.079
m	-	0.062
m	v	0.054
n	n	0.688
n	ə	0.19
n	-	0.055
n	j_ə	0.048
n_d	n	1.0
p	p	0.974
p	t	0.041
r	r	0.945
r	-	0.057
s	s	0.918
s	z	0.08
t	t	0.93
t	-	0.054
tʰ	t	0.899
tʰ	ʦ	0.083
v	ʋ	0.584
v	v	0.252
v	-	0.156
w	v	1.0
x	χ	0.879
x	-	0.109
z	s	0.704
z	ɕ	0.119
z	z	0.088
z	m	0.073
æ	r	0.56
æ	ə_r	0.275
æ	ˈɪ_r	0.078
æ	ə	0.078
æ_t	r	1.0
ç	χ	0.569
ç	-	0.131
ç	ŋ	0.114
ç	k	0.086
ç	ɣ	0.086
ŋ	ŋ	0.559
ŋ	n	0.236
ŋ	ŋ_ə	0.13
ŋ	z	0.066
ɡ	ɡ	0.768
ɡ	ɣ	0.107
ɡ	-	0.072
ɣ	ɣ	0.125
ɪ	ə	0.608
ɪ	ɪ	0.37
ɾ	-	0.342
ɾ	d	0.268
ɾ	ˈuə̯	0.11
ɾ	ˈɪə̯	0.11
ɾ	ə	0.106
ʃ	s	0.515
ʃ	s_k	0.481
ˈa	ˈa	0.573
ˈa	ˈaː	0.144
ˈa	ˈɔː	0.107
ˈa	ˈɪə̯	0.052
ˈa	ˈɛi̯	0.048
ˈae̯	ˈiə̯	0.35
ˈae̯	ˈɪə̯	0.195
ˈae̯	ˈɪ	0.18
ˈae̯	ˈiː	0.06
ˈae̯	ˈeː	0.06
ˈaɪ̯	ˈiə̯	0.501
ˈaʊ̯	ˈuə̯	0.344
ˈaʊ̯	ˈɪə̯	0.314
ˈaʊ̯	ˈoː	0.089
ˈaʊ̯	-	0.051
ˈaʊ̯	ˈoə̯	0.051
ˈaː	ˈɛː	0.24
ˈaː	ˈɛ_r	0.24
ˈaː	ˈaː	0.209
ˈaː	ˈa	0.138
ˈaː	ˈɪə̯	0.1
ˈeː	ˈa	0.244
ˈeː	ˈiə̯	0.244
ˈeː	ˈeː	0.244
ˈiː	ˈiː	0.28
ˈiː	ˈi	0.258
ˈiː	ˈɛ	0.199
ˈiː	j	0.118
ˈiː	ˈɔu̯	0.059
ˈoː	ˈɪə̯	0.415
ˈoː	ˈiə̯	0.225
ˈoː	j	0.196
ˈuː	ˈuː	0.603
ˈuː	ˈyː	0.098
ˈuː	ˈoː	0.081
ˈuː	ˈɪə̯	0.078
ˈuː	ˈuə̯	0.076
ˈuː_æ	ˈoə̯	1.0
ˈyː	j_ˈuə̯	0.45
ˈyː	ˈyː	0.225
ˈyː	ˈɪə̯	0.13
ˈøː	ˈuː	0.19
ˈøː	ˈeː	0.19
ˈœ	ˈɔ	0.35
ˈœ	ˈaː	0.152
ˈœ	ˈɛi̯	0.088
ˈœː	ˈuə̯	0.287
ˈœː	ˈɪ	0.287
ˈœː	ˈɔː	0.165
ˈœː	ˈoə̯	0.165
ˈɒː	ˈiə̯	0.229
ˈɒː	ˈaː	0.184
ˈɒː	ˈa	0.136
ˈɒː	ˈoə̯	0.078
ˈɒː	ˈɪə̯	0.078
ˈɔ	ˈɔ	0.407
ˈɔ	ˈɔː	0.188
ˈɔ	ˈy	0.142
ˈɔ	ˈɔu̯	0.077
ˈɔ	ˈoə̯	0.055
ˈɔʏ̯	ˈiə̯	0.583
ˈɔʏ̯	j	0.229
ˈɔʏ̯	ˈɵ	0.151
ˈɛ	ˈɪ	0.35
ˈɛ	ˈɛi̯	0.171
ˈɛ	ˈɔ	0.171
ˈɛ	ˈa	0.149
ˈɛ	-	0.079
ˈɛɪ̯	ˈiː	1.0
ˈɛː	ˈaː	0.299
ˈɛː	ˈiː	0.226
ˈɛː	ˈɛ	0.141
ˈɛː	ˈi	0.099
ˈɛː	ˈoə̯	0.064
ˈɪ	ˈɪ	0.514
ˈɪ	ˈi	0.153
ˈɪ	ˈɛi̯	0.111
ˈɪ	ˈɔ	0.071
ˈɪ	j_ˈɔ	0.055
ˈʊ	ˈɔ	0.463
ˈʊ	ˈuː	0.207
ˈʊ	ˈu	0.162
ˈʊ	-	0.074
ˈʊ	ˈyː	0.072
ˈʏ	ˈɪ	0.355
ˈʏ	ˈɛː	0.229
ˈʏ	ˈøə̯	0.158
ˈʏ	ˈø	0.158
