Polish	Polish	probability
ʥ	d	1.0
ʑ	z	1.0
ʂ	-	1.0
ɨ_#>	#>	1.0
ɡ̊_#>	ɡ_#>	1.0
ɛ_ɲ	eː	1.0
ɛ_r	r̩	1.0
ɛ_m	a_m	1.0
ɕ	s	1.0
ɔ_w̃	uː	1.0
ɔ_m	uː	1.0
ɔ_#>	o_#>	1.0
ŋ	-	1.0
z̥_ɡ̊	ɡ̊	1.0
z	z	1.0
x_ɨ	x	1.0
x	x	1.0
w̃_z	̌_z	1.0
w̃_#>	#>	1.0
w̃	-	1.0
w_ɔ	l_aː	1.0
w_a	l_a	1.0
w_#>	l_#>	1.0
v_ɨ_#>	ʋ_#>	1.0
v_j	ʋ	1.0
v	ʋ	1.0
t_a	t_a	1.0
r_ɨ	a_r	1.0
r_ɔ	r_a	1.0
r	r	1.0
p	p	1.0
n_ɨ	a_n	1.0
m_j	m	1.0
m	m	1.0
l_a	ʎ_e	1.0
j	j	1.0
i_#>	#>	1.0
f	ʋ	1.0
d̥_#>	d_#>	1.0
d̥	d̥	1.0
d_w	l	1.0
d	d	1.0
b̥_#>	b_#>	1.0
b	b	1.0
a_r	r̩ː	1.0
<#_ʨ	<#_t	1.0
<#_ɔ	<#_o	1.0
<#_v	<#_u	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_j	<#_j	1.0
<#_d	<#_d	1.0
k	k	0.929
ɡ	ɡ	0.889
s	s	0.84
n	n	0.8
t	t	0.727
ʦ	ʦ	0.714
a	a	0.711
ʈ͡ʂ	ʧ	0.667
j_ɛ	a	0.667
i	i_̂	0.625
ʐ̊	r	0.6
ɲ	n	0.6
w	l	0.583
ɨ	iː	0.571
ʨ	t	0.556
#>	o_#>	0.5
#>	a_#>	0.5
ʐ	ʒ	0.455
ʨ	t_i	0.444
l	ʎ	0.417
l	l	0.417
ʐ̊	ʒ	0.4
ɔ	o	0.382
i	iː	0.375
ʈ͡ʂ	-	0.333
j_ɛ	eː_̂	0.333
ɛ	e	0.312
ʦ	ʨ	0.286
ɨ	i_̂	0.286
u	uː	0.28
t	̂_t	0.273
w	-	0.25
ɲ	ɲ	0.2
ɲ	-	0.2
u	oː	0.2
n	-	0.2
ʐ	̌_r	0.182
ʐ	r_j	0.182
ʐ	r	0.182
ɔ	e	0.176
ɛ	e_̌	0.167
w	u_̂	0.167
l	-	0.167
s	̌_s	0.16
ɔ	oː	0.147
ɛ	a	0.146
ɨ	i	0.143
ɛ	-	0.125
u	o	0.12
u	eː	0.12
u	-	0.12
ɡ	-	0.111
a	aː	0.089
ɔ	uː	0.088
ɔ	-	0.088
ɛ	eː_̌	0.083
u	u	0.08
u	aː	0.08
k	ʦ	0.071
a	e	0.067
ɛ	i	0.062
ɛ	eː_̂	0.062
ɔ	aː	0.059
ɔ	a	0.059
