Bokmål Norwegian	Northern Low Saxon	probability
b	b	1.0
f	f	1.0
h	h	1.0
i	ɪ_ç	1.0
kʰ	kʰ	1.0
m	m	1.0
sː	s	1.0
ç	kʰ	1.0
ŋ	n	1.0
ŋː	ŋ	1.0
ə	-	1.0
ɳ	ɐ_n	1.0
ˈæɪ̯	ˈaɪ̯	1.0
ˈæː	ˈɛ	1.0
ˈɪ	ˈɪ	1.0
d	d	0.941
j	x	0.321
nː	n	0.571
ɡː	ɡ	0.201
ˈiː	ˈɪ	0.121
ˈʉː	ˈeː	0.11
j	-	0.052
lː	l	0.472
tʰ	d	0.712
ɾ	-	0.182
ˈeː	ˈɪ	0.262
ˈyː	ˈyː	0.402
ˈøː	ˈaʊ̯_d	0.342
ˈœ	ˈɔʏ̯	0.802
ˈɔ	ˈʊ	0.2
k	ɡ	0.783
l	l	0.923
lː	-	0.203
s	s	0.33
ɡː	-	0.523
ɾ	r	0.43
ˈeː	ˈaɪ̯	0.613
ˈuː	ˈaʊ̯	0.753
ˈɑ	ˈa	0.633
ˈʉː	ˈuː	0.823
ˈʏ	ˈʏ	0.703
p	b	0.654
t	d	0.604
tː	t	0.94
ɾ	ɐ_d	0.054
ɾ	ɐ	0.334
ˈoː	ˈoː	0.884
ˈuː	ˈaʊ̯_d	0.14
ˈɔ	ˈa	0.344
ˈʉ	v_ˈʊ	0.284
ˈʉ	ˈʊ	0.64
lː	l_d	0.325
s	ʃ	0.225
s	z	0.445
ʂ	z	0.295
ʂ	ʃ	0.705
ʋ	-	0.15
ˈeː	ˈeː	0.125
ˈuː	ˈaɪ̯	0.065
ˈøː	ˈɔʏ̯	0.305
ˈɑː	ˈa	0.065
ˈɑː	ˈoː	0.935
p	p	0.346
t	t	0.396
tː	x_d	0.06
ɡː	ç	0.276
ˈiː	ˈiː	0.516
ˈoː	ˈaʊ̯	0.086
ˈœ	ˈøː	0.16
ˈɔ	ˈoː	0.386
ˈɛ	ˈʏ	0.086
ˈɛ	ˈɪ	0.246
ˈɛ	ˈa	0.316
j	ɡ	0.627
k	k	0.217
l	ɡ_l	0.077
tʰ	tʰ	0.27
ɡ	ɡ	0.937
ʋ	f	0.17
ˈiː	ˈaɪ̯	0.117
ˈiː	ˈeː	0.247
ˈøː	ˈaʊ̯	0.307
ˈɔ	ˈɔ	0.07
ˈɛ	ˈɛ	0.27
ˈʉ	ˈuː	0.077
ˈʉː	-	0.067
ˈʏ	ˈyː	0.297
n	n	0.948
nː	-	0.18
ʋ	v	0.68
ˈyː	ˈaɪ̯	0.598
d	-	0.059
nː	n_d	0.249
ˈɑ	n_#>	0.139
