Old Church Slavonic	Old Church Slavonic	probability
ˈ_#>	ˈ_#>	1.0
ʊ_ˈ	ˈ	1.0
ʊ_ʧ	ʤ	1.0
ʊ_#>	#>	1.0
ɪ_#>	#>	1.0
ɡ_ʊ_#>	ɦ_#>	1.0
ɛ_#>	#>	1.0
ɔ_#>	ɔ_#>	1.0
ɑ_#>	ɐ_#>	1.0
x	x	1.0
v_ʊ	ʋ	1.0
u_ˈ	ʊ	1.0
u	u	1.0
t_ɪ	tʲ	1.0
s_ʊ_#>	s_#>	1.0
s_ʊ	s	1.0
rʲ	r	1.0
r_ɪ	ɛ	1.0
nʲ	nʲ	1.0
n_ʊ_#>	n_#>	1.0
lʲ	lʲ	1.0
k_ʊ_#>	k_#>	1.0
i_#>	e_#>	1.0
i	ɪ	1.0
d_ʊ	d	1.0
a	a	1.0
<#_ɔ	<#_ɔ	1.0
<#_v	<#_ʋ	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_l	<#_lʲ	1.0
<#_k	<#_k	1.0
<#_d	<#_d	1.0
#>	ˈ_#>	1.0
b	b	0.929
m	m	0.857
ˈ	ˈ	0.855
ʒ	ʒ	0.833
d	d	0.833
t	t	0.828
z	z	0.812
ʧ	ʧ	0.8
æ	i	0.786
p	p	0.778
ɡ	ɦ	0.765
s	s	0.75
ʊ	j	0.727
ɯ	ɪ	0.7
ʃ	-	0.667
ɔ̃	u	0.667
<#_j	<#_j	0.667
ɑ	ɑ	0.649
ɔ	ɔ	0.645
k	k	0.636
<#	<#_w	0.6
l	ɫ	0.564
ʦ	ʦʲ	0.5
ʦ	ʦ	0.5
ɪ_ˈ	ˈ_ʋ	0.5
ɪ_ˈ	ˈ	0.5
ɛ̃	ɐ	0.5
ɛ	ɛ	0.5
n	n	0.474
r	r	0.444
ɪ	-	0.429
<#	<#_z	0.4
v	ʋʲ	0.391
ɔ	i	0.355
ʃ	ʃʲ	0.333
ɔ̃	ʊ	0.333
<#_j	<#	0.333
n	nʲ	0.316
ɯ	-	0.3
ɛ̃	j_ɑ	0.3
ɪ	ɛ	0.286
ɛ	i	0.269
v	ʋ	0.261
s	sʲ	0.25
p	pʲ	0.222
v	w	0.217
æ	-	0.214
ʊ	ɔ	0.212
n	n_e	0.211
ʧ	ʧʲ	0.2
ɛ̃	j_ɐ	0.2
z	zʲ	0.188
r	rʲ	0.185
k	kʲ	0.182
k	k_e	0.182
l	lʲ	0.179
ɡ	-	0.176
ʒ	ʒʲ	0.167
ɛ	ɔ	0.154
r	ɔ	0.148
ɪ	r	0.143
ɪ	e	0.143
m	mʲ	0.143
v	ʋ_e	0.13
l	ɔ_ɫ	0.128
l	ɔ	0.128
ˈ	-	0.111
d	-	0.111
t	tʲ	0.103
ɑ	ɔ	0.081
ɑ	ɐ	0.081
ɑ	r_ɔ	0.081
ɛ	e	0.077
r	ɛ	0.074
r	r_ɪ	0.074
r	r_e	0.074
b	bʲ	0.071
t	-	0.069
ʊ	-	0.061
ɡ	ɦʲ	0.059
d	dʲ	0.056
ɑ	i	0.054
ɑ	a	0.054
