Russian	Bulgarian	probability
b	b	1.0
d	d	1.0
dʲ	d	1.0
j	-	1.0
k	k	1.0
kʲ	-	1.0
m	m	1.0
mʲ	m	1.0
nʲ	n	1.0
p	p	1.0
pʲ	p	1.0
r	r	1.0
rʲ	r	1.0
s	s	1.0
sʲ	s	1.0
t	t	1.0
v	v	1.0
x	x	1.0
z	z	1.0
zʲ	z	1.0
ɡ	ɡ	1.0
ɨ	-	1.0
ʂ	ʃ	1.0
ʊ	ɐ	1.0
ʐ	ʒ	1.0
ʦ	ʦ	1.0
ʨ	ʧ	1.0
ˈi	ˈi	1.0
ˈu	ˈɤ	1.0
ˈæ	ˈɛ	1.0
ɐ	ˈɔ	0.051
ˈe	ˈɛ	0.392
ə	ɐ	0.413
ˈe	ɐ	0.183
lʲ	l	0.484
n	ɛ_n	0.204
vʲ	v	0.654
ɪ	-	0.14
ˈo	ˈa	0.14
ˈo	ˈɤ	0.284
ˈɵ	ˈɛ	0.384
lʲ	ɫ	0.155
tʲ	-	0.105
tʲ	t	0.895
ɐ	o	0.45
ə	-	0.15
ˈa	ˈɛ	0.085
ˈa	ˈa	0.915
ˈo	o	0.085
ˈo	ˈɔ	0.45
ˈɨ	i	0.295
ˈɨ	ˈi	0.705
lʲ	lʲ	0.36
n	n	0.796
vʲ	vʲ	0.346
ɐ	ɛ	0.06
ə	ˈɔ	0.116
ɪ	ˈɛ	0.056
ɪ	ɛ	0.486
ˈɵ	ˈɤ	0.616
ɐ	-	0.438
ɫ	ɫ	0.968
ə	o	0.259
ɪ	ɐ	0.29
ˈe	ˈa	0.379
