Palatine German	Palatine German	probability
ˈɛː_ʃ	ˈæɪ̯	1.0
ˈɑ̃ː	-	1.0
ˈɑ̃ɪ̯	ˈiː	1.0
ˈɑːɪ̯	ˈɛ_ɡː	1.0
ˈɑː_ɐ	ˈɑ_ɾ	1.0
ˈɑː_d̥	ˈɑː	1.0
ˈuː_d̥	ˈuː	1.0
ˈuː_#>	ˈʉː_#>	1.0
ˈõː	ˈœ_n	1.0
ˈoː_d̥	ˈøː	1.0
ˈo	ˈoː	1.0
ˈĩː	ˈœ_nː	1.0
ˈi	ˈyː	1.0
ˈẽː	-	1.0
ˈeː_#>	ˈøː_#>	1.0
ˈau̯̯	ˈʉː	1.0
ˈau̯	ˈʉː	1.0
ʃ_#>	#>	1.0
ɡ̊_#>	ɡː_#>	1.0
ə_#>	#>	1.0
ɑ	ə	1.0
ɐ_ʣ̥	ʈː	1.0
ɐ_n	ɳ	1.0
ɐ_d̥	ɾ	1.0
ɐ_#>	#>	1.0
ŋ_ɡ̊	kː	1.0
ŋ	ŋː	1.0
x_l	l	1.0
x_d̥	tː	1.0
r_ɐ	ɾ	1.0
n_d̥	nː	1.0
n_#>	#>	1.0
l_ˈɑː	l_ˈøː	1.0
l_f	l_ʋ	1.0
l_d̥	lː	1.0
j	ɡ	1.0
f_#>	p_#>	1.0
eː	ə_n	1.0
<#_β	<#	1.0
<#_ˈɛ	<#_ˈɛ	1.0
<#_ˈu	<#_ˈɔ	1.0
<#_r	<#_ɾ	1.0
<#_n	<#_n	1.0
<#_j	<#	1.0
#>	n_#>	1.0
ə	ə	0.912
b̥	b	0.895
h	h	0.864
β	ʋ	0.857
l	l	0.816
ʃ_d̥	s_t	0.8
kʰ	kʰ	0.8
f	f	0.783
m	m	0.769
ˈuː	ˈuː	0.75
x	k	0.75
r	ɾ	0.682
ˈu	ˈʉ	0.667
ˈɑ	ˈɑ	0.645
ɡ̊	ɡ	0.611
b̥_#>	ʋ_#>	0.6
s	s	0.581
ɐ	ɾ	0.576
ˈeː	-	0.571
ˈoː	ˈoː	0.538
ˈiː	ˈyː	0.533
ˈɛː	-	0.5
ʣ̥	tʰ	0.5
ɪ	-	0.5
n	n	0.481
ˈɪ	ˈɪ	0.448
ˈɑː	ˈɑː	0.444
ˈɑː	-	0.444
ˈaɪ̯	ˈiː	0.444
ˈeː	ˈɛ	0.429
d̥	d	0.41
n	nː	0.407
b̥_#>	#>	0.4
ˈɛ	ˈɛ	0.391
ˈɔ	-	0.375
ˈiː	-	0.333
ʃ	s	0.333
d̥	tʰ	0.333
ˈoː	-	0.308
ɐ	ə_ɾ	0.303
ˈɛː	ˈæɪ̯	0.3
ʃ	k	0.267
ˈɛ	-	0.261
s	t	0.256
ˈɔ	ˈʉ	0.25
ˈɔ	ˈuː	0.25
ˈuː	ˈøː	0.25
ʣ̥	tː	0.25
ʣ̥	-	0.25
ɪ	ɪ	0.25
ɪ	i	0.25
x	-	0.25
ˈɪ	-	0.241
ʃ	s_k	0.233
m	mː	0.231
r	-	0.227
ˈaɪ̯	ˈɛ	0.222
ˈɪ	ˈʏ	0.207
ˈɛː	ˈeː	0.2
ʃ_d̥	tː	0.2
kʰ	ç	0.2
l	lː	0.184
d̥	-	0.179
f	p	0.174
ˈu	ˈɔ	0.167
ˈu	ˈuː	0.167
ˈaɪ̯	ˈyː	0.167
ˈaɪ̯	-	0.167
ɡ̊	j	0.167
ˈɑ	ˈɑː	0.161
ˈoː	ˈøː	0.154
h	j	0.136
ˈiː	ˈeː	0.133
ˈɛ	ˈeː	0.13
ˈɛ	j	0.13
ˈɔ	ˈœ	0.125
ˈɑː	ˈœʏ̯	0.111
ɡ̊	kʰ	0.111
ɡ̊	-	0.111
n	-	0.111
b̥	p	0.105
ˈɪ	ˈiː	0.103
ʃ	ʂ	0.1
r	ɾ_ˈœ	0.091
ə	n	0.088
ˈɛ	ˈɔ	0.087
d̥	t	0.077
β	ˈʉː	0.071
β	-	0.071
s	ʂ	0.07
ʃ	ˈæɪ̯	0.067
ˈɑ	ˈɛ	0.065
ˈɑ	ˈɔ	0.065
ˈɑ	ˈoː	0.065
ɐ	ˈæː	0.061
ɐ	-	0.061
