Mecklenburgisch-Vorpommersch	Mecklenburgisch-Vorpommersch	probability
ˈɛɪ̯	ˈɛː	1.0
ˈœ	-	1.0
ˈøː	ˈeː	1.0
ˈyː	ˈaɪ̯	1.0
ˈuː_æ	ˈa	1.0
ˈeː	ˈeː	1.0
ˈaɪ̯	ˈiː	1.0
ˈae̯_n	ˈeː	1.0
ʃ	ʃ	1.0
ɾ	d	1.0
ɪ	ɪ	1.0
ɣ̊	-	1.0
ɣ	-	1.0
ɡ̊	-	1.0
ɡ_n	ə	1.0
ç_#>	#>	1.0
æ_n	ɾ_ə	1.0
z̥	s	1.0
z	s	1.0
x	x	1.0
w	ʋ	1.0
v̥	b̥	1.0
v	ʋ	1.0
tʰ	ʦ	1.0
t_n	s_ə	1.0
t_#>	#>	1.0
r	ɾ	1.0
pʰ	-	1.0
n_n	n_ə	1.0
l	l	1.0
kʰ	k	1.0
k_n	k_ə	1.0
h	h	1.0
f	f	1.0
d̥	d̥	1.0
d	d	1.0
b_m	ʋ_ə	1.0
b	b	1.0
ae̯_n	eː	1.0
æ	ɑ	0.939
ˈa	ˈa	0.875
m	m	0.867
ɡ	ɡ	0.833
p	f	0.8
#>	ə_#>	0.8
ˈʊ	ˈʊ	0.786
ˈuː	ˈaʊ̯	0.786
ˈiː	ˈaɪ̯	0.733
n	n	0.729
ˈɪ	ˈɪ	0.714
ˈœː	-	0.714
ŋ	ŋ	0.688
n_#>	#>	0.667
j	ɡ	0.667
ˈoː	ˈɔː	0.571
ˈɔʏ̯	-	0.556
s	ʃ	0.556
ˈʏ	ˈɪ	0.545
ˈɛ	ˈɛ	0.538
ˈae̯	ˈeː	0.522
ˈɛː	ˈɛ	0.5
ˈɛː	-	0.5
ç	ç	0.5
ˈɔ	ˈɔ	0.455
ˈɔʏ̯	ˈiː	0.444
ˈoː	-	0.429
ˈaʊ̯	ˈuː	0.429
ˈɒː	ˈoː	0.389
t	s	0.382
ˈaː	ˈaː	0.375
ˈaː	-	0.375
ˈɔ	ˈʊ	0.364
ˈae̯	ˈiː	0.348
n_#>	ˈeː_#>	0.333
k	ç	0.333
k	x	0.333
j	j	0.333
t	t	0.294
ˈœː	ˈɪ	0.286
ç	k	0.286
ˈʏ	-	0.273
ˈaː	ˈɛː_ɾ	0.25
ˈaʊ̯	ˈoː	0.238
n	ə	0.237
ˈɒː	ˈa	0.222
ˈɒː	-	0.222
s	s	0.222
s	k_s	0.222
ˈʊ	ˈɔ	0.214
ˈuː	-	0.214
ç	ɡ̊	0.214
p	-	0.2
k	ɪ_ç	0.2
#>	f_#>	0.2
ˈaʊ̯	-	0.19
ŋ	ə	0.188
ˈʏ	ˈaɪ̯	0.182
ˈɔ	ˈa	0.182
ˈɒː	ˈɔː	0.167
ɡ	-	0.167
ˈɛ	ˈɪ	0.154
ˈɛ	ˈeː	0.154
ˈɛ	-	0.154
t	ʦ	0.147
ˈɪ	ˈaɪ̯	0.143
ˈaʊ̯	ˈɔː	0.143
ˈiː	ˈiː	0.133
ˈiː	-	0.133
k	k	0.133
ˈa	ˈɔː	0.125
ŋ	j_ə	0.125
t	d̥	0.088
t	d	0.088
ˈae̯	-	0.087
ˈɪ	ˈa	0.071
ˈɪ	-	0.071
m	ʋ_ə	0.067
m	-	0.067
æ	ɾ_ə	0.061
