Saterland Frisian	North Frisian	probability
b	b	1.0
f	f	1.0
h	h	1.0
p	p	1.0
r	r	1.0
w	v	1.0
z	z	1.0
ŋ	ŋ	1.0
ɡ	ɡ	1.0
ˈaːi̯	ˈɛi̯	1.0
ˈu	ˈyː	1.0
ˈʊ	ˈʊ	1.0
ɣ	ɡ	0.501
ˈaː	ˈɒː	0.771
ˈeː	ˈiː	0.961
ˈiː	ˈaː	0.051
ˈoːu̯	ˈɔ	0.141
ˈɔː	ˈɒ	0.21
ˈɛ	ˈa	0.161
ˈɛɪ̯	ˈai̯	0.171
ˈɛː	ˈa	0.541
j	-	0.472
k	k	0.942
n	n	0.92
s	s	0.942
t	tʲ	0.172
x	x	0.482
ə	ə	0.92
ɣ	-	0.392
ˈi	ˈi	0.832
ˈiː	ˈi	0.402
ˈiː	ˈiː	0.492
ˈoːu̯	ˈɔu̯	0.192
ˈoːu̯	ˈœ	0.572
ˈɪ	ˈai̯	0.292
ˈɪ	ˈa	0.542
m	m	0.953
x	j	0.383
ˈoː	ˈyː	0.233
ˈɔː	ˈɔː	0.413
ˈɛ	ˈeː	0.683
ˈɛɪ̯	j_ˈa	0.063
ˈɛɪ̯	ˈiː	0.153
ˈɛɪ̯	ˈɛ	0.243
ˈoː	ˈɔː	0.204
ˈɔ	ˈʊ	0.314
l	l	0.95
n	nʲ	0.055
t	t	0.745
v	v	0.985
ˈa	ˈa	0.305
ˈa	ˈɒ	0.695
ˈuː	ˈøː	0.315
ˈɛ	ˈɒ	0.155
d	-	0.126
x	-	0.136
ˈiː	ˈeː	0.056
ˈoː	ˈuː	0.426
ˈɔ	ˈɔː	0.686
d	d	0.567
ɣ	w	0.107
ˈoː	ˈiː	0.137
ˈuː	ˈyː	0.297
ˈɛɪ̯	ˈɛi̯	0.37
ˈɪ	ˈʊ	0.167
d	dʲ	0.158
j	j	0.528
k	-	0.058
s	ʃ	0.058
ˈi	ˈeː	0.168
d	r_d	0.079
ˈaː	ˈɒ	0.229
ˈuː	ˈaː	0.169
ˈuː	ə	0.219
ˈɔː	ˈɔ	0.169
ˈɔː	ˈɒː	0.209
ˈɛː	ˈeː	0.459
