Swedish	Mainland North Frisian	probability
ˈʏ	-	1.0
ˈʊ	ˈʊ	1.0
ˈɛ_nː	ˈɒ_n	1.0
ˈɑː_p	ˈɒː	1.0
ˈœː	-	1.0
ˈœ_l	l	1.0
ˈœ	-	1.0
ˈæː	-	1.0
ˈæ	ˈa	1.0
ʊ	n	1.0
ʈː	ʀ_t	1.0
ʈ	t	1.0
ʂ	ʀ_s	1.0
ɳ	ʀ_n	1.0
ɪ	i	1.0
ɡː	-	1.0
ɛ	ə	1.0
ɖ	d̥	1.0
ɔ	ɛi̯	1.0
ŋː	ŋ	1.0
tʰ_ˈoː	t_ˈuː	1.0
tʰ	t	1.0
sː	s	1.0
s_k	ʃ	1.0
rː	ʀ	1.0
r	ʀ	1.0
pː	p	1.0
pʰ	p	1.0
p	p	1.0
nː	n	1.0
mː	m	1.0
m	m	1.0
lː	l	1.0
kː	ŋ_k	1.0
kʰ	k	1.0
jː	d	1.0
j_ˈʉː	ˈiː	1.0
h	h	1.0
f	f	1.0
b	b	1.0
n	n	0.924
s	s	0.917
ˈeː	ˈiː	0.849
v	v	0.836
l	l	0.836
ˈiː	ˈi	0.829
ˈoː	-	0.771
k	k	0.744
a	ə	0.737
ˈɔ	-	0.679
ˈyː	-	0.633
n_d	nʲ	0.629
ɧ	ʃ	0.616
ŋ	-	0.609
t	t	0.596
ˈɵ	ˈʊ	0.459
ˈʉː	ˈɔː	0.434
ˈɪ	ˈi	0.419
ˈɑː	-	0.414
tː	x_t	0.404
d	dʲ	0.396
ŋ	ŋ	0.391
ɧ	s	0.384
ˈɵ	-	0.377
ˈøː	-	0.374
ɡ	j	0.371
n_d	n	0.371
ˈyː	ˈiː	0.367
ˈuː	-	0.346
ˈɛː	ˈɛː	0.345
tː	t	0.344
ˈʉː	ˈʏ	0.326
ˈuː	ˈœ	0.323
ˈɔ	ˈɔː	0.321
ˈɑː	ˈa	0.318
ˈa	ˈœ	0.316
ɡ	ɡ	0.31
j	j	0.303
ˈɛ	ˈeː	0.28
j	-	0.271
ˈɛ	-	0.268
ˈɑː	ˈɒː	0.268
a	-	0.263
d	d̥	0.261
ˈɛː	ˈiː	0.258
tː	tʲ	0.252
ɡ	ɣ̥	0.248
ˈɛ	ˈa	0.245
t	tʲ	0.239
ˈoː	ˈɔu̯	0.229
ˈɪ	ˈa	0.217
ˈɛː	ˈɛi̯	0.217
j	ɡ	0.213
j	h	0.213
ˈøː	ˈyː	0.211
ˈɪ	-	0.207
ˈɛ	ˈiː	0.207
ˈa	ˈɒ	0.198
ˈuː	ˈɔ	0.187
ˈɛː	-	0.18
ˈiː	-	0.171
ˈøː	ˈuː	0.167
d	d	0.167
t	z	0.165
ˈɵ	ˈʏ	0.164
v	-	0.164
ˈɪ	ˈai̯	0.158
ˈeː	ˈi	0.151
ˈʉː	ˈiː	0.145
k	x	0.145
ˈuː	ʀ	0.143
ˈa	ˈɔː	0.135
ˈa	-	0.135
ˈøː	ˈɛ	0.126
ˈøː	ˈiː	0.122
ˈa	ˈuː	0.117
k	k_ə	0.111
l	l_ə	0.109
d	z̥	0.109
ˈa	ˈʊ	0.1
ˈʉː	ˈœː	0.095
s	z	0.083
n	nʲ	0.076
ɡ	w	0.071
d	ə	0.067
