Campidanese	Eastern Lombard	probability
β	-	1.0
ˈɛ_n	ˈe	1.0
ˈɔ_ɾ	ˈu_r	1.0
ˈɔ_n	ˈu	1.0
ˈu_n	ˈy	1.0
ˈo_ɣ	ˈø_k	1.0
ˈo_n	ˈu	1.0
ˈi_n	ˈi	1.0
ˈa_ð	ˈa_t	1.0
ˈa_n	ˈa	1.0
ʦ	s	1.0
ʒ_i	s	1.0
ʃ	s	1.0
ɾ_ˈo	ˈɔ_r	1.0
ɾ_ˈi	r_ˈɛ	1.0
ɾ_u	r	1.0
ɲ	ɲ	1.0
ɡ	ɡ	1.0
ɛ_ɾ	r	1.0
ɖː	l	1.0
ɔ̆	-	1.0
ɔ_z	ʧ	1.0
z_u	s	1.0
z	-	1.0
w	w	1.0
ŭ	-	1.0
t_i	ʧ	1.0
s	s	1.0
p_ɾ	p	1.0
n_ʤ	ɲ	1.0
n_a	n	1.0
l_a	l_a	1.0
l	l	1.0
k_ɾ	ʧ	1.0
ĭ	-	1.0
i_ɾ	ˈi	1.0
f	f	1.0
e	e	1.0
ă	e	1.0
m	m	0.957
p	p	0.954
k	k	0.947
t	t	0.937
a	a	0.937
n	n	0.913
r	r	0.861
ˈa	ˈa	0.857
ɾ	r	0.834
b	b	0.819
ʧ	s	0.803
d	d	0.8
ɛ	e	0.72
ˈi_ɾ	ˈi	0.667
ˈe	ˈɛ	0.661
ŋ	ŋ	0.621
ɔ	o	0.609
o	o	0.574
ʤ	z	0.555
ʒ	z	0.529
j	j	0.529
ˈɛ	ˈɛ	0.519
ˈi	ˈi	0.482
ˈo	ˈɔ	0.479
ʒ	s	0.471
j	-	0.471
nː	ɲ	0.468
ð	d	0.467
ɭː	l	0.438
ð	t	0.427
o	-	0.426
ɔ	u	0.391
ŋ	-	0.379
ˈɛ	ˈe	0.371
u	o	0.355
ɣ	ɡ	0.353
ˈi	ˈɛ	0.349
ˈe	ˈe	0.339
ˈi_ɾ	ˈi_f	0.333
nː	-	0.311
ˈu	ˈø	0.307
ˈɔ	ˈø	0.303
ɭː	j	0.295
i	i	0.285
ɛ	-	0.28
ʤ	ʤ	0.267
ɭː	ˈø_l	0.267
ˈɔ	ˈɔ	0.264
ˈu	ˈo	0.25
ˈɔ	ˈu	0.249
u	-	0.24
i	-	0.223
nː	ŋ	0.222
ɣ	ʤ	0.219
ˈo	ˈø	0.213
ɣ	-	0.205
d	-	0.2
ʧ	ʧ	0.197
ˈu	ˈy	0.191
ˈɔ	ˈo	0.183
u	a	0.183
b	ʋ	0.181
ʤ	-	0.178
ˈo	o	0.172
r	r_n	0.139
i	e	0.138
ˈo	ˈu	0.136
ˈi	ˈe	0.119
ɣ	k	0.114
i	f	0.113
i	d	0.109
ɣ	ʧ	0.108
ˈu	-	0.107
ð	-	0.106
u	f	0.095
i	ˈi	0.092
n	-	0.087
ˈa	a	0.083
ɾ	-	0.078
u	s	0.078
ˈu	ˈɔ	0.074
ˈu	ˈu	0.071
ˈɛ	r	0.063
t	-	0.063
a	e	0.063
ˈa	-	0.061
ɾ	j	0.06
k	-	0.053
ˈi	j	0.051
