Old English	Bavarian	probability
a	-	1.0
b	b̥	1.0
bː	m	1.0
d	d̥	0.634
d	t	0.304
dː	d̥	1.0
e	a	0.678
e	-	0.183
e	ˈau̯	0.133
eo̯	-	1.0
f	f	0.788
f	b̥	0.172
h	h	0.957
i	-	0.608
i	ŋ	0.193
i	i	0.166
iː	ɪ	1.0
iːy̯	eɐ̯	1.0
j	ɡ̊	0.685
j	ŋ	0.133
j	j	0.113
j	ˈeː	0.068
k	kʰ	0.328
k	x	0.265
k	k	0.235
k	ɡ̊	0.071
l	l	0.741
l	-	0.144
l	j	0.115
lː	j	1.0
l̥	l	1.0
m	m	1.0
mː	m	1.0
n	n	0.907
n	-	0.08
nː	n	0.95
o	a	0.608
o	-	0.392
p	f	0.803
p	p	0.149
pː	f	0.639
pː	p͡f	0.361
r	r	0.512
r	ɐ	0.37
r	-	0.097
rː	ɐ	1.0
r̥	r	1.0
s	s	0.784
s	ʃ	0.216
t	s	0.503
t	ʦ	0.32
t	t	0.155
tː	ʦ	1.0
u	j	1.0
v	b̥	0.548
v	m	0.232
v	f	0.133
w	ʋ	0.8
w	-	0.195
x	x	1.0
z	s	0.898
z	r	0.102
ç	x	1.0
ð	d̥	1.0
ŋ	ŋ	0.867
ŋ	-	0.133
ɑ	-	0.809
ɑ	a	0.155
ɡ	ɡ̊	0.863
ɡ	-	0.137
ɣ	ɡ̊	0.772
ɣ	-	0.144
ɣ	ŋ	0.084
ɫ	j	0.705
ɫ	l	0.108
ɫ	n	0.108
ɫ	i	0.079
ʃ	ʃ	1.0
ʃː	ʃ	1.0
ʍ	ʋ	1.0
ʤ	ɡ̊	0.808
ʤ	k	0.192
ʤː	ŋ	1.0
ʧ	kʰ	0.487
ʧ	x	0.242
ʧ	ç	0.214
ʧ	-	0.057
ʧː	k	1.0
ˈe	ˈɛ	0.36
ˈe	ˈeː	0.245
ˈe	ˈe	0.187
ˈe	-	0.113
ˈe	ˈo	0.095
ˈeo̯	ˈe	0.657
ˈeo̯	ˈɛ	0.262
ˈeː	ˈa	0.205
ˈeː	ˈiɐ̯	0.147
ˈeː	ˈi	0.146
ˈeː	ˈuɐ̯	0.128
ˈeː	ˈeɐ̯	0.116
ˈeː	-	0.111
ˈeː	ˈaː	0.084
ˈeː	ˈu	0.063
ˈeːo̯	ˈiɐ̯	0.343
ˈeːo̯	ˈai̯	0.287
ˈeːo̯	ˈu	0.143
ˈeːo̯	ˈiː	0.066
ˈeːo̯	ˈe	0.059
ˈi	ˈi	0.788
ˈi	ˈɔ	0.054
ˈiy̯	ˈeː	1.0
ˈiː	ˈai̯	0.883
ˈiː	ˈi	0.069
ˈiːy̯	ˈeː	0.397
ˈiːy̯	ˈai̯	0.258
ˈiːy̯	ˈeɐ̯	0.207
ˈiːy̯	ˈe	0.089
ˈo	ˈo	0.283
ˈo	ˈoɐ̯	0.269
ˈo	ˈi	0.149
ˈo	ˈu	0.136
ˈo	ˈy	0.075
ˈo	ˈɔ	0.07
ˈoː	ˈuɐ̯	0.486
ˈoː	ˈeɐ̯	0.195
ˈoː	ˈoː	0.114
ˈoː	ˈɔ	0.114
ˈoː	ˈa	0.09
ˈu	ˈu	0.553
ˈu	ˈo	0.222
ˈu	ˈɛ	0.145
ˈuː	ˈau̯	0.729
ˈuː	ˈu	0.202
ˈuː	ˈuɐ̯	0.069
ˈy	ˈu	0.592
ˈy	ˈi	0.259
ˈy	ˈʏ	0.149
ˈyː	ˈai̯	0.505
ˈyː	ˈʏ	0.265
ˈyː	ˈau̯	0.23
ˈæ	ˈoː	0.408
ˈæ	ˈɒ	0.229
ˈæ	ˈo	0.169
ˈæ	ˈa	0.092
ˈæ	ˈaː	0.06
ˈæɑ̯	ˈa	0.368
ˈæɑ̯	ˈoɐ̯	0.288
ˈæɑ̯	ˈo	0.212
ˈæɑ̯	ˈɒ	0.132
ˈæː	ˈai̯	0.238
ˈæː	ˈɒː	0.231
ˈæː	ˈɔ	0.231
ˈæː	ˈoɐ̯	0.206
ˈæː	ˈɛː	0.094
ˈæːɑ̯	ˈaː	0.274
ˈæːɑ̯	ˈɒː	0.18
ˈæːɑ̯	ˈɔ	0.147
ˈæːɑ̯	ˈou̯	0.143
ˈæːɑ̯	ˈoɐ̯	0.111
ˈæːɑ̯	ˈoː	0.057
ˈɑ	ˈa	0.438
ˈɑ	ˈɔ	0.135
ˈɑ	ˈaː	0.133
ˈɑ	ˈo	0.133
ˈɑ	ˈoː	0.084
ˈɑ	ˈɒː	0.057
ˈɑː	ˈoɐ̯	0.76
ˈɑː	ˈe	0.071
ˈɑː	ˈi	0.055
ˈɑː	ˈɛː	0.054
ˈɛ	ˈɒ	0.747
ˈɛ	ˈe	0.253
θ	d̥	0.894
θ	t	0.089
