Aragonese	Aragonese	probability
β_o	f	1.0
ˈu_ʎ	u	1.0
ˈu_n	w	1.0
ˈo_n	ɒ̃ʊ̯̃	1.0
ˈi_ɾ	i_ʁ	1.0
ˈi_ɣ	i	1.0
ˈi_n	ẽɪ̯̃	1.0
ˈe_ɾ	ʁ	1.0
ˈe_ɣ	øʏ̯	1.0
ˈe_s	ɛɪ̯	1.0
ˈa_ɾ	e	1.0
ˈa_ŋ	ã	1.0
ˈa_s	e	1.0
ˈa_l	oʊ̯	1.0
ˈa_j	æɛ̯	1.0
ʧ	ʒ	1.0
ʎ_a_#>	j_#>	1.0
ʎ_a	l	1.0
ʃ_a	s	1.0
ʃ	t	1.0
ɾ_ˈe	ʁ_i	1.0
ɾ_n	ʁ	1.0
ɲ_o	ẽɪ̯̃	1.0
ŋ	ẽɪ̯̃	1.0
ð_o_#>	ɛ_#>	1.0
ð	-	1.0
z	-	1.0
u	u	1.0
t_ˈa	ɛ	1.0
t_o	ẽɪ̯̃	1.0
t_a_#>	t_#>	1.0
s_t	t	1.0
r	ʁ	1.0
o_s_#>	#>	1.0
o_#>	#>	1.0
n_w	n	1.0
n_a	n	1.0
l_ˈe	l	1.0
l_#>	#>	1.0
k_ɾ	k_ʁ	1.0
k_w	k	1.0
k_o_#>	#>	1.0
k_a	ʃ	1.0
j_t	i	1.0
f	f	1.0
e_ʝ	w	1.0
e_ɾ	æɛ̯_ʁ	1.0
e_n	ã	1.0
e_#>	#>	1.0
b_w	b	1.0
a_β	œ_v	1.0
a_ð	æɛ̯	1.0
a_#>	#>	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_r	<#_ʁ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_e	<#_e	1.0
<#_a	<#_a	1.0
#>	ɛ_#>	1.0
ɾ	ʁ	0.898
m	m	0.885
l	l	0.867
p	p	0.818
a	a	0.733
θ	s	0.706
β_ɾ	v_ʁ	0.667
ʝ	-	0.667
b	v	0.64
w	-	0.611
θ_#>	ɛ_#>	0.6
i	-	0.6
w_ˈe	œ	0.583
s	-	0.579
ˈe_n	ã	0.571
ˈa_n	ẽɪ̯̃	0.556
ɡ	ɡ	0.545
d	d	0.538
k	k	0.533
ˈi	ɪ	0.524
ˈe_j	æɛ̯	0.5
ˈe_j	i	0.5
ɲ	ɲ	0.5
ɲ	-	0.5
ɣ	ɡ	0.5
ɣ	-	0.5
t	-	0.476
k	ʃ	0.467
ˈa_n	ã	0.444
e	-	0.444
ˈe_n	ɒ̃ʊ̯̃	0.429
ˈa	æɛ̯	0.429
t	t	0.429
w_ˈe	ɔ	0.417
n	n	0.412
θ_#>	#>	0.4
ʎ	j	0.4
ʎ	-	0.4
ˈo	-	0.375
β	v	0.364
β	b	0.364
j_ˈe	oʊ̯	0.364
j_ˈe	j	0.364
b	b	0.36
j	-	0.35
β_ɾ	ʁ	0.333
ʝ	d	0.333
o	u	0.333
o	-	0.333
e	œ	0.333
d	ʣ	0.308
θ	-	0.294
ˈu	y	0.286
ˈi	-	0.286
w	ɑɔ̯	0.278
β	-	0.273
ɡ	-	0.273
j_ˈe	æɛ̯	0.273
ˈe	ɛ	0.267
s	s	0.263
ˈa	a	0.25
e	w	0.222
ˈo	u	0.208
ʎ	l	0.2
j	æɛ̯	0.2
j	j	0.2
i	œ	0.2
i	i	0.2
ˈu	ɥ	0.19
ˈi	i	0.19
ɡ	k	0.182
p	-	0.182
ˈe	w	0.178
ˈe	-	0.178
n	ẽɪ̯̃	0.176
n	-	0.176
ˈo	ʊ	0.167
ˈo	aœ̯	0.167
o	ʁ	0.167
o	ɑɔ̯	0.167
s	o	0.158
ˈe	æɛ̯	0.156
d	-	0.154
j	ɪ	0.15
ˈu	ʏ	0.143
ˈu	w	0.143
ˈu	u	0.143
l	-	0.133
a	æɛ̯	0.133
a	z	0.133
n	ɒ̃ʊ̯̃	0.118
n	ã	0.118
m	-	0.115
w	ɥ	0.111
ˈa	ɛ	0.107
j	ɛ	0.1
ˈu	-	0.095
t	ʦ	0.095
ˈe	w_ɛ	0.089
ˈo	oʊ̯	0.083
ˈa	e	0.071
ˈa	ã	0.071
ˈa	-	0.071
ˈe	j	0.067
ˈe	i	0.067
ɾ	-	0.061
