Romanian	Romanian	probability
ˈɨ_j	ˈa	1.0
ˈə	-	1.0
ˈu_n	ˈu	1.0
ˈo_j	ˈu_s	1.0
ˈe_ʤ	ˈe	1.0
ʧʲ	-	1.0
ʧ_e	ʦ	1.0
ʦʲ	t_s	1.0
ʒ	ʤ	1.0
ɨ	a	1.0
ə_#>	#>	1.0
ŋ	-	1.0
z_b	b	1.0
z	d	1.0
v	b	1.0
u_m	ˈɛ_l	1.0
s_t	s_t	1.0
r_u	ɾ_e	1.0
r_t	ʀ_t	1.0
r_n	ʀ	1.0
r_k	ʀ_k	1.0
r_e_#>	#>	1.0
r_#>	l_#>	1.0
p_t	ʧ	1.0
nʲ	n_s	1.0
n_t_#>	n_#>	1.0
n_e	n_d	1.0
n_#>	#>	1.0
m_n	ɲ	1.0
m_e_#>	m_#>	1.0
kʲ	ˈɛ_l	1.0
k_r	k_ɾ	1.0
j_ˈe	ˈɛ	1.0
j_ˈa	ˈɛ	1.0
f_r	b	1.0
f	f	1.0
e_r	ɾ	1.0
e_d	ˈe	1.0
e_#>	#>	1.0
<#_ˈo	<#_ɥ	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʧ	<#_s	1.0
<#_ʤ	<#_ʤ	1.0
<#_u	<#_a_w	1.0
<#_t	<#_t	1.0
<#_r	<#_ʀ	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_l	<#_l	1.0
<#_j	<#	1.0
<#	<#_a	1.0
ˈa	ˈa	0.927
m	m	0.833
ə	ɔ	0.826
ˈɨ	ˈa	0.8
u	u	0.8
k	k	0.759
ɡ	ɡ	0.75
n	n	0.733
ʃ	s	0.714
i	e	0.714
a	a	0.714
w	w	0.7
l	l	0.7
s	s	0.692
p	p	0.688
b	b	0.667
ˈi	ˈi	0.657
k_#>	k_#>	0.636
e	e	0.611
ˈu	ˈu	0.6
ʃ_t	j_s	0.6
ˈo	ˈɔ	0.571
r	ɾ	0.533
d	d	0.529
ˈe	ˈe	0.519
ʤ	ʤ	0.5
ʤ	-	0.5
o	u	0.5
o	-	0.5
d	-	0.471
t	t	0.448
ˈu	ˈy	0.4
ʃ_t	s	0.4
ʧ	s	0.375
ʧ	-	0.375
e̯ˈa	ˈɛ	0.375
e̯ˈa	ˈe	0.375
ˈe	ˈɛ	0.37
k_#>	#>	0.364
o̯ˈa	ˈɔ	0.353
ʦ	ʦ	0.333
ʦ	t	0.333
ʦ	-	0.333
b	β	0.333
w	-	0.3
j	l	0.3
j	j	0.3
#>	ɔ_#>	0.294
ʃ	-	0.286
i	-	0.286
a	e	0.286
t	ð	0.276
n	-	0.267
ʧ	k	0.25
ɡ	ɣ	0.25
e̯ˈa	ˈe_l	0.25
r	ʀ	0.244
o̯ˈa	-	0.235
#>	s_#>	0.235
#>	e_#>	0.235
ˈɨ	-	0.2
j	ˈɛ	0.2
j	ʎ	0.2
s	e_s	0.192
ˈo	ˈu	0.19
o̯ˈa	ˈu	0.176
t	-	0.172
m	-	0.167
l	w	0.15
l	-	0.15
ˈo	ɥ_ˈɔ	0.143
ˈi	ˈɛ	0.143
ˈi	ˈe	0.143
e	ɔ	0.139
u	e	0.133
r	l	0.133
p	-	0.125
o̯ˈa	ɥ_ˈɛ	0.118
o̯ˈa	ɥ	0.118
#>	w_#>	0.118
#>	l_#>	0.118
s	-	0.115
ˈe	j	0.111
e	-	0.111
ə	-	0.109
t	j_ɾ	0.103
k	k_a	0.103
ˈo	-	0.095
p	β	0.094
e	ʎ_ɔ	0.083
ˈa	ˈɛ	0.073
k	ɣ	0.069
k	-	0.069
u	y	0.067
ə	e	0.065
p	s	0.062
ˈi	ˈa	0.057
e	j	0.056
