Lower Sorbian	Lower Sorbian	probability
ʨ	t	1.0
ʒ	ʒ	1.0
ʑ	d	1.0
ʐ̊	ʒ	1.0
ʐ	ʒ	1.0
ɨ_#>	#>	1.0
ɡ̊_#>	ɡ_#>	1.0
ɡʲ_i	ɡ̊	1.0
ɡ	ɡ	1.0
ɕ_i	r_iː	1.0
ɔ_#>	o_#>	1.0
z̥	z	1.0
z	z	1.0
x	x	1.0
w_a	l_a	1.0
v_ɨ_#>	ʋ_#>	1.0
v_a	ʋ_a	1.0
t͡ʂ	̂_ʦ	1.0
t	t	1.0
s_#>	s_#>	1.0
r_ɨ	a_r	1.0
pʲ	p	1.0
nʲ	n_j	1.0
n_ɨ	a_n	1.0
n_a	n_a	1.0
n	n	1.0
m	m	1.0
f	-	1.0
d̥_#>	d_#>	1.0
d̥	d̥	1.0
d_w	l	1.0
b̥_#>	b_#>	1.0
bʲ	b	1.0
b	b	1.0
a_r	r̩ː	1.0
<#_ɕ	<#_t	1.0
<#_v_ɛ	<#_o	1.0
<#_s	<#	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_j	<#_j	1.0
<#_d	<#_d	1.0
<#	<#_p	1.0
#>	o_#>	1.0
k	k	0.913
s	s	0.906
r	r	0.833
a	a	0.789
v	ʋ	0.778
mʲ	m	0.75
d	d	0.7
ʂ	r	0.667
ɕ	t_i	0.533
ʦ	ʦ	0.5
w	l	0.5
vʲ	ʋ_j	0.5
vʲ	ʋ	0.5
p	̂_p	0.5
p	p	0.5
l	ʎ	0.5
l	l	0.5
ɪ	eː	0.444
u	uː	0.444
ɲ	n	0.429
rʲ	r	0.429
i	i_̂	0.375
i	i	0.375
ʂ	ʃ	0.333
ɕ	t	0.333
ʦ	ʧ	0.3
e	e	0.3
e	-	0.3
d	̌_d	0.3
ɲ	̂_n	0.286
ɲ	ɲ	0.286
rʲ	̌_r	0.286
rʲ	̂_r	0.286
u	uː_̌	0.278
u	u	0.278
ɨ	iː	0.267
ɨ	i_̂	0.267
w	-	0.25
mʲ	̂_m	0.25
i	iː	0.25
e	eː	0.25
ɔ	o	0.237
ɪ	j_eː	0.222
ɪ	e	0.222
v	u	0.222
ɔ	oː	0.211
ʦ	ʨ	0.2
ɨ	a	0.2
ɛ	o_̂	0.2
ɛ	-	0.2
ɛ	e	0.167
r	r̩	0.167
e	e_̌	0.15
ɨ	iː_̌	0.133
ɨ	i	0.133
ɛ	e_̌	0.133
ɛ	a	0.133
ɕ	a_t	0.133
a	e_̂	0.132
w	uː	0.125
w	o	0.125
ɪ	j_e	0.111
ɔ	e	0.105
ɔ	aː_̂	0.105
ɛ	o_̌	0.1
s	s_a	0.094
k	x	0.087
ɔ	a_̂	0.079
a	aː_̂	0.079
ɛ	oː	0.067
ɔ	eː_̂	0.053
ɔ	eː	0.053
ɔ	e_̌	0.053
ɔ	aː	0.053
ɔ	a	0.053
