Logudorese	Catalan	probability
a	ə	1.0
bː	-	1.0
d	d	1.0
f	f	1.0
j	ʒ	1.0
m	m	1.0
nː	ɲ	1.0
p	p	1.0
rː	r	1.0
sː	s	1.0
t	t	1.0
v	-	1.0
z	s	1.0
ɖ	-	1.0
ɖː	-	1.0
i	ə	0.521
l	ʎ	0.591
n	-	0.31
r	l	0.101
r	r	0.21
ɡ	ʒ	0.421
ˈe	ˈi	0.051
ˈo	ˈu	0.081
e	-	0.202
o	-	0.462
r	-	0.222
s	s	0.972
ð	-	0.372
ˈi	ˈɛ	0.32
e	ə	0.383
u	ə	0.573
ʣ	-	0.223
ˈa	ˈa	0.943
ˈe	ˈe	0.43
ˈi	ˈe	0.153
ˈo	ˈo	0.113
k	-	0.174
u	-	0.284
ɡ	ɡ	0.444
ɣ	ɣ	0.44
ˈo	ˈɔ	0.784
β	-	0.294
e	u	0.05
ɡ	-	0.135
ˈu	ˈo	0.385
ˈu	ˈu	0.615
b	-	0.086
u	u	0.056
u	ʎ	0.06
ɣ	-	0.56
ˈi	ˈi	0.526
β	β	0.706
b	ɡ	0.077
b	b	0.837
e	w	0.297
r	ɾ	0.467
ʣ	ʎ	0.777
ˈa	-	0.057
e	ˈi	0.068
i	i	0.08
k	s	0.238
k	k	0.588
n	n	0.668
o	u	0.538
ð	ð	0.628
i	-	0.399
l	l	0.409
ˈe	ˈɛ	0.519
