Logudorese	Ladin	probability
a	a	0.923
a	-	0.062
b	v	0.432
b	b	0.247
b	-	0.113
b	k	0.084
b	ɡ	0.054
d	d	0.541
d	d_j	0.231
d	-	0.116
d	t	0.112
e	-	0.674
e	e	0.194
e	a	0.087
ĕ	j	0.895
ĕ	-	0.105
f	f	1.0
i	-	0.491
i	e	0.218
i	i	0.107
i	ˈe	0.088
j	ˈe	0.4
j	j	0.221
j	i	0.189
j	-	0.102
j	ʥ	0.089
k	ʨ	0.525
k	k	0.188
k	d	0.109
k	ʧ	0.064
l	l	0.815
l	w	0.096
l	l_j	0.055
m	m	0.773
m	ŋ	0.154
m	m_j	0.065
n	n	0.737
n	-	0.189
o	o	0.34
o	e	0.331
o	-	0.163
o	ˈe	0.058
o	j	0.054
ŏ	-	1.0
p	p	0.967
r	r	0.545
r	-	0.261
r	l	0.134
r	v	0.052
s	s	0.501
s	-	0.274
s	ʃ	0.19
t	t	0.834
t	-	0.09
t	d	0.076
u	-	0.773
ŭ	-	1.0
v	ŋ	1.0
w	-	0.791
w	ˈɔ	0.209
z	-	0.615
z	s	0.183
z	ʒ	0.117
z	ʦ	0.085
ð	d	0.547
ð	t	0.255
ð	-	0.198
ŋ	ɲ	0.536
ŋ	n	0.393
ŋ	ŋ	0.072
ɖ	l	0.492
ɖ	-	0.444
ɖ	ʥ	0.064
ɡ	ʒ	0.487
ɡ	ɡ	0.266
ɡ	-	0.166
ɣ	-	0.4
ɣ	ʦ	0.206
ɣ	ʒ	0.193
ɣ	ʃ	0.118
ɣ	ɡ	0.084
ɲ	ɲ	0.519
ɲ	-	0.481
ʣ	-	0.58
ʣ	ɲ	0.264
ʣ	ʨ	0.156
ʦ	ʦ	0.791
ʦ	t	0.209
ˈa	ˈa	0.62
ˈa	-	0.223
ˈa	ˈɛ	0.157
ˈe	ˈɛ	0.66
ˈe	ˈe_j	0.121
ˈe	ˈe	0.118
ˈi	ˈi	0.453
ˈi	ˈe	0.286
ˈi	ˈe_j	0.076
ˈi	ˈɛ	0.05
ˈo	ˈɔ	0.476
ˈo	ˈo	0.239
ˈo	w_ˈɛ	0.093
ˈo	o	0.051
ˈu	ˈo	0.449
ˈu	ˈu	0.411
ˈu	ˈe	0.084
ˈu	ˈɔ	0.057
β	v	0.501
β	w_r	0.226
β	w	0.151
β	p	0.075
