Megleno-Romanian	Lengadocian	probability
ˈɔ	ˈa	1.0
ˈu_k	ˈu	1.0
ʧ	-	1.0
ʤ	ʤ	1.0
ʒ	ʤ	1.0
ʎ_u	l	1.0
ɔ	b_ˈɛ	1.0
ŋ	ŋ	1.0
z	ʤ	1.0
w_ə	ɔ	1.0
w	w	1.0
v	b	1.0
r_i	l	1.0
f	f	1.0
a_p	mː	1.0
k	k	0.888
s	s	0.877
ə	ɔ	0.817
e̯ˈa	ˈe	0.79
m	m	0.757
b	b	0.706
d	d	0.702
ˈu	ˈu	0.671
ʎ	l	0.667
n	n	0.665
ʃ	j	0.653
ɡ	ɡ	0.616
o̯ˈa	-	0.595
ˈa	ˈa	0.541
l	l	0.524
t	t	0.505
i	e	0.504
i	-	0.496
ˈi	ˈi	0.492
p	p	0.481
r	ɾ	0.479
ˈe	ˈɛ	0.462
ˈo	ˈɔ	0.451
u	e	0.443
ˈe	ˈe	0.414
ˈa	ˈɛ	0.41
o̯ˈa	ˈɔ	0.405
ɡ	-	0.384
l	w	0.356
r	ʀ	0.354
ʃ	-	0.347
n	-	0.335
ʎ	ʎ	0.333
ˈu	ˈy	0.329
u	u	0.311
ʦ	t	0.306
ʦ	-	0.304
d	t	0.298
b	β	0.294
ˈi	ˈɛ	0.29
t	j_ɾ	0.288
u	-	0.246
m	-	0.243
ˈo	ˈu	0.241
ˈi	ˈe	0.218
ʦ	ʦ	0.218
e̯ˈa	-	0.21
t	-	0.206
p	ʧ	0.191
ə	-	0.183
ʦ	s	0.172
r	-	0.167
p	-	0.165
p	β	0.163
ˈo	-	0.157
ˈo	ɥ_ˈɔ	0.151
ˈe	-	0.124
s	e_s	0.123
l	-	0.12
k	-	0.112
