Min Bei	Min Bei	probability
⁵⁵_#>	#>	1.0
⁵⁴	⁴⁴	1.0
ɥ_ŋ	n	1.0
ɥ	-	1.0
ɔ_ŋ	ŋ̍	1.0
ŋ_³³	²⁴	1.0
³³_#>	#>	1.0
y_ɛ	e_ʔ	1.0
y_j	ŋ̍	1.0
x	h	1.0
w_ɛ	w_a	1.0
tʰ	tʰ	1.0
t	t	1.0
pʰ	pʰ	1.0
p	p	1.0
l	l	1.0
kʰ	kʰ	1.0
k	k	1.0
j_u	i_w	1.0
j_a	j	1.0
i_ŋ	ĩ	1.0
a_ŋ	ã	1.0
<#_ŋ	<#_ɡ	1.0
<#_w	<#	1.0
<#_s	<#	1.0
⁵⁵	³³	0.923
ʦʰ	ʦʰ	0.778
j	j	0.778
³³	²⁴	0.767
i	i	0.75
<#	<#_h	0.75
²¹	⁵³	0.667
o	e	0.667
n	l	0.667
m	b	0.667
⁴²	⁴	0.636
e	i	0.625
ŋ	ŋ	0.565
²⁴	³²	0.5
y	u	0.5
w	o	0.5
j_ŋ	n	0.5
a_w	o	0.5
a_w	a_w	0.5
a_j	w_e	0.5
a_j	j_ɪ	0.5
ɔ	a	0.467
s	ɕ	0.455
ʦ	ʨ	0.4
ʦ	ʦ	0.4
e	a_w	0.375
⁴²	³³	0.364
s	s	0.364
u	u	0.357
œ	l_i	0.333
œ	j	0.333
œ	-	0.333
o	ɤ	0.333
n	-	0.333
m	m	0.333
²¹	²⁴	0.306
w	w	0.3
j_ŋ	ã	0.3
a	e	0.294
a	a	0.294
a	-	0.294
u	ɔ	0.286
ɔ	o_ʔ	0.267
²⁴	t̚_³²	0.25
i	a_j	0.25
<#	<#_ɡ	0.25
ʦʰ	ʨʰ	0.222
j	-	0.222
u	w	0.214
ʦ	-	0.2
³³	¹¹	0.2
w	-	0.2
j_ŋ	ŋ̍	0.2
²⁴	k̚_³²	0.188
y	ɔ	0.188
y	-	0.188
ɛ	ɪ_k̚	0.182
ɛ	w_a	0.182
ɛ	j	0.182
ɛ	a_j	0.182
ɛ	-	0.182
s	ʨʰ	0.182
ŋ	m	0.174
ŋ	ã	0.174
u	-	0.143
ɔ	ɔ	0.133
y	ɪ_k̚	0.125
a	e_ʔ	0.118
ɛ	j̃	0.091
ŋ	-	0.087
⁵⁵	²²	0.077
ɔ	ɔ̃	0.067
ɔ	w̃	0.067
²⁴	⁵	0.062
