Eastern Lombard	Catalan	probability
i	i	1.0
k	k	1.0
m	m	1.0
u	u	1.0
w	w	1.0
ø	u	1.0
ˈy	ˈu	1.0
e	w	0.081
p	p	0.951
r	ɾ	0.381
t	ð	0.151
ˈu	ˈɔ	0.621
j	ʎ	0.072
l	ʎ	0.612
o	u	0.592
z	-	0.372
ɡ	ɡ	0.452
ɡ	ɣ	0.52
ɲ	n	0.062
ʤ	-	0.92
ʧ	ʎ	0.532
ˈo	ˈɔ	0.512
ˈø	ˈu	0.42
ˈɛ	ˈɛ	0.482
b	b	0.903
r	ɾ_ə	0.113
s	-	0.123
t	t	0.783
ʧ	t	0.413
ˈe	ˈi	0.153
ˈi	ˈe	0.093
ˈo	ˈa	0.073
ˈu	ˈɛ	0.053
f	f	0.864
ˈe	ˈe	0.304
ˈe	ˈɛ	0.524
ˈi	-	0.104
ˈø	ˈɔ	0.324
d	ʤ	0.065
j	-	0.305
n	n	0.865
s	ʃ	0.075
ʋ	β	0.065
ʋ	-	0.935
ʧ	-	0.055
ˈo	ˈo	0.335
ˈɔ	ˈu	0.095
ˈɔ	ˈɔ	0.905
a	ə	0.946
e	i	0.056
o	-	0.36
ˈu	ˈo	0.276
ˈɛ	ˈe	0.376
b	β	0.097
d	ð	0.287
e	-	0.187
e	ə	0.647
l	l	0.377
n	-	0.087
r	r	0.417
ˈa	ˈa	0.877
ˈø	ˈo	0.197
f	w	0.108
j	l	0.578
s	s	0.628
z	ʒ	0.628
ɲ	ɲ	0.938
ʤ	ʒ	0.08
ˈi	ˈi	0.68
ˈo	ˈu	0.08
ˈø	ˈi	0.058
ˈɛ	ˈi	0.078
d	d	0.599
r	-	0.09
s	ə_s	0.129
ˈi	ˈɛ	0.099
