Franco-Provençal	Franco-Provençal	probability
ˈɛː_ð	ˈe_d	1.0
ˈɛ_t	ˈe_k	1.0
ˈɛ_#>	ˈi_#>	1.0
ˈy	ˈuː_r_v_j_a	1.0
ˈi_#>	ˈiː_#>	1.0
ˈe_ʃ	ʒ_e	1.0
ˈe_ʁ	ˈɛː_r	1.0
ˈe_ð	ˈiː	1.0
ˈaː_ð	w	1.0
ˈa_#>	ˈaː_#>	1.0
ʦ	s_u	1.0
ʒ	ʤ	1.0
ʎ	ʤ	1.0
ʁ_ə	e	1.0
ʁ_s	r_s	1.0
ʁ_l	y	1.0
ɲ	ɲ	1.0
ɛ̃	n_z	1.0
ɛː	a	1.0
ɛ	e	1.0
ɔ	-	1.0
ɑ̃	a_ŋ	1.0
ɑː	a_s	1.0
ð_ə_#>	#>	1.0
y	r	1.0
w_ˈɛː	ˈu	1.0
w_ˈe	ˈøː	1.0
u	ɔː	1.0
p	p	1.0
o_ð	w	1.0
n_a	ŋ_a	1.0
m	m	1.0
l_a	a	1.0
l_#>	#>	1.0
j_ˈe	ˈaː	1.0
ĩ	ŋ	1.0
d	d	1.0
<#_ʁ	<#_r	1.0
<#_ɡ	<#_ɡ	1.0
<#_ð	<#_z	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#	<#_ˈaː	1.0
v	v	0.909
k	k	0.9
a	a	0.9
b	b	0.882
t	t	0.875
o	u	0.875
f	f	0.84
l	l	0.838
s	s	0.829
ˈɔ̃	ˈu_ŋ	0.818
ˈɑ̃	ˈa_ŋ	0.692
ˈĩ	ˈi_ŋ	0.667
z	ʒ	0.667
e	s	0.667
#>	u_#>	0.651
ʃ	k	0.607
ʁ_o	r_u	0.6
n	n	0.6
ˈa	ˈa	0.591
ˈɔ	ˈu	0.571
ˈø	-	0.556
ˈaː	ˈɛː	0.556
ð	-	0.556
ə	a	0.548
ʁ	r	0.533
ˈɛ̃	ˈe_ŋ	0.5
ˈɑː	ˈa	0.5
ˈɑː	-	0.5
ɡ	ɡ_w	0.5
ɡ	ɡ	0.5
j	-	0.455
ˈø	ˈɔː	0.444
ˈaː	ˈaː	0.444
ˈɛ	-	0.429
ˈɔ	-	0.429
i	a	0.429
ˈi	ˈi	0.412
ʁ_o	u	0.4
ˈɛː	-	0.391
ˈi	ˈeː	0.353
ˈɛ̃	ŋ	0.333
ˈu	-	0.333
ˈĩ	ŋ	0.333
z	z	0.333
e	-	0.333
j	ˈeː	0.318
ˈoː	ˈɔː	0.308
ˈɛː	ˈe	0.304
ə	e	0.29
#>	e_#>	0.289
i	i	0.286
i	-	0.286
w	-	0.261
ˈe	ˈe	0.241
ˈi	ˈiː	0.235
ˈoː	-	0.231
ˈa	ˈaː	0.227
ð	ʤ	0.222
ð	j	0.222
ˈɛː	ˈe_j	0.217
w	ˈuː	0.217
ˈɛ	ˈɛː	0.214
ˈɛ	ˈeː	0.214
ˈe	-	0.207
ˈo	ˈɔ	0.2
ˈo	ˈy	0.2
ˈo	ˈu	0.2
ˈo	w_ˈiː	0.2
ˈo	-	0.2
n	ɲ	0.2
n	ŋ	0.2
ˈɔ̃	ˈu	0.182
w	ˈø	0.174
s	-	0.171
ˈɛ̃	ɲ	0.167
ˈu	ˈɔ	0.167
ˈu	ˈyː	0.167
ˈu	ˈy	0.167
ˈu	ˈuː	0.167
l	-	0.162
ʁ	j	0.156
ˈɑ̃	ˈa_n	0.154
ˈɑ̃	ˈa	0.154
ˈoː	ˈɔ_s	0.154
ˈoː	ˈøː	0.154
ˈoː	r	0.154
ˈɛ	ˈe	0.143
ʃ	-	0.143
j	j	0.136
w	ˈøː	0.13
w	w	0.13
t	s_t	0.125
o	-	0.125
b	-	0.118
ʁ	-	0.111
ˈe	ˈɛ	0.103
ˈe	ˈaː	0.103
ˈe	u	0.103
k	ʧ	0.1
a	-	0.1
ə	ˈɛː	0.097
ˈa	ɡ_u	0.091
ˈa	-	0.091
v	-	0.091
j	r	0.091
ˈɛː	ˈɛ	0.087
w	ˈu	0.087
f	v_e	0.08
f	-	0.08
ʃ	ʒ_e	0.071
ʃ	k_a	0.071
ʃ	e	0.071
ˈe	ˈɛː	0.069
ˈe	ˈiː	0.069
ˈe	ˈi	0.069
ʁ	u	0.067
ə	j	0.065
