Luxembourgish	Saterland Frisian	probability
b	b	1.0
d	d	0.76
d	t	0.155
d	-	0.086
e	i	0.579
e	ɪ	0.421
f	f	0.645
f	p	0.237
h	h	1.0
j	j	1.0
k	k	0.454
k	x	0.452
k	ɣ	0.073
kʰ	k	0.791
kʰ	s	0.183
l	l	0.984
m	m	0.966
n	n	0.883
n	-	0.117
p	p	0.954
s	t	0.536
s	s	0.406
s	z	0.058
t	d	0.537
t	t	0.424
tʰ	t	1.0
v	v	0.868
v	ɣ	0.109
w	v	0.845
w	w	0.155
z	s	0.996
ŋ	ŋ	0.737
ŋ	n	0.263
ɐ	r	0.543
ɐ	ə_r	0.298
ɐ	-	0.077
ɐ	ˈi	0.055
ɕ	x	0.56
ɕ	k	0.409
ə	ə	0.678
ə	j_ə	0.157
ə	-	0.105
ɡ	ɣ	0.541
ɡ	j	0.32
ɡ	ɡ	0.115
ʀ	r	0.858
ʀ	n	0.109
ʃ	s	0.98
ʑ	ɣ	1.0
ʦ	t	1.0
ˈaː	ˈoː	0.281
ˈaː	ˈɔː	0.233
ˈaː	ə	0.2
ˈe	j	0.317
ˈe	ˈɛː	0.301
ˈe	ˈɪ	0.267
ˈe	ˈɛɪ̯	0.116
ˈeː	ˈeː	0.642
ˈeː	ˈi	0.122
ˈeː	ˈaː	0.087
ˈi	ˈœː	0.29
ˈi	ˈɛɪ̯	0.153
ˈi	ˈuː	0.128
ˈi	ˈeːu̯	0.116
ˈi	ˈoː	0.116
ˈi	a	0.098
ˈi	ˈɪ	0.098
ˈiə̯	ˈeː	0.806
ˈiə̯	ˈi	0.121
ˈiə̯	ˈiːu̯	0.074
ˈiː	ˈɔː	0.217
ˈiː	ˈʊ	0.148
ˈiː	ˈɪ	0.112
ˈiː	-	0.105
ˈiː	j	0.101
ˈiː	ˈiː	0.097
ˈiː	ˈɛː	0.097
ˈiː	ˈoː	0.072
ˈo	ˈʊ	0.37
ˈo	ˈɔ	0.19
ˈo	ˈuː	0.181
ˈo	ˈoːu̯	0.176
ˈo	ˈiː	0.051
ˈoː	ˈɔː	0.272
ˈoː	ˈɛɪ̯	0.237
ˈoː	ˈaːi̯	0.134
ˈoː	ˈiː	0.13
ˈoː	ˈɛ	0.101
ˈoː	ˈoː	0.073
ˈoː	ˈʊ	0.054
ˈu	ˈuː	0.325
ˈu	ˈoːu̯	0.319
ˈu	ˈɛ	0.143
ˈu	ˈoː	0.141
ˈu	ˈɛɪ̯	0.072
ˈuə̯	ˈɔː	0.481
ˈuə̯	ˈa	0.189
ˈuə̯	ˈoː	0.183
ˈuə̯	ˈoːu̯	0.147
ˈuː	ˈʊ	0.503
ˈuː	ˈoːu̯	0.299
ˈuː	ˈɔː	0.198
ˈæ	ˈoːu̯	0.682
ˈæ	ˈɛː	0.318
ˈæɪ̯	ˈi	0.795
ˈæɪ̯	ˈiː	0.205
ˈæːɪ̯	ˈi	0.4
ˈæːɪ̯	ˈɛɪ̯	0.21
ˈæːɪ̯	k_ˈi	0.113
ˈæːɪ̯	ˈiː	0.113
ˈæːɪ̯	ˈyː	0.083
ˈæːɪ̯	ˈɛ	0.08
ˈæːʊ̯	ˈuː	0.866
ˈæːʊ̯	ˈɛɪ̯	0.134
ˈɑ	ˈɪ	0.321
ˈɑ	ˈoːu̯	0.232
ˈɑ	ˈiː	0.172
ˈɑ	ˈɔ	0.126
ˈɑ	ˈʊ	0.067
ˈɑɪ̯	ˈuː	0.449
ˈɑɪ̯	j_ˈuː	0.187
ˈɑɪ̯	ˈi	0.136
ˈɑɪ̯	ˈɛɪ̯	0.136
ˈɑɪ̯	w	0.091
ˈɔ	ˈʊ	0.774
ˈɔ	ˈu	0.226
ˈə	ˈiː	0.195
ˈə	ˈɔ	0.187
ˈə	ˈɪ	0.155
ˈə	ˈɔː	0.114
ˈə	ˈyː	0.098
ˈə	ˈʊ	0.074
ˈə	ˈɛː	0.073
ˈə	ˈi	0.058
ˈəʊ̯	ˈoːu̯	0.495
ˈəʊ̯	ˈoː	0.404
ˈəʊ̯	ˈu	0.101
ˈɛ	ˈɛ	0.697
ˈɛ	ˈeː	0.252
ˈɛ	ˈɛː	0.051
ˈɛː	ˈɛɪ̯	0.538
ˈɛː	ˈaː	0.288
ˈɛː	ˈiː	0.174
ˈɜɪ̯	j	0.278
ˈɜɪ̯	ˈeː	0.256
ˈɜɪ̯	ˈoː	0.199
ˈɜɪ̯	ˈɛɪ̯	0.125
ˈɜɪ̯	ˈiː	0.077
ˈʊ	ˈoːu̯	0.408
ˈʊ	ˈʊ	0.322
ˈʊ	ˈuː	0.269
ˈʊɪ̯	ˈɔ	1.0
χ	k	0.543
χ	-	0.273
χ	x	0.184
