Insular North Frisian	Scots	probability
ˈʏ_ɾ	ɛ	1.0
ˈɪ_ɾ	ˈəi̯_d	1.0
ˈɪ_k	ˈaː	1.0
ˈɛː	-	1.0
ˈɛ_t	ˈi_t	1.0
ˈɔa̯_l	ˈɑː	1.0
ˈɔ_x	ˈøː	1.0
ˈøː	-	1.0
ˈiː_n	n	1.0
ˈaʊ̯	-	1.0
ʃ	ʃ	1.0
ɪ_ŋ	e	1.0
ɡ	ɡ	1.0
ə_n	ə_n	1.0
ɐ_n	r_n	1.0
ŋ	ŋ	1.0
v_ˈʏ	w	1.0
tʲ	θ	1.0
s_l	s_l	1.0
s_k	ʃ	1.0
pʰ	pʰ	1.0
p	p	1.0
nʲ	n_d	1.0
m	m	1.0
lʲ	l_d	1.0
l_ˈʏ	l	1.0
l_ˈœ	l	1.0
kʰ	kʰ	1.0
h	h	1.0
e	-	1.0
b	b	1.0
aɪ̯	i	1.0
s	s	0.94
l	l	0.937
r	r	0.927
f	f	0.924
n	n	0.918
t	t	0.838
ʁ̥	r	0.831
ˈoː	-	0.808
ˈʏ	ˈu	0.748
k	k	0.748
ə	-	0.747
ˈɔ	-	0.697
ɪ	-	0.691
ɾ	d	0.688
v	w	0.677
ç	-	0.67
j	-	0.649
ˈaɪ̯	-	0.644
ˈɪ	ˈɪ	0.628
ˈyː	-	0.602
ˈɔa̯	ˈe	0.6
ɐ	ə_r	0.597
d	d	0.586
x	x	0.535
tʰ	θ	0.526
tʰ	tʰ	0.474
x	ç	0.465
ɐ	r	0.403
ˈɔa̯	ˈeː	0.4
ˈyː	ˈu	0.398
ˈœ	ˈɪ	0.378
ˈɔː	ˈeː	0.377
ˈʊ	ˈʌ	0.374
ˈɛ	ˈɪ	0.373
ˈaɪ̯	ˈe	0.356
ˈuː	-	0.351
j	j	0.351
ˈa	ˈa	0.33
ç	ç	0.33
ˈeː	ˈi	0.316
ɾ	ð	0.312
ɪ	i	0.309
ˈɔ	ˈɪ	0.303
ˈa	ˈɛ	0.298
ˈɔː	-	0.28
ˈʊ	ˈɪ	0.272
ˈʊ	-	0.255
ˈœ	ˈʌ	0.255
ə	ə	0.253
ˈa	ˈɑː	0.247
ˈiː	ˈe	0.246
ˈuː	ˈo	0.245
ˈɪ	ˈəi̯	0.234
ˈɔː	ˈe	0.229
ˈuː	w	0.228
ˈeː	ˈɛ	0.228
d	t	0.213
ˈiː	ˈiː	0.202
d	θ	0.201
ˈœ	-	0.193
ˈoː	ˈi	0.192
ˈɛ	-	0.185
ˈeː	ˈɪ	0.182
ˈeː	ˈe	0.182
ˈuː	ˈø	0.175
ˈiː	ˈi	0.174
ˈœ	ˈɑː	0.173
v	ʍ	0.17
ʁ̥	ˈɪ_r	0.169
ˈɛ	ˈɛ	0.158
t	d	0.134
ˈʏ	-	0.131
ˈɛ	ˈa	0.129
ˈiː	-	0.129
ˈa	ˈɪ	0.125
ˈʏ	ˈəi̯	0.121
k	-	0.115
ˈɔː	ˈi	0.113
ˈɪ	ˈi	0.105
ˈʊ	ˈu	0.099
ˈiː	ˈɛː	0.098
ˈeː	-	0.092
k	ʧ	0.089
ˈɛ	ˈi	0.082
n	-	0.082
v	w_ˈəi̯	0.081
ˈiː	ˈaɪ̯	0.079
f	f_ˈo	0.076
ˈiː	ˈeː	0.073
r	r_ˈiː	0.073
ˈɛ	ˈiː	0.072
v	-	0.072
s	z	0.06
