Macedonian	Macedonian	probability
ˈ_ɫ	̌	1.0
ʧ	ʧ	1.0
ʦ	ʦ	1.0
ʣ	z	1.0
ʒ̊	ʒ̊	1.0
ʒ	ʒ	1.0
ʃ	ʃ	1.0
ɾ	r	1.0
ɲ	ɲ	1.0
ɫ_#>	#>	1.0
ɡ̊	ɡ̊	1.0
ɡ	ɡ	1.0
ɟ	d	1.0
z	z	1.0
u_m	a_n	1.0
t	t	1.0
s	s	1.0
r̩	r̩	1.0
r	r	1.0
p	p	1.0
o_ˈ	̂	1.0
o_k	a_k	1.0
o_#>	o_#>	1.0
m	m	1.0
l	l	1.0
i_ˈ	iː	1.0
f_#>	ʋ_#>	1.0
f	x	1.0
d̥	d̥	1.0
d	d	1.0
c	c	1.0
b̥	b̥	1.0
b	b	1.0
a_#>	#>	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_o	<#_o	1.0
<#_l	<#_l	1.0
v	ʋ	0.889
k	k	0.88
n	n	0.826
ɫ	l	0.783
ˈ	̂	0.777
u	uː	0.75
ɛ_ˈ	e	0.7
j	j	0.667
a_ˈ	aː_̂	0.667
i	i	0.588
a	a	0.532
ɛ_#>	i_#>	0.5
ɛ_#>	e_#>	0.5
i	iː	0.412
ɔ	o	0.375
ɔ	a	0.375
o	o	0.375
j	-	0.333
a_ˈ	aː	0.333
ɛ	e	0.326
o	oː	0.312
ɛ_ˈ	iː	0.3
a	a_̂	0.298
ɔ	-	0.25
u	u	0.25
ɫ	-	0.217
ɛ	eː	0.196
ɛ	iː	0.13
ɛ	-	0.13
o	uː	0.125
k	-	0.12
ˈ	̌	0.117
v	x	0.111
ɛ	i_̂	0.109
ɛ	i	0.109
ˈ	-	0.107
a	uː	0.106
n	̌_n	0.087
n	ɲ	0.087
a	aː	0.064
o	o_̂	0.062
o	a	0.062
o	-	0.062
