Swedish	Old Frisian	probability
ˈɪ	ˈi	1.0
ˈœː_r	r	1.0
ˈæ	ˈe	1.0
ʊ	n	1.0
ʈː	r_t	1.0
ʈ	t	1.0
ʂ	r_s	1.0
ɵ	ə	1.0
ɪ	ə	1.0
ɖ	r_d	1.0
ɔ	iː	1.0
ŋː	ŋ_ɡ	1.0
v_ˈɛː	w_ˈe	1.0
tʰ	θ	1.0
sː	s	1.0
s_ˈa	s_ˈa	1.0
rː	r_θ	1.0
r_ˈœ	r	1.0
r_j	r_x	1.0
pʰ	p	1.0
p	p	1.0
m	m	1.0
lː	lː	1.0
jː	ʣ	1.0
j_ˈʉː	ˈi̯aː	1.0
h	h	1.0
f	f	1.0
b	b	1.0
l	l	0.967
d	d	0.928
a	ə	0.921
n	n	0.911
k	k	0.908
ŋ	-	0.865
ɛ	ə	0.864
t	t	0.848
s	s	0.825
r	r	0.8
mː	m	0.79
ˈyː	ˈi̯uː	0.728
ˈeː	ˈɛː	0.723
ˈiː	ˈiː	0.686
ˈuː	ˈoː	0.677
ɳ	r	0.676
ɡ	ɣ	0.64
ˈɛː	-	0.635
ˈɔ	ˈo	0.632
v	w	0.632
pː	p	0.608
ˈʊ	ˈu	0.6
ˈɵ	ˈu	0.592
ˈɛ	ˈe	0.576
ɕ	ʦ	0.556
ɧ	s_k	0.554
ˈæː	-	0.548
ˈɑː	ˈe	0.528
ɡː	ɡː	0.511
nː	nː	0.503
nː	-	0.497
ɡː	-	0.489
kː	k	0.463
ˈæː	ˈeː	0.452
tː	t	0.452
ˈʏ	ˈe	0.449
ˈa	ˈa	0.446
ɧ	s	0.446
ɕ	-	0.444
ˈʉː	ˈi̯aː	0.438
ˈʉː	ˈuː	0.426
ˈʊ	-	0.4
pː	pː	0.392
ˈœ	ˈe	0.381
ˈɔ	-	0.368
ˈɛː	ˈɛː	0.365
ɡ	j	0.36
ˈøː	ˈaː	0.358
kː	ŋ_k	0.358
ˈœ	ˈo	0.356
j	h	0.347
tː	x_t	0.336
j	j	0.333
ˈoː	ˈeː	0.329
ˈʏ	ˈi	0.327
ɳ	r_n	0.324
ˈuː	ˈo	0.323
ˈa	ˈɔː	0.322
j	-	0.32
ˈɑː	ˈa	0.318
v	v	0.291
ˈeː	ˈi	0.277
ˈyː	ˈi̯aː	0.272
ˈœ	ˈeː	0.263
ˈoː	ˈaː	0.262
ˈøː	ˈeː	0.244
ˈøː	-	0.235
ˈʏ	ˈi̯uː	0.224
ˈoː	ˈɔː	0.22
tː	tː	0.212
mː	mː	0.21
ˈɵ	ˈuː	0.192
ˈoː	ˈu	0.189
kː	kː	0.179
ˈiː	ˈi	0.173
ˈɛ	ˈi	0.171
ˈøː	ˈɛː	0.163
ˈɑː	ˈeː	0.155
t	t_ə	0.152
ˈɵ	ˈe	0.144
ˈiː	-	0.141
ɛ	-	0.136
ˈa	ˈoː	0.135
ŋ	i	0.135
r	ə_r	0.128
ˈɛ	ˈɛː	0.116
ˈa	ˈe	0.098
s	s_w	0.092
k	x	0.092
ˈɛ	-	0.09
n	-	0.089
s	-	0.083
v	h_w	0.076
ˈɵ	-	0.072
d	-	0.072
ˈʉː	ˈo	0.068
ˈʉː	-	0.068
