Pennsylvania German	Yiddish	probability
b	b	1.0
d	t	0.646
d	d	0.345
f	f	0.972
f	v	0.039
h	h	0.946
h	k	0.06
j	j	0.506
j	ɡ	0.286
j	ə	0.082
k	k	0.684
k	ɡ	0.308
kʰ	k	0.903
kʰ	-	0.088
l	l	0.983
m	m	0.948
m	n	0.052
n	n	0.865
n	n_d	0.062
p	p	0.702
p	b	0.296
p͡f	f	0.271
s	z	0.595
s	s	0.352
s	ʦ	0.058
t	t	0.767
t	d	0.19
t	-	0.049
v	b	0.848
v	v	0.152
x	χ	1.0
ç	χ	0.67
ç	k	0.194
ç	t	0.077
ç	ɡ	0.066
ŋ	ŋ_ɡ	0.833
ŋ	ŋ	0.158
ɑ	ə	0.709
ɑ	ʀ	0.29
ə	n	0.637
ə	ə	0.21
ə	-	0.081
ə	ɛ	0.051
ɡ	ɡ	0.929
ɡ	k	0.074
ɣ	ɡ	1.0
ɪ	ɪ	0.538
ɪ	ɛ	0.14
ɪ	-	0.134
ɪ	ə	0.134
ɾ	ʀ	0.965
ɾ	ʁ	0.042
ɾ_ɪ	ʀ	0.521
ʃ	ʃ	0.811
ʃ	s	0.105
ʃ	ʧ	0.078
ʋ	v	1.0
ʦ	ʦ	1.0
ˈa	ˈa	0.755
ˈa	ˈɔ	0.172
ˈa	ˈɛ	0.04
ˈa	ˈɪ	0.04
ˈaɪ̯	ˈaɪ̯	0.948
ˈaɪ̯	ˈɛɪ̯	0.058
ˈaʊ̯	ˈɔɪ̯	1.0
ˈaː	ˈɔ_ʀ	0.389
ˈaː	ˈa	0.266
ˈaː	ˈɔ	0.231
ˈaː	ˈʊ	0.085
ˈeː	ˈɛ	0.354
ˈeː	ˈɛɪ̯	0.32
ˈeː	ˈɛɪ̯_n	0.254
ˈeː	ˈɔɪ̯	0.067
ˈiː	ˈɪ	1.0
ˈoː	ˈɔɪ̯	0.536
ˈoː	ˈɔ	0.331
ˈoː	ˈʊ	0.105
ˈuː	ˈʊ	1.0
ˈɔ	ˈɔ	0.683
ˈɔ	ˈɔɪ̯	0.22
ˈɔ	ˈʊ	0.083
ˈɔɪ̯	ˈɛɪ̯	0.521
ˈɔː	ˈɔ	0.508
ˈɔː	ˈɔɪ̯	0.333
ˈɔː	ˈa	0.149
ˈɛ	ˈɛ	0.895
ˈɛ	ˈɪ	0.059
ˈɛ	ˈa	0.058
ˈɛː	ˈɛ	0.509
ˈɛː	ˈa	0.31
ˈɛː	ˈɪ	0.141
ˈɪ	ˈɪ	0.948
ˈɪ	ˈi	0.052
ˈʊ	ˈʊ	0.883
ˈʊ	ˈɔ	0.067
ˈʊ	ˈɔɪ̯	0.064
