Bokmål Norwegian	Bokmål Norwegian	probability
ˈɪ_ɾ	ˈʌ	1.0
ˈeː	-	1.0
ʋ_#>	b_#>	1.0
ʈː	ʕ_ʦ	1.0
ʂ	ʃ	1.0
ɾ_ˈœ	ʁ	1.0
ɾ_ə_#>	ʕ_#>	1.0
ɳ	ʕ_n	1.0
ɡː	ɡ	1.0
ɡ	ɡ	1.0
ə_ɾ	ʌ	1.0
ə_n	eə̯	1.0
ŋː	ŋ	1.0
ŋ	ɡ	1.0
ç	kʰ	1.0
tʰ_ɾ	d_ʁ	1.0
tʰ	ʦ	1.0
t_ə	s_a	1.0
t	s	1.0
sː	-	1.0
s_ˈøː	s	1.0
s_t	ʃ_d	1.0
s_k	ʃ	1.0
s_#>	s_#>	1.0
pʰ	p͡f	1.0
p_#>	f_#>	1.0
mː	m	1.0
m	m	1.0
l_#>	l_#>	1.0
l	l	1.0
kʰ	kʰ	1.0
h	h	1.0
f	f	1.0
d	d	1.0
b	b	1.0
<#_ɾ	<#_ʁ	1.0
<#_tʰ	<#_d	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_j	<#_ɡ	1.0
<#_d	<#_d	1.0
<#	<#_j	1.0
ˈɑ	ˈa	0.81
ˈæɪ̯	ˈɔe̯	0.778
ˈʏ	ˈu	0.667
ˈʊ	-	0.667
ˈʉ	ˈo	0.667
ʋ	ʋ	0.652
ˈʉː	ˈao̯	0.643
k	ç	0.625
ˈœ	-	0.6
ˈæː	ˈɛ	0.6
p	f	0.6
lː	l	0.6
j	h	0.6
s	s	0.571
n	n	0.571
ˈoː	-	0.545
ˈɔ	-	0.5
ˈyː	ˈiə̯	0.5
ˈiː	ˈəi̯	0.5
ə	a	0.5
kː	ɡ	0.5
kː	ŋ_ɡ	0.5
ˈɛ	ˈɛ	0.476
nː	n_d	0.471
ə	-	0.462
ˈoː	ˈɔː	0.455
tː	x_d	0.444
ˈɑː	ˈaː	0.429
s	ʃ	0.429
n	-	0.429
ˈœ	ʋ	0.4
ˈøː	ˈoː_d	0.4
ˈøː	-	0.4
ˈæː	-	0.4
p	-	0.4
lː	l_d	0.4
j	ˈɛː	0.4
k	x	0.375
ɾ	ʁ	0.364
ˈʉː	-	0.357
ˈiː	ˈi	0.357
ˈʏ	-	0.333
ˈʊ	i	0.333
ˈɪ	ˈi	0.333
ɾ	ʌ	0.303
ˈyː	ˈəi̯	0.3
#>	a_#>	0.292
ˈɑː	ˈa_d	0.286
ˈɑː	ˈa	0.286
ˈuː	ˈuə̯_d	0.273
ˈuː	ˈuə̯	0.273
ɾ	ʕ	0.273
ˈɪ	ˈe	0.25
ˈɪ	-	0.25
ˈɔ	ˈo	0.25
ˈɔ	ˈi	0.25
#>	s_#>	0.25
nː	-	0.235
ˈæɪ̯	-	0.222
tː	ʦ	0.222
tː	-	0.222
ˈøː	ˈao̯	0.2
ˈyː	ˈiː	0.2
ˈuː	ˈɔ	0.182
ˈuː	ˈuː	0.182
nː	n	0.176
ˈʉ	ʋ_ˈo	0.167
ˈʉ	-	0.167
ˈɪ	ˈɪ	0.167
#>	ʌ_#>	0.167
ˈɛ	ˈɔe̯	0.143
ˈɛ	ˈae̯	0.143
ˈɛ	-	0.143
ˈiː	-	0.143
ʋ	f	0.13
ʋ	b	0.13
#>	ɡ_#>	0.125
nː	d	0.118
tː	ʣ	0.111
ˈɛ	ˈa	0.095
ˈɑ	ˈɛ	0.095
ˈɑ	ˈɔː	0.095
ˈuː	ˈɔə̯	0.091
ʋ	m	0.087
#>	f_#>	0.083
#>	b_#>	0.083
ɾ	-	0.061
