Hoisanese	Hoisanese	probability
ⁿd	nˡ	1.0
ᵑɡ	nˡ	1.0
ᵐb	m	1.0
ɬ	s	1.0
²¹_#>	#>	1.0
²¹	³³	1.0
²²	⁵³	1.0
²	³³	1.0
w_ɔ	a	1.0
u_j	y	1.0
t	ʦ	1.0
p	p	1.0
m̩	ŋ_o	1.0
m	ŋ	1.0
l	l̃	1.0
kʰ	k	1.0
k	k	1.0
j_³³	²¹³	1.0
j_a	w_o	1.0
h_w	kʰ	1.0
e_j	i	1.0
a_m	a_ŋ	1.0
a_j	ɛ	1.0
<#_ᵐb	<#	1.0
<#_v	<#_w	1.0
<#_j	<#	1.0
n	ŋ	0.926
k̚	ʔ	0.765
s	s	0.75
<#	<#_t	0.75
³³	⁵⁵	0.717
tʰ	ʦʰ	0.714
j	j	0.708
ʦʰ	ʦʰ	0.667
ɵ	ø	0.667
t̚	ʔ	0.667
ŋ	ŋ	0.609
ʦ	t	0.6
⁵⁵	³³	0.579
w	w	0.579
<#_ᵑɡ	<#_ŋ	0.556
³²	⁵	0.526
pʰ	pʰ	0.5
pʰ	p	0.5
a_w	o	0.5
a_w	e_w	0.5
³²	²⁴²	0.474
a	a	0.444
<#_ᵑɡ	<#	0.444
f	h	0.417
ɔ	o	0.409
ʦ	ʦ_j	0.4
h	tʰ	0.353
⁵⁵	²⁴	0.342
ʦʰ	t	0.333
i	j	0.333
i	i	0.333
w	-	0.316
u	o	0.316
e	a	0.312
h	kʰ	0.294
tʰ	ʦ_w	0.286
u	u	0.263
a	ɑ	0.259
s	ʦ	0.25
f	p	0.25
e	ɛ	0.25
e	j	0.25
<#	<#_ʦʰ	0.25
k̚	ɥ_ʔ	0.235
h	h	0.235
ŋ	ɥ_ŋ	0.217
u	w_o	0.211
e	u	0.188
a	ɔ	0.185
³³	²¹³	0.174
ɵ	o_w	0.167
ɵ	-	0.167
t̚	w_ʔ	0.167
t̚	j_ʔ	0.167
i	e	0.167
i	-	0.167
f	p_w	0.167
f	kʰ	0.167
ɔ	ɑ	0.136
ɔ	a	0.136
ɔ	-	0.136
j	ɥ	0.125
h	-	0.118
a	ɛ	0.111
³³	²⁴	0.109
w	e_w	0.105
u	ɛ_j	0.105
u	w_ɔ	0.105
ɔ	ɔ	0.091
ɔ	w	0.091
ŋ	w_ŋ	0.087
ŋ	j_ŋ	0.087
j	i	0.083
j	e	0.083
⁵⁵	²⁴²	0.079
n	e_ŋ	0.074
