Old Prussian	Belarusian	probability
ɡ_i	ʐ̊	1.0
ŋ	u	1.0
w	vʲ	1.0
uː	ɨ	1.0
u_s	x	1.0
t_o	ʦʲ	1.0
t_i	ʦʲ	1.0
oːu̯	i	1.0
n_a	n	1.0
l_i	ɫ	1.0
k_t	ʧ	1.0
k_i	k	1.0
j	-	1.0
iː	-	1.0
eː	lʲ_æ	1.0
e_n	æ	1.0
aːu̯	v	1.0
aː	-	1.0
ai̯	a_ʣʲ	1.0
a_n	a	1.0
s	-	0.832
au̯	o	0.821
r	r	0.743
i	-	0.737
v	v	0.699
k	k	0.698
z	zʲ	0.65
b	bʲ	0.582
o	a	0.554
t	t	0.546
l	lʲ	0.528
u	a	0.5
p	-	0.488
t	ʦʲ	0.454
o	a_ˈ	0.446
d	d	0.437
e	-	0.433
m	m	0.423
b	b	0.418
p	p	0.412
m	mʲ	0.409
ɡ	ɣ	0.405
a	o	0.381
z	z	0.35
u	ɨ_ˈ	0.341
d	d̥	0.336
k	ʂ	0.302
v	vʲ	0.301
ɡ	ʐ	0.3
ɡ	-	0.295
n	-	0.289
l	w	0.268
i	o_ˈ	0.263
r	r_o	0.257
d	ʣʲ	0.227
l	ɫ	0.204
n	æ	0.201
e	æ	0.2
a	-	0.185
n	n	0.181
au̯	xʲ	0.179
n	ɨ	0.177
e	e_ˈ	0.177
m	-	0.168
u	-	0.159
n	nʲ	0.151
a	i_ˈ	0.145
e	a	0.139
a	v	0.114
p	pʲ	0.1
a	e	0.098
s	sʲ	0.093
a	a	0.077
s	s	0.076
e	a_ˈ	0.05
