Auvergnat	Auvergnat	probability
ˈɪ̃	ˈe	1.0
ˈɛ	ˈe	1.0
ˈɔ̃	ˈo	1.0
ˈɔ_ʀ	r_t	1.0
ˈœ_j	ˈi_t	1.0
ˈœ	ˈu	1.0
ˈỹ	ˈu	1.0
ˈũ_ŋ	ˈo	1.0
ˈũ	ˈɒ	1.0
ˈu_s	ˈæ_w	1.0
ˈu_#>	ˈo_r_#>	1.0
ˈĩ	ˈi	1.0
ˈi_#>	ˈi_r_#>	1.0
ˈi	ˈi	1.0
ˈe_ʀ	ˈæ_r	1.0
ˈe_s	ˈæ_w	1.0
ˈe_j	ˈe	1.0
ˈã_ŋ_#>	ˈa_#>	1.0
ˈã	ˈa	1.0
ˈa_w	ˈɒ	1.0
ˈa_#>	ˈa_r_#>	1.0
ʒ_ˈĩ	ˈi	1.0
ʃ	s	1.0
ʀ_ˈa	ɾ_ˈa	1.0
ɲ	ɲ	1.0
ɪ	e_s	1.0
ɡʲ	ɣ	1.0
ɔ_#>	#>	1.0
œ	o	1.0
ŋ_ʤ	ɲ_ʤ	1.0
ŋ_#>	#>	1.0
w_ˈɔ̃	ˈɒ	1.0
w_ˈɔ	ˈɒ	1.0
w_ˈẽ	ˈu	1.0
w_#>	w_#>	1.0
vʲ	v	1.0
v	v	1.0
ũ	u	1.0
u	o	1.0
s_#>	w_#>	1.0
pʲ	p	1.0
p	p	1.0
mʲ	m	1.0
m_#>	m_#>	1.0
lː	ʎ	1.0
l_#>	ʎ_#>	1.0
k_ʀ	k_ɾ	1.0
k_#>	k_#>	1.0
j_ˈɔ	ˈɒ	1.0
j_ʀ	ˈa_ɾ	1.0
ĩ	i	1.0
i	i	1.0
fʲ	f	1.0
f	f	1.0
e	e_r	1.0
dʲ	d	1.0
ã	-	1.0
a	a	1.0
<#_ˈa	<#	1.0
<#_ʀ	<#_r	1.0
<#_ɒ	<#_a	1.0
<#_s	<#_s	1.0
<#_n	<#_n	1.0
<#_l	<#_ʎ	1.0
<#	<#_ɡ	1.0
m	m	0.957
ʎ	ʎ	0.952
t	t	0.92
l	l	0.875
k	k	0.875
s	s	0.8
ʀ	ɾ	0.773
n	n	0.765
ˈy	ˈu	0.75
ˈu	ˈo	0.75
ə_#>	e_#>	0.75
ˈa	ˈa	0.727
ʤ	ʤ	0.714
ɒ	a	0.714
ʧ	k	0.704
ˈɪ	ˈæ	0.7
ʀ_ə	r	0.667
ɡ	ɡ	0.636
z	-	0.6
j_#>	#>	0.6
#>	s_#>	0.6
b	b	0.565
ɔ	ɐ	0.524
ˈẽ	ˈæ	0.5
ˈẽ	ˈe	0.5
d	d	0.5
ˈe	ˈe	0.483
b	β	0.435
ŋ	n	0.429
j	j	0.429
d	ð	0.409
w	ˈɒ	0.407
z	z	0.4
j_#>	j_#>	0.4
ˈɔ	ˈu	0.333
ˈɔ	s	0.333
ˈɔ	-	0.333
ʀ_ə	ˈæ_r	0.333
ɔ	ɜ	0.317
ˈɪ	ˈe	0.3
ɒ	e	0.286
ŋ	ŋ	0.286
ŋ	n_t	0.286
j	ˈi	0.286
j	w	0.286
ə	ɜ	0.258
ə	e	0.258
ˈy	ˈu_j	0.25
ə_#>	#>	0.25
ˈe	-	0.241
n	-	0.235
ʀ	r	0.227
w	l	0.222
s	ʃ	0.2
ə	ɞ	0.194
ʧ	t	0.185
w	w	0.185
ɡ	ɣ_w	0.182
ɡ	ɣ	0.182
ˈe	ˈæ	0.172
ɔ	ɞ	0.159
ʤ	ɣ	0.143
ʤ	-	0.143
#>	ʧ_#>	0.133
#>	w_#>	0.133
#>	n_#>	0.133
ə	i	0.129
ˈu	ˈɒ	0.125
ˈu	ˈo_t	0.125
l	ʎ	0.125
k	k_w	0.125
ʧ	ʤ	0.111
w	-	0.111
ˈe	ˈe_s	0.103
ə	-	0.097
ˈa	ˈa_t	0.091
d	-	0.091
t	t_ɾ	0.08
w	o	0.074
ˈa	ˈæ	0.068
ə	ɾ_e	0.065
