Danish	Proto-Germanic	probability
b̥	b	0.723
b̥	p	0.274
d̥	d	0.921
d̥	θ	0.077
e	ɑ	0.661
e	iː	0.315
f	ɸ	0.974
f	k	0.04
h	x	0.944
h	-	0.056
i	ɑ	0.12
j	ˈe	0.229
j	ɣ_ɑ	0.147
j	-	0.139
j	k	0.136
j	xʷ	0.136
j_ˈɛ	ˈe	1.0
jˀ	ɣ	0.493
k	k	0.643
k	k_ɑ	0.194
k	ŋ_k	0.103
k	x	0.047
kʰ	k	0.701
kʰ	ɸ_r	0.169
kʰ	kʷ	0.112
l	l	0.67
l	l_ɑ	0.143
l	l_ɣ	0.072
l	ɑ_l	0.062
l	lː	0.035
lˀ	l	0.522
lˀ	lː	0.19
lˀ	l_i	0.142
lˀ	r	0.109
m	m	0.549
m	m_ɑ	0.252
m	m_i	0.106
m	mː	0.061
m	n	0.038
mˀ	m	1.0
n	n	0.835
n	-	0.067
n	j	0.029
n	nː	0.029
n	r	0.029
nˀ	n_d	0.306
nˀ	nː_i	0.159
nˀ	n_θ	0.138
nˀ	nː	0.138
nˀ	ɔː	0.12
p	p	0.243
s	s	0.884
s	i_s	0.032
t	t	0.492
t	x_t	0.164
t	t_ɑ	0.131
t	t_ɑ̃	0.098
t	-	0.08
v	β	0.871
v	w	0.073
w	β	0.438
w	ɑ_n	0.277
w	ɑ_z	0.174
w	-	0.1
wˀ	ɸ	0.488
wˀ	x	0.136
wˀ	ɔːː	0.136
ð̞ˠ	t	0.291
ð̞ˠ	t_ɑ	0.146
ð̞ˠ	ð_ɑ̃	0.11
ð̞ˠ	t_s	0.091
ð̞ˠ	ð	0.091
ŋ	ɡ	0.556
ŋ	ɑ̃	0.18
ŋ	-	0.136
ŋ	ɡʷ	0.099
ŋˀ	ŋ_ɡ	0.715
ŋˀ	x	0.253
ɐ	r	0.18
ɐ	ɛː	0.163
ɐ	ɔː	0.134
ɐ	r_ɑ	0.094
ɐ	i_z	0.08
ɐˀ	r	0.544
ɐˀ	r_ɣ	0.243
ɐˀ	r_ð	0.149
ə	ɔ̃ː	0.256
ə	ɑ	0.226
ə	j	0.17
ə	ɔːː	0.134
ə	u	0.041
ɡ̊	ɣ	1.0
ʁ	r	0.942
ʁ	z	0.058
ʋ	w	0.685
ʋ	xʷ	0.196
ʋ	ɑ	0.065
ʋ	-	0.055
ʦʰ	θ	0.544
ʦʰ	t	0.29
ʦʰ	t_w	0.108
ʦʰ	d	0.052
ʨ	θ	0.493
ˈa	ˈɑ	0.835
ˈa	ˈɑ_t	0.121
ˈa	ˈe	0.046
ˈaː	ˈɑ	0.493
ˈe	ˈi	0.598
ˈe	ˈɑ	0.204
ˈe	ˈe	0.089
ˈe	j	0.087
ˈeˀ	ˈɑi̯	0.574
