Danish	Proto-Germanic	probability
b̥	b	0.82
b̥	p	0.18
d̥	d	0.983
e	iː	0.5
e	ɑ	0.5
f	ɸ	0.986
h	x	0.961
i	ɑ	1.0
j	x	0.238
j	ˈe	0.207
j	-	0.165
j	ɣ	0.152
j	k	0.136
j	kʷ	0.075
jˀ	ɣ	0.827
jˀ	ˈɑi̯	0.173
k	k	0.827
k	kː	0.11
k	x	0.063
kʰ	k	0.9
kʰ	kʷ	0.06
l	l	0.928
lˀ	l	0.88
lˀ	lː	0.072
m	m	0.865
m	r_m	0.086
mˀ	m	1.0
n	n	0.888
nˀ	n	0.501
nˀ	nː	0.372
nˀ	d	0.07
p	p	0.679
p	pː	0.321
pʰ	p	1.0
s	s	0.915
t	t	0.567
t	x_t	0.34
t	tː	0.065
w	β	0.602
w	ɣ_ɑ	0.3
w	ɑ	0.07
wˀ	ɔːː	0.745
wˀ	ɸ	0.155
wˀ	-	0.101
ð̞ˠ	t	0.598
ð̞ˠ	ð	0.262
ð̞ˠ	-	0.062
ŋ	ŋ_ɡ	0.43
ŋ	ɡʷ	0.372
ŋ	ɑ̃	0.161
ŋˀ	ŋ	0.924
ŋˀ	n	0.076
ɐ	r	0.429
ɐ	ɔː	0.115
ɐ	i	0.096
ɐ	s_ɔːː	0.075
ɐ	ɛː	0.074
ɐ	j	0.06
ɐ	ɑ̃	0.06
ɐˀ	r	1.0
ə	ɑ	0.524
ə	ɔ̃ː	0.168
ə	ɔːː	0.136
ə	-	0.053
ɡ̊	ɣ	0.923
ʁ	r	0.841
ʁ	x_r	0.118
ʋ	w	0.713
ʋ	xʷ	0.178
ʋ	β	0.062
ʦʰ	θ	0.607
ʦʰ	t	0.311
ʦʰ	d	0.062
ʨ	θ	1.0
ˈa	ˈɑ	0.971
ˈaː	ˈɑ	1.0
ˈe	ˈi	0.671
ˈe	ˈɑ	0.231
ˈe	ˈe	0.062
ˈeˀ	ˈɑi̯	0.641
ˈeˀ	ˈe	0.21
ˈeˀ	ˈi	0.067
ˈeː	ˈe	0.5
ˈeː	ˈɑ	0.5
ˈi	ˈiː	0.425
ˈi	ˈi	0.231
ˈi	ˈuː	0.134
ˈi	ˈɑi̯	0.134
ˈi	ˈɔː	0.077
ˈiˀ	ˈiː	0.389
ˈiˀ	ˈe	0.315
ˈiˀ	ˈi	0.296
ˈiː	ˈiː	0.641
ˈiː	ˈɑ	0.141
ˈiː	ˈe	0.115
ˈiː	ˈi	0.103
ˈo	ˈu	0.674
ˈo	w	0.163
ˈo	ˈɔː	0.163
ˈoˀ	ˈɔː	0.631
ˈoˀ	r	0.162
ˈoˀ	ˈuː	0.124
ˈoˀ	ˈɑi̯	0.082
ˈoː	ˈɑ	0.456
ˈoː	ˈu	0.223
ˈoː	ˈɔː	0.173
ˈoː	ˈɑu̯	0.114
ˈu	ˈu	0.719
ˈu	w_ˈu	0.228
ˈu	ˈuː	0.053
ˈuˀ	ˈuː	0.61
ˈuˀ	ˈe	0.166
ˈuˀ	ˈu	0.131
ˈuˀ	ˈeu̯	0.093
ˈuː	ˈuː	0.443
ˈuː	ˈeu̯	0.294
ˈuː	ˈu	0.121
ˈuː	wː	0.119
ˈy	ˈiu̯	0.438
ˈy	ˈu	0.327
ˈy	ˈe	0.234
ˈyˀ	ˈeu̯	0.649
ˈyˀ	ˈiu̯	0.266
ˈyˀ	ˈe	0.085
ˈyː	ˈeu̯	1.0
ˈæ	ˈe	0.663
ˈæ	ˈɑ	0.337
ˈæˀ	ˈɑ	1.0
ˈæː	ˈɑ	1.0
ˈø	ŋ	0.5
ˈø	ˈu	0.5
ˈøˀ	ˈɑu̯	1.0
ˈøː	ˈɑu̯	0.572
ˈøː	ˈɔː	0.428
ˈœ	ˈu	0.526
ˈœ	ˈɑu̯	0.149
ˈœ	ˈe	0.14
ˈœ	ˈi	0.097
ˈœˀ	ˈɑu̯	0.452
ˈœˀ	ˈɔː	0.399
ˈœˀ	ˈu	0.106
ˈœː	ˈɔː	0.67
ˈœː	ˈɑ	0.33
ˈɑ	ˈɑ	0.505
ˈɑ	-	0.197
ˈɑ	ˈi	0.183
ˈɑ	ˈe	0.116
ˈɑˀ	ˈɑ	0.678
ˈɑˀ	ˈɑi̯	0.215
ˈɑˀ	-	0.107
ˈɑː	ˈɑ	1.0
ˈɒ	ˈuː	0.525
ˈɒ	ˈu	0.475
ˈɒˀ	ˈɔː	0.486
ˈɒˀ	ˈɑ	0.402
ˈɒˀ	ˈɛː	0.112
ˈɒː	ˈu	0.666
ˈɒː	ˈɛː	0.213
ˈɒː	ˈe	0.121
ˈɔ	ˈu	0.924
ˈɔ	ˈuː	0.076
ˈɔˀ	ˈɑ	0.411
ˈɔˀ	ˈu	0.232
ˈɔˀ	ˈɛː	0.196
ˈɔˀ	ˈɑi̯	0.13
ˈɔː	ˈɛː	0.815
ˈɔː	ˈɑ	0.185
ˈɛ	ˈe	0.37
ˈɛ	ˈɑ	0.365
ˈɛ	ˈɑi̯	0.075
ˈɛ	ˈĩː	0.054
ˈɛ	ˈu	0.054
ˈɛˀ	ˈɑ	0.252
ˈɛˀ	ˈɑi̯	0.241
ˈɛˀ	ˈeː	0.214
ˈɛˀ	ˈe	0.212
ˈɛˀ	ˈiː	0.082
ˈɛː	ˈɑ	0.785
ˈɛː	ˈe	0.215
ˈʌ	ˈu	0.338
ˈʌ	ˈɑ	0.229
ˈʌ	ˈe	0.125
ˈʌ	-	0.115
ˈʌ	ˈɔː	0.084
