Asturian	Québécois French	probability
f	f	1.0
i	-	1.0
r	ʁ	1.0
ŋ	ẽɪ̯̃	1.0
ɡ	ɡ	1.0
ʝ	-	1.0
a	a	0.431
s	-	0.481
ɣ	-	0.881
ɲ	ɲ	0.861
ɾ	ʁ	0.861
ˈe	æɛ̯	0.21
β	-	0.541
a	e	0.142
l	-	0.382
o	ɔ	0.082
ʎ	-	0.072
ʎ	l	0.832
ʧ	t	0.302
ˈe	i	0.162
e	ã	0.113
k	ʃ	0.603
t	t	0.43
u	o	0.053
u	u	0.063
ð	-	0.923
ˈi	i	0.413
b	b	0.264
e	ɒ̃ʊ̯̃	0.344
j	i	0.054
m	-	0.324
t	ʦ	0.084
u	ẽɪ̯̃	0.144
w	œ	0.094
ˈi	-	0.34
ˈo	ɔ	0.214
ˈo	u	0.244
θ	s	0.554
a	-	0.35
d	-	0.065
n	-	0.415
u	i	0.055
ʃ	ɡ	0.055
ʃ	ʒ	0.945
ˈa	-	0.155
ˈo	-	0.315
ˈu	y	0.205
b	v	0.736
e	w	0.166
m	m	0.676
u	e	0.126
w	-	0.906
ʎ	p_l	0.06
ˈa	ɛ	0.126
ˈa	a	0.156
ˈa	æɛ̯	0.416
ˈe	w_ɛ	0.136
ˈu	w	0.606
θ	-	0.366
d	ʣ	0.277
d	d	0.657
e	-	0.227
j	j	0.397
k	k	0.357
n	n	0.567
o	u	0.27
t	-	0.487
u	øʏ̯	0.07
u	oʊ̯	0.37
ð	d	0.077
ˈe	-	0.297
a	ɛ	0.058
l	l	0.618
o	-	0.248
ʧ	-	0.698
ˈa	ã	0.068
ˈa	e	0.08
ˈe	ɛ	0.138
ˈu	ʏ	0.138
β	v	0.38
θ	z	0.08
e	œ	0.119
j	-	0.549
o	ɑɔ̯	0.399
p	p	0.959
s	s	0.519
u	-	0.119
ɣ	ɡ	0.119
ɲ	-	0.139
ɾ	-	0.139
ˈi	ɪ	0.219
ˈo	oʊ̯	0.059
ˈo	aœ̯	0.089
