Proto-Germanic	Westphalian	probability
a	-	1.0
b	b	0.903
b	-	0.097
d	d	0.777
d	-	0.223
e	ɐ	0.979
i	-	0.811
i	ɐ	0.141
iː	-	1.0
j	-	0.897
j	ˈiɛ̯	0.07
jː	ˈaɪ̯	1.0
k	k	0.784
k	-	0.216
kʷ	k	0.894
kʷ	f	0.106
kː	k	1.0
l	l	0.913
l	-	0.087
lː	l	1.0
m	m	0.948
m	-	0.052
mː	m	1.0
n	n	0.867
n	-	0.111
nː	n	0.828
nː	ˈyə̯	0.172
p	p	0.911
p	b	0.089
pː	p	1.0
r	r	0.427
r	-	0.331
r	ɐ	0.242
s	s	0.5
s	ʃ	0.373
s	-	0.078
t	t	0.927
t	-	0.067
tː	t	1.0
u	-	0.953
w	w	0.518
w	-	0.231
w	v	0.168
w	ˈʏ	0.055
wː	ˈuː	1.0
x	h	0.611
x	-	0.226
x	ç	0.086
x	x	0.077
xʷ	w	0.748
xʷ	-	0.158
xʷ	t	0.094
z	-	0.973
ð	t	0.558
ð	d	0.36
ð	-	0.083
ŋ	ŋ	0.891
ŋ	n	0.058
ŋ	-	0.051
ɑ	-	0.954
ɑi̯	ˈɪ	1.0
ɑ̃	-	0.947
ɑ̃	ɐ	0.053
ɔː	ɐ	0.397
ɔː	ə	0.352
ɔː	-	0.251
ɔːu̯	-	1.0
ɔːː	ə	0.812
ɔːː	ɐ	0.188
ɔ̃ː	ə	0.826
ɔ̃ː	ˈaʊ̯	0.174
ɛː	ɐ	1.0
ɡ	-	0.89
ɡ	ç	0.11
ɡʷ	-	1.0
ɣ	x	0.42
ɣ	ɡ	0.287
ɣ	-	0.192
ɸ	f	0.898
ˈe	ˈɪɛ̯	0.261
ˈe	ˈɛː	0.168
ˈe	ˈɪ	0.101
ˈe	ˈaɪ̯	0.086
ˈe	ˈɛ	0.086
ˈe	-	0.078
ˈe	ˈuə̯	0.074
ˈe	ˈɪə̯	0.073
ˈeu̯	ˈaɪ̯	0.761
ˈeu̯	ˈiː	0.093
ˈeu̯	ˈɛ	0.074
ˈeu̯	ˈuːə̯	0.072
ˈeː	ˈiː	1.0
ˈi	ˈɪ	0.71
ˈi	ˈiː	0.116
ˈi	ˈø	0.055
ˈiu̯	ˈyː	0.617
ˈiu̯	-	0.383
ˈiː	ˈiː	0.881
ˈiː	ˈɪ	0.068
ˈiː	ˈaɪ̯	0.051
ˈĩː	ˈɪ	1.0
ˈu	ˈʊ	0.372
ˈu	ˈuːə̯	0.173
ˈu	ˈʏ	0.094
ˈu	-	0.057
ˈuː	ˈuː	0.541
ˈuː	ˈʊ	0.197
ˈuː	ɐ	0.179
ˈuː	ˈaʊ̯	0.082
ˈɑ	ˈa	0.568
ˈɑ	ˈɛ	0.113
ˈɑ	ˈaː	0.069
ˈɑ	ˈɔː	0.061
ˈɑi̯	ˈeː	0.706
ˈɑi̯	ˈaɪ̯	0.063
ˈɑi̯	ˈɪ	0.063
ˈɑi̯	ˈɪɛ̯	0.063
ˈɑu̯	ˈaʊ̯	0.634
ˈɑu̯	ˈøː	0.159
ˈɑu̯	ˈœː	0.083
ˈɑu̯	ˈaɪ̯	0.073
ˈɑu̯	ˈɔː	0.051
ˈɑː	ˈɔː	1.0
ˈɔ	ˈøː	1.0
ˈɔː	ˈoː	0.475
ˈɔː	ˈøː	0.361
ˈɔː	ˈuə̯	0.073
ˈɔː	ˈyː	0.052
ˈɛː	ˈɔː	1.0
β	v	0.77
β	b	0.163
β	f	0.068
θ	d	0.803
θ	-	0.197
