Old French	Old French	probability
θ	ð_ɨ	1.0
ˈɛ_s	ˈɛ_ʃ	1.0
ˈɛ_f	v_u	1.0
ˈỹ	ˈu	1.0
ˈy	ˈu	1.0
ˈũ_n	ˈõ	1.0
ˈõ_j	ˈũ	1.0
ˈo	ˈo_j	1.0
ˈi_r	ˈe_ɾ	1.0
ˈẽ_n	ˈẽ	1.0
ˈã_n	ˈɐ̃	1.0
ˈã_j	ˈɐ̃	1.0
ʧ_j	k	1.0
ʎ	ʎ	1.0
ɲ	ɲ	1.0
ɛ_r	ɨ_ɾ	1.0
ə_ˈɔ	ẽ	1.0
ə_#>	#>	1.0
ɔ	-	1.0
z	z	1.0
y	-	1.0
w_ˈɛ	ˈo	1.0
v_ə	v	1.0
t_ə	t_ɐ	1.0
s_ə	s_ɨ	1.0
s_#>	ʃ_#>	1.0
p_l	ʃ	1.0
p	p	1.0
o	-	1.0
n_ə	ɐ	1.0
n_t	t	1.0
m_e	m_ɨ	1.0
l_ə	ɐ	1.0
k_r	k_ɾ	1.0
k_l	ʃ	1.0
k	k	1.0
j_ˈɛ	ˈɛ	1.0
j_ˈẽ	ˈɐ̃	1.0
j_s	ʃ	1.0
j_n	w̃	1.0
j_#>	j_#>	1.0
ĩ	ĩ	1.0
f_ˈa	f_ɐ	1.0
b_ə	v_ɐ	1.0
b	b	1.0
ã	-	1.0
a	ɐ	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_r	<#_ʁ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_a	<#_ɐ	1.0
#>	u_#>	0.904
r	ɾ	0.863
m	m	0.862
ʧ	k	0.842
ˈa	ˈa	0.826
e	i	0.8
f	f	0.792
ˈɔ_j	ˈe	0.778
ˈĩ	ˈi	0.778
ʦ	s	0.765
v	v	0.759
d	d	0.733
ʤ	ʒ	0.727
ə	ɐ	0.716
ˈu	ˈo	0.643
ɡ	ɡ	0.636
u	u	0.615
ˈy_j	ˈo_j	0.6
ŋ	-	0.6
ˈã	ˈɐ̃	0.556
s	ʃ	0.556
r_ə	ɾ	0.556
ˈe	ˈa	0.545
ˈi	ˈi	0.538
ũ	ũ	0.5
ũ	õ	0.5
i	i	0.5
i	-	0.5
<#	<#_ɡ	0.5
<#	<#_ɔ	0.5
t	t	0.457
l	l	0.455
s	s	0.444
r_ə	ˈe_ɾ	0.444
ˈũ	ˈo	0.429
ˈẽ	-	0.429
ˈy_j	ˈo	0.4
ŋ	ɡ	0.4
ˈe	-	0.364
ɡ	ɣ	0.364
ˈũ	-	0.357
ˈu	ˈɔ	0.357
ˈɛ	ˈɛ	0.333
u	-	0.308
w	ˈɔ	0.3
w	w	0.3
n	ɲ	0.3
ˈɔ	ˈɔ	0.286
ˈẽ	ˈɐ_j	0.286
ˈẽ	ˈẽ	0.286
ˈã	ˈɐ	0.278
ʤ	-	0.273
d	-	0.267
ˈɛ	ˈa	0.242
v	β	0.241
ʦ	-	0.235
n	-	0.233
t	t_ɨ	0.229
ˈɔ_j	ɨ	0.222
ˈĩ	ˈĩ	0.222
ˈɔ	ˈo	0.214
ˈũ	ˈõ	0.214
ˈɛ	ˈe	0.212
l	ɫ	0.212
w	u	0.2
n	n	0.2
e	-	0.2
ˈi	ˈɐ_j	0.192
j	-	0.189
t	ð	0.171
ˈã	-	0.167
ʧ	-	0.158
l	-	0.152
f	-	0.125
ə	ɨ	0.122
ˈi	ˈi_ɣ	0.115
j	j	0.108
ˈɔ	ˈo_w	0.107
ˈɔ	-	0.107
w	ˈo	0.1
w	ɫ	0.1
n	ˈɐ̃	0.1
n	j̃	0.1
ˈɛ	-	0.091
ˈe	ˈɛ	0.091
ˈa	ˈa_j	0.087
ˈa	-	0.087
t	-	0.086
f	v_ɨ	0.083
j	ˈɐ_j	0.081
j	ˈu	0.081
j	ˈe	0.081
j	ɨ	0.081
j	ɣ	0.081
j	ð	0.081
ˈi	ˈe	0.077
ˈi	-	0.077
u	o	0.077
ˈɔ	ˈɐ	0.071
ˈɔ	ˈi	0.071
ˈɔ	ˈe	0.071
ˈɔ	u	0.071
m	m_ɨ	0.069
m	-	0.069
n	w̃	0.067
ˈɛ	ˈo	0.061
ˈɛ	ˈa_ɣ	0.061
l	ʃ	0.061
l	w	0.061
l	u	0.061
t	d_u	0.057
ə	j	0.054
j	ˈɛ	0.054
j	ˈɐ	0.054
j	ˈa	0.054
j	u	0.054
