Afrikaans	Northern Low Saxon	probability
b	b	0.978
d	d	0.848
d	-	0.152
f	f	0.948
f	m	0.052
i	aɪ̯	1.0
j	ʒ	0.822
j	ˈɛː	0.178
k	ɡ	0.448
k	kʰ	0.378
k	k	0.116
m	m	1.0
n	n	0.934
p	b	0.757
p	pʰ	0.138
p	p	0.106
r	r	0.365
r	-	0.323
r	ɐ	0.293
s	s	0.384
s	z	0.311
s	ʃ	0.274
t	d	0.466
t	d_n	0.158
t	t	0.151
t	tʰ	0.111
t	-	0.075
v	v	0.954
w	v	0.861
w	-	0.139
ŋ	ŋ	0.748
ŋ	n	0.154
ŋ	ç	0.098
ə	ɐ	0.689
ə	-	0.203
ə	ɪ	0.1
ɦ	h	1.0
ɫ	l	0.97
ˈa	ˈa	0.86
ˈa	ˈaʊ̯	0.052
ˈi	ˈaɪ̯	0.687
ˈi	ˈʏ	0.114
ˈi	ˈiː	0.077
ˈoːi̯	ˈaʊ̯	1.0
ˈu	ˈɔʏ̯	0.504
ˈu	ˈaʊ̯	0.413
ˈu	ˈuː	0.083
ˈuː	ˈaʊ̯	1.0
ˈuːi̯	ˈaʊ̯	0.5
ˈuːi̯	ˈɔʏ̯	0.5
ˈyː	ˈyː	0.842
ˈyː	ˈuː	0.158
ˈæ	ˈɪ	1.0
ˈæː	ˈaː	0.465
ˈæː	ˈœ	0.267
ˈæː	ˈɛɪ̯	0.267
ˈœ	ˈʏ	0.885
ˈœ	ˈɔː	0.115
ˈœi̯	ˈiː	1.0
ˈœu̯	ˈaʊ̯_l	0.497
ˈœu̯	ˈuː	0.294
ˈœu̯	ˈɔ	0.105
ˈœu̯	ˈʊ	0.105
ˈœɪ̯	ˈuː	0.863
ˈœɪ̯	ˈyː	0.137
ˈɑː	ˈoː	0.786
ˈɑː	ˈa	0.068
ˈɔ	ˈʊ	0.612
ˈɔ	ˈɔ	0.154
ˈɔ	ˈoː	0.069
ˈɔ	ˈaʊ̯	0.056
ˈɔ	ˈʏ	0.054
ˈɔː	ˈɔ	0.845
ˈɔː	ˈoː	0.155
ˈə	ˈɪ	0.959
ˈəɪ̯	ˈiː	0.764
ˈəɪ̯	ˈɪ	0.083
ˈəɪ̯	ˈeɪ̯	0.062
ˈɛ	ˈø	0.235
ˈɛ	ˈeː	0.183
ˈɛ	ˈaː	0.146
ˈɛ	ˈɛ	0.127
ˈɛ	ˈɪ	0.12
ˈɛ	ˈʏ	0.082
ˈɛ	ˈœː	0.066
ˈɛː	ˈɛ	1.0
ˈɪ	ˈɪ	1.0
ˈɪø̯	ˈøː	0.746
ˈɪø̯	ˈʏ	0.254
ˈɪə̯	ˈeː	0.337
ˈɪə̯	ˈɛ_l	0.247
ˈɪə̯	ˈaɪ̯	0.211
ˈɪə̯	ˈeɪ̯	0.111
ˈʊə̯	ˈaʊ̯	0.633
ˈʊə̯	ˈɔʏ̯	0.259
ˈʊə̯	ˈøː	0.06
χ	ɡ	0.458
χ	x	0.223
χ	ç	0.2
χ	-	0.06
χ	ɡ_n	0.059
