Czech	Kashubian	probability
ʧ	ʧ	1.0
ʦ	ʦ	1.0
ʒ̊	ʒ̊	1.0
ʒ	ʒ	1.0
ʃ	ʃ	1.0
ɟ	ʣ	1.0
ɛ_t	ã_ʦ	1.0
z̥	z̥	1.0
z	z	1.0
s	s	1.0
r̝̊	r̝	1.0
r_aː	r	1.0
p	p	1.0
ou̯	-	1.0
m̩	m_ə	1.0
j	j	1.0
f	f	1.0
d̥	d̥	1.0
b̥	b̥	1.0
b	b	1.0
k	k	0.92
r	r	0.893
n	n	0.881
v	v	0.85
ɪ	ə	0.836
d	d	0.817
r̝	r̝	0.766
ɦ	ɡ	0.753
x	x	0.736
a	a	0.734
m	m	0.724
iː	i	0.71
ɛː	-	0.702
uː	u	0.655
l	w	0.647
r̩	r	0.623
c	ʧ	0.574
ɲ	j	0.557
t	t	0.53
l̩	-	0.506
l̩	ɞ	0.494
o	ɔ	0.493
aː	a_ˈ	0.483
t	ʦ	0.47
u	-	0.447
ɲ	ɲ	0.443
ɛ	ɛ	0.442
c	ʦ	0.426
o	u̯ɛ	0.413
r̩	ɛ	0.377
l	l	0.353
uː	-	0.345
ɛː	e	0.298
u	õ	0.279
m	m_j	0.276
u	ã	0.274
x	ɡ̊	0.264
aː	ɞ	0.259
aː	r	0.259
ɦ	ʤ	0.247
r̝	ɾ	0.234
d	ʣ	0.183
ɪ	i_ˈ	0.164
ɛ	e	0.123
n	ɲ	0.119
r	a	0.107
a	ɞ	0.105
v	v_j	0.095
o	u	0.094
iː	ə_ˈ	0.094
ɛ	u	0.088
ɛ	a_ˈ	0.082
k	ʧ	0.08
a	ɔ_ˈ	0.08
a	ã_ˈ	0.08
ɛ	ɞ	0.066
ɛ	ɔ_ˈ	0.064
ɛ	-	0.064
v	f_j	0.055
iː	e	0.055
