Logudorese	Piedmontese	probability
β	v	1.0
ˈɔ_ɾ	ˈɔ_r	1.0
ˈɔ_n	ˈu_n	1.0
ˈo_u	ˈø_v	1.0
ˈi_ɾ	e	1.0
ˈi_k	ˈɛ_k	1.0
ˈa_ɾ	ˈe	1.0
ʦ	s	1.0
ʣ_u	j	1.0
ʣ_a	j_a	1.0
ʃ	-	1.0
ɾ_ˈa	r_ˈa	1.0
ɾ_ʦ	w_s	1.0
ɾ_ɛ_#>	#>	1.0
ɾ_ɔ	r	1.0
ɾ_u_#>	r_#>	1.0
ɾ_a	r_a	1.0
ɣ_ɛ	z	1.0
ɣ_u	ɡ	1.0
ɛ̆	-	1.0
ɛ_ɾ	e	1.0
ɛ_#>	#>	1.0
ɖː	l	1.0
ð_ɛ_#>	#>	1.0
z_ɔ̆_#>	#>	1.0
u_z_ŭ_#>	#>	1.0
u_#>	#>	1.0
t_ɛ	j_t	1.0
t_a	t_a	1.0
s_k	s	1.0
s	s	1.0
r_u	r_n	1.0
r	r	1.0
o	-	1.0
n_ʣ	ɲ	1.0
n_u_#>	ŋ_#>	1.0
m_ɛ_n_ɛ_#>	m_#>	1.0
m_b	ŋ_ɡ	1.0
l_u_#>	l_#>	1.0
k_ɾ	ʧ	1.0
k_i	s_i	1.0
j_ˈa	ˈe	1.0
i_#>	#>	1.0
f_ɾ	f_j	1.0
f	f	1.0
ă_#>	#>	1.0
a_z	e	1.0
a_l	a_l	1.0
a_#>	#>	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʣ	<#_ʤ	1.0
<#_ɾ	<#_r	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_i	<#	1.0
a	a	0.966
p	p	0.935
m	m	0.933
t	t	0.906
d	d	0.875
k	k	0.86
ˈa	ˈa	0.844
ˈe	ˈɛ	0.778
ˈi	ˈi	0.737
ɾ	r	0.727
i	-	0.722
l	l	0.714
ˈɛ	ˈɛ	0.654
n	ŋ	0.647
j	j	0.643
e	-	0.636
ŋ	-	0.6
z	s	0.6
<#_a	<#_a	0.6
nː	-	0.571
ɔ	u	0.545
ɡ	ɡ	0.5
ɡ	-	0.5
ð	d	0.5
n_ɛ_#>	n_#>	0.5
n_ɛ_#>	#>	0.5
ˈu	ˈy	0.474
ɣ	-	0.467
ɔ	-	0.455
ˈo	ˈɔ	0.45
b	v	0.442
nː	ŋ	0.429
ˈu	ˈu	0.421
ˈɔ	ˈu	0.407
ŋ	ŋ	0.4
z	-	0.4
<#_a	<#	0.4
b	b	0.372
ˈɔ	ˈø	0.37
e	e	0.364
ɛ	e	0.357
ˈɛ	ˈe	0.346
ɣ	z	0.333
ð	t	0.333
u	j	0.333
n	n	0.294
l	-	0.286
u	-	0.278
ˈo	ˈu	0.25
ɛ	-	0.25
ˈɔ	ˈɔ	0.222
ˈe	ˈe	0.222
ɛ	j	0.214
j	-	0.214
ˈo	ˈø	0.2
ɣ	ʤ	0.2
ð	-	0.167
u	u	0.167
i	i	0.167
j	u	0.143
k	s	0.14
ˈi	ˈe	0.132
d	-	0.125
u	s	0.111
u	r	0.111
i	d_e	0.111
ɛ	v	0.107
ˈu	-	0.105
ˈo	-	0.1
t	s	0.094
b	ʤ	0.093
ɾ	j	0.091
ˈi	ˈɛ	0.079
ɛ	ˈe	0.071
ˈa	ˈe	0.067
m	ŋ	0.067
p	-	0.065
ɾ	ˈɛ	0.061
ɾ	v	0.061
ɾ	-	0.061
n	-	0.059
ˈi	-	0.053
