Štokavian	Slovak	probability
ʧ	ʧ	1.0
ʦ	ʦ	1.0
ʎ	l	1.0
ʋ_j	ʋ	1.0
ɲ	ɲ	1.0
ɡ_#>	x_#>	1.0
ɡ	ɦ	1.0
z	z	1.0
x_#>	x_iː_#>	1.0
x	x	1.0
û	ˈɫ̩	1.0
t_i	c	1.0
s_#>	s_#>	1.0
s	s	1.0
r̩̂	ˈr̩	1.0
r̩̂	ˈr̩	1.0
r_#>	r_iː_#>	1.0
r	r	1.0
p	p	1.0
ǒ	ˈɔ	1.0
ôː	ˈɔ	1.0
o	ɔ	1.0
m	m	1.0
k	k	1.0
j_ěː	ɪ̯ˈɛ	1.0
j_êː	ˈɛ	1.0
j_ê	ɪ̯ˈɛ	1.0
îː	ˈi	1.0
î	ˈi	1.0
i	i	1.0
ě	ˈɛ	1.0
êː	ˈæ	1.0
ê	ˈɛ	1.0
e_#>	#>	1.0
e	ɛ	1.0
b_#>	p_#>	1.0
b	b	1.0
ǎː	ˈa	1.0
âː	ˈa	1.0
a_k	k_iː	1.0
<#_ô	<#_ˈɔ	1.0
#>	i_#>	1.0
â	ˈa	0.778
ʋ	ʋ	0.762
n	n	0.733
ô	ˈɔ	0.714
a	a	0.655
d	d	0.591
ʒ	ʒ	0.571
t	t	0.552
l	ɫ	0.522
j	j	0.5
j	-	0.5
t	c	0.448
ʒ	ʃ	0.429
ûː	ˈɫ̩	0.375
ûː	ˈu	0.375
ô	ʊ̯ˈɔ	0.286
d	ɟ	0.273
n	ɲ	0.267
ûː	ˈuː	0.25
ʋ	v	0.238
â	ˈɛ	0.222
l	l	0.217
a	ɛ	0.207
l	ʎ	0.174
d	t	0.136
l	d_ɫ	0.087
a	ɔ	0.069
a	-	0.069
