Brazilian Portuguese	Latin	probability
f	f	1.0
õ	ɔ	1.0
p	p	1.0
ɦ	r	1.0
ʧ	t	1.0
ˈũ	ˈuː	1.0
h	-	0.071
h	r	0.301
i	ʊ̃ː	0.051
i	ɪ	0.1
j	d_i	0.061
j	k	0.651
k	kː	0.081
ˈẽ	ˈɛ_n	0.331
ˈɔ	ˈoː	0.451
ˈɛ	ˈɛ	0.891
d	d	0.472
d	t	0.52
k	k	0.772
l	lʲː	0.342
l	ɫ	0.352
s	t	0.062
v	w	0.712
w̃	n	0.092
w̃	n_ʊ̃ː	0.612
ɐ	n_ãː	0.072
ʃ	-	0.322
ʤ	t	0.2
ˈẽ	ˈɪ	0.242
ˈĩ	ˈɪ	0.052
ˈõ	ˈoː	0.312
ˈu	ˈuː	0.762
a	a	0.453
ẽ	ɪ	0.503
j̃	n_e	0.053
j̃	ɡ_n	0.083
j̃	-	0.23
l	-	0.063
l	l	0.243
v	b	0.263
ˈɐ̃	ˈa_ŋ	0.103
ˈɐ̃	ˈaː	0.493
a	-	0.134
e	ɛ	0.734
h	r_ɛ	0.584
i	n_ɛ̃ː	0.094
o	oː	0.314
t	n_t	0.144
t	t	0.654
u	ʊ̃ː	0.794
z	k	0.34
z	-	0.614
ɐ	i_ãː	0.054
ɡ	k	0.574
ʎ	-	0.144
ˈe	ˈeː	0.164
ˈe	ˈɪ	0.254
ˈi	ˈiː	0.974
b	-	0.095
j	k_ɛ̃ː	0.25
j̃	n_i	0.085
m	-	0.105
m	m	0.895
n	nː	0.065
n	n	0.935
ɾ	r	0.755
ʒ	j	0.125
ʒ	ɡ	0.875
ˈa	-	0.075
ˈa	ˈaː	0.395
ˈo	ˈoː	0.195
ˈõ	ˈɔ	0.115
a	aː	0.216
b	p	0.36
b	b	0.436
e	ɪ	0.266
i	ˈiː	0.06
o	au̯	0.126
o	ɔ	0.56
s	s	0.686
t	tː	0.156
w̃	n_ɛ̃ː	0.296
ɡ	ɡ	0.386
ɾ	ɛ_r	0.076
ˈo	ˈɔ	0.506
ẽ	ɛ	0.497
k	kʷ	0.147
w	ɫ_ʊ̃ː	0.057
w	ɫ	0.517
ɐ	a	0.097
ʃ	sː	0.07
ˈe	ˈɪ_k	0.057
ˈe	ˈɛ	0.387
ˈẽ	ˈɛ	0.427
ˈõ	ˈʊ	0.527
ˈɐ̃	ˈa	0.377
a	ˈa	0.198
u	oː	0.068
w	l	0.078
w	-	0.348
ɐ	ãː	0.658
ʃ	s	0.608
ʎ	lʲ_i	0.368
ʎ	ʊ_ɫ	0.488
ʤ	d	0.8
ˈa	ˈa	0.498
ˈĩ	ˈiː	0.948
ˈo	ˈʊ	0.218
ˈu	ˈʊ	0.238
b	p_ɛ	0.109
i	ɛ̃ː	0.629
j̃	n	0.549
s	k	0.19
ɾ	-	0.169
ˈe	ɛ	0.099
ˈɔ	ˈɔ	0.549
ˈɛ	ˈɪ	0.109
