Fuzhounese	Fuzhounese	probability
⁵⁵	⁵⁴	1.0
ʔ_⁵	⁴²	1.0
ʔ_²⁴	²⁴	1.0
ɥ	-	1.0
ɛ_j	i	1.0
ɑ_ʔ	a	1.0
ɑ_j	ɛ	1.0
ŋ	ŋ	1.0
³³	²¹	1.0
²⁴	²⁴	1.0
y	y	1.0
w_²⁴²	⁴²	1.0
tʰ	tʰ	1.0
t	t	1.0
s	s	1.0
pʰ	pʰ	1.0
p	p	1.0
nˡ	n	1.0
m	m	1.0
l̃	l	1.0
kʰ	kʰ	1.0
k	k	1.0
j_e	i	1.0
h	x	1.0
a_⁵⁵	a_⁵⁴	1.0
a_w	e	1.0
<#_w	<#_w	1.0
<#	<#_w	1.0
#>	³³_#>	1.0
²⁴²	⁵⁵	0.857
ʦʰ	ʦʰ	0.833
ʦ	ʦ	0.818
a	a	0.765
²¹³	³³	0.75
ɔ	-	0.714
<#_ŋ	<#_ŋ	0.714
⁵³	³³	0.686
ɑ	-	0.667
w_o	y_j	0.667
ø_ɥ	ɔ	0.625
e_w	u	0.6
a_j	ɛ	0.6
j	j	0.579
o_w	ɔ	0.571
ɛ	i	0.5
ɛ	a	0.5
o_w	u	0.429
e_w	a_w	0.4
a_j	w_ɛ	0.4
i	e_j	0.385
ø_ɥ	y	0.375
ɑ	a	0.333
w_o	y	0.333
w	w	0.318
⁵³	²¹	0.314
i	i	0.308
u	ɔ	0.3
u	u	0.3
ɔ	ɔ	0.286
<#_ŋ	<#	0.286
w	-	0.273
²¹³	⁵⁵	0.25
w	u	0.227
u	y	0.2
u	-	0.2
o	ɔ	0.2
o	a_w	0.2
o	a	0.2
ʦ	s	0.182
ʦʰ	s	0.167
j	ɛ	0.158
j	-	0.158
i	ɛ	0.154
i	-	0.154
²⁴²	-	0.143
o	y	0.133
o	j	0.133
o	-	0.133
a	u_j	0.118
a	j	0.118
j	i	0.105
w	ɔ	0.091
w	y	0.091
